,Sentences,Speaker
0,Good afternoon.,CHAIR POWELL.
1,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us:  maximum employment and price stability.",CHAIR POWELL.
2,Today my colleagues on the FOMC and I kept interest rates near zero and maintained our sizable asset purchases.,CHAIR POWELL.
3,"These measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete.",CHAIR POWELL.
4,"Widespread vaccinations, along with unprecedented fiscal policy actions, are also providing strong support to the recovery.",CHAIR POWELL.
5,"Since the beginning of the year, indicators of economic activity and employment have strengthened.",CHAIR POWELL.
6,Household spending on goods has risen robustly.,CHAIR POWELL.
7,"The housing sector has more than fully recovered from the downturn, while business investment and manufacturing production have also increased.",CHAIR POWELL.
8,"Spending on services has also picked up, including at restaurants and bars.",CHAIR POWELL.
9,"More generally, the sectors of the economy most adversely affected by the pandemic remain weak but have shown improvement.",CHAIR POWELL.
10,"While the recovery has progressed more quickly than generally expected, it remains uneven and far from complete.",CHAIR POWELL.
11,The path of the economy continues to depend significantly on the course of the virus and the measures undertaken to control its spread.,CHAIR POWELL.
12,"Since March, progress on vaccinations has limited the number of new cases, hospitalizations, and deaths.",CHAIR POWELL.
13,"While the level of new cases remains concerning, especially as it reflects the spread of more infectious strains of the virus, continued vaccinations should allow for a return to more normal economic conditions later this year.",CHAIR POWELL.
14,In the as soon as possible.,CHAIR POWELL.
15,"As with overall economic activity, conditions in the labor market have continued to improve.",CHAIR POWELL.
16,"Employment rose 916,000 in March, as the leisure and hospitality sector posted a notable gain for the second consecutive month.",CHAIR POWELL.
17,"Nonetheless, employment in this sector is still more than 3 million below its level at the onset of the pandemic.",CHAIR POWELL.
18,"For the economy as a whole, payroll employment is 8.4 million below its pre-pandemic level.",CHAIR POWELL.
19,"The unemployment rate remained elevated at 6 percent in March, and this figure understates the shortfall in employment, particularly as participation in the labor market remains notably below pre-pandemic levels.",CHAIR POWELL.
20,"The economic downturn has not fallen equally on all Americans, and those least able to shoulder the burden have been the hardest hit.",CHAIR POWELL.
21,"In particular, the high level of joblessness has been especially severe for lower-wage workers in the service sector and for African Americans and Hispanics.",CHAIR POWELL.
22,The economic dislocation has upended many lives and created great uncertainty about the future.,CHAIR POWELL.
23,Readings on inflation have increased and are likely to rise somewhat further before moderating.,CHAIR POWELL.
24,"In the near term, 12-month measures of PCE inflation are expected to move above 2 percent as the very low readings from early in the pandemic fall out of the calculation and past increases in oil prices pass through to consumer energy prices.",CHAIR POWELL.
25,"Beyond these effects, we are also likely to see upward pressure on prices from the rebound in spending as the economy continues to reopen, particularly if supply bottlenecks limit how quickly production can respond in the near term.",CHAIR POWELL.
26,"However, these one-time increases in prices are likely to have only transitory effects on inflation.",CHAIR POWELL.
27,"employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",CHAIR POWELL.
28,"As we say in our Statement on Longer-Run Goals and Monetary Policy Strategy, we view maximum employment as a broad-based and inclusive goal.",CHAIR POWELL.
