Local time,Ask,Bid,AskVolume,BidVolume
28.04.2021 00:00:05.450 GMT+0200,4189.548,4188.849,0.0006,0.0009
28.04.2021 00:00:05.558 GMT+0200,4189.403,4188.752,0.0006,0.0009
28.04.2021 00:00:06.997 GMT+0200,4189.251,4188.534000000001,0.0006,0.0009
28.04.2021 00:00:07.168 GMT+0200,4189.46,4188.737,0.0006,0.0009
28.04.2021 00:00:08.977 GMT+0200,4189.563,4188.846,0.0006,0.0009
28.04.2021 00:00:09.137 GMT+0200,4189.463,4188.746,0.0006,0.0009
28.04.2021 00:00:09.462 GMT+0200,4189.255,4188.542,0.0022,0.0031
28.04.2021 00:00:09.512 GMT+0200,4189.258,4188.539000000001,0.0022,0.0022
28.04.2021 00:00:09.618 GMT+0200,4189.2570000000005,4188.799,0.0005,0.0022
28.04.2021 00:00:09.669 GMT+0200,4189.401,4188.736,0.0022,0.0022
28.04.2021 00:00:10.233 GMT+0200,4189.255,4188.5509999999995,0.0022,0.0031
28.04.2021 00:00:10.284 GMT+0200,4189.246,4188.545,0.0022,0.0022
28.04.2021 00:00:11.390 GMT+0200,4189.458,4188.754,0.0022,0.0022
28.04.2021 00:00:12.586 GMT+0200,4189.146,4188.445,0.0022,0.0031
28.04.2021 00:00:12.636 GMT+0200,4189.146,4188.454000000001,0.0022,0.0022
28.04.2021 00:00:13.753 GMT+0200,4189.103,4188.536,0.0005,0.0022
28.04.2021 00:00:13.803 GMT+0200,4189.201,4188.542,0.0022,0.0022
28.04.2021 00:00:14.233 GMT+0200,4189.152,4188.454000000001,0.0022,0.0031
28.04.2021 00:00:14.284 GMT+0200,4189.158,4188.442,0.0022,0.0022
28.04.2021 00:00:15.350 GMT+0200,4189.064,4188.345,0.0022,0.0022
28.04.2021 00:00:16.876 GMT+0200,4189.069,4188.5509999999995,0.0005,0.0022
28.04.2021 00:00:16.927 GMT+0200,4189.267,4188.539000000001,0.0022,0.0022
28.04.2021 00:00:20.965 GMT+0200,4189.401,4188.745,0.0022,0.0022
28.04.2021 00:00:22.703 GMT+0200,4189.2609999999995,4188.533,0.0022,0.0031
28.04.2021 00:00:22.753 GMT+0200,4189.249000000001,4188.545,0.0022,0.0022
28.04.2021 00:00:23.275 GMT+0200,4189.552000000001,4188.836,0.0022,0.0022
28.04.2021 00:00:23.935 GMT+0200,4190.064,4189.348,0.0022,0.0022
28.04.2021 00:00:26.041 GMT+0200,4189.9490000000005,4189.242,0.0022,0.0031
28.04.2021 00:00:26.092 GMT+0200,4189.946,4189.254,0.0022,0.0022
28.04.2021 00:00:26.245 GMT+0200,4190.052000000001,4189.351,0.0022,0.0022
28.04.2021 00:00:26.369 GMT+0200,4189.952,4189.251,0.0022,0.0031
28.04.2021 00:00:26.419 GMT+0200,4189.952,4189.236,0.0022,0.0022
28.04.2021 00:00:26.576 GMT+0200,4189.701,4189.045,0.0022,0.0022
28.04.2021 00:00:26.700 GMT+0200,4189.564,4188.836,0.0022,0.0031
