,Sentences,Speaker
0,"December 12, 2012  CHAIRMAN BERNANKE.",None
1,Good afternoon.,None
2,It’s been about three and a half years since the economic recovery began.,None
3,The economy continues to expand at a moderate pace.,None
4,"Unfortunately, however, unemployment remains high.",None
5,"About 5 million people—more than 40 percent of the unemployed—have been without a job for six months or more, and millions more who say they would like full-time work have been able to find only part-time employment or have stopped looking entirely.",None
6,The conditions now prevailing in the job market represent an enormous waste of human and economic potential.,None
7,"A return to broad-based prosperity will require sustained improvement in the job market, which in turn requires stronger economic growth.",None
8,"Meanwhile, apart from some temporary fluctuations that largely reflected swings in energy prices, inflation has remained tame and appears likely to run at or below the Federal Open Market Committee’s (FOMC’s) 2 percent objective in coming quarters and over the longer term.",None
9,"Against a macroeconomic backdrop that includes both high unemployment and subdued inflation, the FOMC will maintain its highly accommodative policy.",None
10,Today the Committee took several steps.,None
11,"First, it decided to continue its purchases of agency mortgage-backed securities (MBS), initiated at the September meeting, at a pace of $40 billion per month.",None
12,"Second, the Committee decided to purchase longer-term Treasury securities, initially at a pace of $45 billion per month, after its current program to extend the average maturity of its holdings is completed at the end of the year.",None
13,"In continuing its asset purchases, the Committee seeks to maintain downward pressure on longer-term interest rates and to keep financial conditions accommodative, thereby promoting hiring and economic growth while ensuring that inflation  over time is close to our 2 percent objective.",None
14,"Finally, the Committee today also modified its guidance about future rate policy to provide more information to the public about how it anticipates it will react to evolving economic conditions.",None
15,I will return to this change in our communication after discussing our decision to continue asset purchases.,None
16,"Although the Committee’s announcement today specified the initial monthly pace and composition of asset purchases, it did not give specific dates at which the program may be modified or ended.",None
17,"Instead, the pattern of future asset purchases will depend on the Committee’s evaluation of incoming information, in two respects.",None
18,"First, we expect to continue asset purchases until we see a substantial improvement in the outlook for the labor market, in a context of price stability.",None
19,"In assessing the extent of progress, the Committee will be evaluating a range of labor market indicators, including the unemployment rate, payroll employment, hours worked, and labor force participation, among others.",None
20,"Because increases in demand and production are normally precursors to improvements in labor market conditions, we will also be looking carefully at the pace of economic activity more broadly.",None
21,"Second, the Committee will be monitoring economic and financial developments to assess both the efficacy and possible drawbacks of its asset purchase program.",None
22,"The Federal Reserve’s asset purchases over the past few years have provided important support to the economy, for example, by helping to keep mortgage rates historically low.",None
23,"The Committee expects this policy tool to continue to be effective and the costs and risks to remain manageable, but as the program continues, we will be regularly updating those assessments.",None
