Local time,Ask,Bid,AskVolume,BidVolume
15.12.2021 00:00:00.077 GMT+0100,162.167,162.115,0.0137,0.0163
15.12.2021 00:00:08.732 GMT+0100,162.198,162.148,0.0137,0.0163
15.12.2021 00:00:19.015 GMT+0100,162.22299999999998,162.179,0.0137,0.0163
15.12.2021 00:01:23.909 GMT+0100,162.194,162.145,0.0137,0.0163
15.12.2021 00:04:04.371 GMT+0100,162.194,162.144,0.0137,0.0163
15.12.2021 00:05:28.710 GMT+0100,162.195,162.151,0.0137,0.0163
15.12.2021 00:07:31.956 GMT+0100,162.198,162.144,0.0137,0.0163
15.12.2021 00:08:25.640 GMT+0100,162.214,162.165,0.0137,0.0163
15.12.2021 00:08:26.788 GMT+0100,162.194,162.14700000000002,0.0137,0.0163
15.12.2021 00:09:48.031 GMT+0100,162.214,162.162,0.0137,0.0163
15.12.2021 00:09:50.035 GMT+0100,162.228,162.17700000000002,0.0137,0.0163
15.12.2021 00:10:00.241 GMT+0100,162.21,162.167,0.0137,0.0163
15.12.2021 00:10:03.830 GMT+0100,162.195,162.148,0.0137,0.0163
15.12.2021 00:12:46.541 GMT+0100,162.191,162.144,0.0137,0.0163
15.12.2021 00:12:50.767 GMT+0100,162.225,162.18,0.0137,0.0163
15.12.2021 00:19:22.920 GMT+0100,162.227,162.181,0.0137,0.0163
15.12.2021 00:20:33.284 GMT+0100,162.229,162.179,0.0137,0.0163
15.12.2021 00:22:15.876 GMT+0100,162.229,162.18,0.0137,0.0163
15.12.2021 00:23:43.409 GMT+0100,162.20700000000002,162.165,0.0137,0.0163
15.12.2021 00:23:43.514 GMT+0100,162.228,162.181,0.0137,0.0163
15.12.2021 00:24:00.003 GMT+0100,162.24,162.191,0.0137,0.0163
15.12.2021 00:24:00.263 GMT+0100,162.254,162.21,0.0137,0.0163
15.12.2021 00:26:32.793 GMT+0100,162.29,162.24200000000002,0.0137,0.0163
15.12.2021 00:27:30.194 GMT+0100,162.256,162.214,0.0137,0.0163
15.12.2021 00:30:15.240 GMT+0100,162.285,162.238,0.0137,0.0163
15.12.2021 00:30:26.230 GMT+0100,162.256,162.21,0.0137,0.0163
15.12.2021 00:31:36.296 GMT+0100,162.227,162.181,0.0137,0.0163
15.12.2021 00:31:43.318 GMT+0100,162.213,162.162,0.0137,0.0163
15.12.2021 00:31:43.852 GMT+0100,162.194,162.14600000000002,0.0137,0.0163
15.12.2021 00:34:16.747 GMT+0100,162.196,162.148,0.0137,0.0163
15.12.2021 00:35:20.281 GMT+0100,162.16,162.113,0.0137,0.0163
15.12.2021 00:35:59.933 GMT+0100,162.198,162.14600000000002,0.0137,0.0163
15.12.2021 00:37:58.630 GMT+0100,162.225,162.183,0.0137,0.0163
15.12.2021 00:37:58.986 GMT+0100,162.196,162.14600000000002,0.0137,0.0163
15.12.2021 00:38:02.667 GMT+0100,162.211,162.165,0.0137,0.0163
15.12.2021 00:38:30.586 GMT+0100,162.197,162.14600000000002,0.0137,0.0163
15.12.2021 00:38:36.517 GMT+0100,162.211,162.16,0.0137,0.0163
15.12.2021 00:38:41.417 GMT+0100,162.227,162.17600000000002,0.0137,0.0163
15.12.2021 00:39:13.634 GMT+0100,162.195,162.14700000000002,0.0137,0.0163
15.12.2021 00:40:04.230 GMT+0100,162.227,162.17700000000002,0.0137,0.0163
15.12.2021 00:40:40.974 GMT+0100,162.191,162.144,0.0137,0.0163
15.12.2021 00:41:59.745 GMT+0100,162.195,162.144,0.0137,0.0163
15.12.2021 00:43:10.219 GMT+0100,162.179,162.136,0.0137,0.0163
15.12.2021 00:43:21.564 GMT+0100,162.167,162.12,0.0137,0.0163
15.12.2021 00:44:02.610 GMT+0100,162.181,162.129,0.0137,0.0163
15.12.2021 00:44:22.367 GMT+0100,162.167,162.116,0.0137,0.0163
15.12.2021 00:45:36.491 GMT+0100,162.195,162.145,0.0137,0.0163
15.12.2021 00:45:45.308 GMT+0100,162.178,162.136,0.0137,0.0163
15.12.2021 00:45:50.645 GMT+0100,162.194,162.14600000000002,0.0137,0.0163
15.12.2021 00:45:50.782 GMT+0100,162.165,162.114,0.0137,0.0163
15.12.2021 00:45:53.684 GMT+0100,162.17600000000002,162.131,0.0137,0.0163
15.12.2021 00:46:03.365 GMT+0100,162.198,162.151,0.0137,0.0163
15.12.2021 00:46:18.389 GMT+0100,162.16,162.116,0.0137,0.0163
15.12.2021 00:46:26.486 GMT+0100,162.196,162.14700000000002,0.0137,0.0163
15.12.2021 00:48:59.630 GMT+0100,162.195,162.145,0.0137,0.0163
15.12.2021 00:50:37.517 GMT+0100,162.196,162.14600000000002,0.0137,0.0163
15.12.2021 00:51:17.792 GMT+0100,162.16,162.12,0.0137,0.0163
15.12.2021 00:51:22.793 GMT+0100,162.15,162.105,0.0137,0.0163
15.12.2021 00:51:23.972 GMT+0100,162.134,162.084,0.0137,0.0163
15.12.2021 00:51:24.927 GMT+0100,162.149,162.105,0.0137,0.0163
15.12.2021 00:51:36.257 GMT+0100,162.132,162.086,0.0137,0.0163
15.12.2021 00:51:37.594 GMT+0100,162.166,162.115,0.0137,0.0163
15.12.2021 00:55:32.564 GMT+0100,162.133,162.08700000000002,0.0137,0.0163
15.12.2021 00:56:09.487 GMT+0100,162.15200000000002,162.105,0.0137,0.0163
15.12.2021 00:56:13.353 GMT+0100,162.129,162.089,0.0137,0.0163
15.12.2021 00:59:02.726 GMT+0100,162.134,162.089,0.0137,0.0163
15.12.2021 00:59:04.410 GMT+0100,162.165,162.114,0.0137,0.0163
15.12.2021 00:59:14.828 GMT+0100,162.134,162.085,0.0137,0.0163
15.12.2021 00:59:30.011 GMT+0100,162.14700000000002,162.102,0.0137,0.0163
15.12.2021 00:59:36.716 GMT+0100,162.129,162.08700000000002,0.0137,0.0163
15.12.2021 00:59:37.101 GMT+0100,162.16,162.114,0.0137,0.0163
15.12.2021 01:03:42.321 GMT+0100,162.181,162.136,0.0137,0.0163
15.12.2021 01:03:50.996 GMT+0100,162.197,162.145,0.0137,0.0163
15.12.2021 01:04:54.475 GMT+0100,162.17600000000002,162.129,0.0137,0.0163
15.12.2021 01:04:58.750 GMT+0100,162.165,162.115,0.0137,0.0163
15.12.2021 01:05:00.038 GMT+0100,162.179,162.132,0.0137,0.0163
15.12.2021 01:05:05.232 GMT+0100,162.166,162.116,0.0137,0.0163
15.12.2021 01:05:05.903 GMT+0100,162.197,162.144,0.0137,0.0163
15.12.2021 01:05:07.370 GMT+0100,162.179,162.133,0.0137,0.0163
15.12.2021 01:05:09.001 GMT+0100,162.195,162.151,0.0137,0.0163
15.12.2021 01:06:11.007 GMT+0100,162.195,162.151,0.0137,0.0163
15.12.2021 01:08:57.506 GMT+0100,162.181,162.129,0.0137,0.0163
15.12.2021 01:08:58.230 GMT+0100,162.197,162.149,0.0137,0.0163
15.12.2021 01:08:59.053 GMT+0100,162.183,162.131,0.0137,0.0163
15.12.2021 01:08:59.157 GMT+0100,162.16299999999998,162.11700000000002,0.0137,0.0163
15.12.2021 01:11:02.456 GMT+0100,162.16,162.12,0.0137,0.0163
15.12.2021 01:13:13.783 GMT+0100,162.196,162.14600000000002,0.0137,0.0163
15.12.2021 01:13:41.974 GMT+0100,162.183,162.134,0.0137,0.0163
15.12.2021 01:13:44.339 GMT+0100,162.164,162.114,0.0137,0.0163
15.12.2021 01:13:49.491 GMT+0100,162.17600000000002,162.136,0.0137,0.0163
15.12.2021 01:13:51.379 GMT+0100,162.16,162.114,0.0137,0.0163
15.12.2021 01:13:56.242 GMT+0100,162.195,162.149,0.0137,0.0163
15.12.2021 01:13:57.092 GMT+0100,162.178,162.134,0.0137,0.0163
15.12.2021 01:13:59.151 GMT+0100,162.166,162.116,0.0137,0.0163
15.12.2021 01:14:06.600 GMT+0100,162.197,162.144,0.0137,0.0163
15.12.2021 01:16:13.211 GMT+0100,162.178,162.131,0.0137,0.0163
15.12.2021 01:16:13.320 GMT+0100,162.167,162.12,0.0137,0.0163
15.12.2021 01:16:13.600 GMT+0100,162.197,162.145,0.0137,0.0163
15.12.2021 01:17:57.319 GMT+0100,162.19299999999998,162.14600000000002,0.0137,0.0163
15.12.2021 01:20:39.078 GMT+0100,162.191,162.148,0.0137,0.0163
15.12.2021 01:22:43.445 GMT+0100,162.198,162.148,0.0137,0.0163
15.12.2021 01:28:09.710 GMT+0100,162.19299999999998,162.149,0.0137,0.0163
15.12.2021 01:32:47.075 GMT+0100,162.228,162.18,0.0137,0.0163
15.12.2021 01:33:12.949 GMT+0100,162.21200000000002,162.165,0.0137,0.0163
15.12.2021 01:33:13.186 GMT+0100,162.229,162.18,0.0137,0.0163
15.12.2021 01:36:51.765 GMT+0100,162.194,162.144,0.0137,0.0163
15.12.2021 01:37:24.159 GMT+0100,162.23,162.183,0.0137,0.0163
15.12.2021 01:38:49.064 GMT+0100,162.195,162.144,0.0137,0.0163
15.12.2021 01:39:07.289 GMT+0100,162.226,162.183,0.0137,0.0163
15.12.2021 01:39:18.209 GMT+0100,162.191,162.148,0.0137,0.0163
15.12.2021 01:39:18.460 GMT+0100,162.225,162.178,0.0137,0.0163
15.12.2021 01:39:19.446 GMT+0100,162.191,162.145,0.0137,0.0163
15.12.2021 01:39:20.161 GMT+0100,162.21,162.16,0.0137,0.0163
15.12.2021 01:39:24.926 GMT+0100,162.198,162.14700000000002,0.0137,0.0163
15.12.2021 01:39:26.644 GMT+0100,162.226,162.179,0.0137,0.0163
15.12.2021 01:39:31.181 GMT+0100,162.209,162.16,0.0137,0.0163
15.12.2021 01:39:39.092 GMT+0100,162.228,162.18,0.0137,0.0163
15.12.2021 01:40:21.231 GMT+0100,162.21,162.165,0.0137,0.0163
15.12.2021 01:40:21.386 GMT+0100,162.196,162.14700000000002,0.0137,0.0163
15.12.2021 01:40:33.186 GMT+0100,162.209,162.162,0.0137,0.0163
15.12.2021 01:40:33.288 GMT+0100,162.228,162.18,0.0137,0.0163
15.12.2021 01:40:42.458 GMT+0100,162.211,162.164,0.0137,0.0163
15.12.2021 01:40:46.684 GMT+0100,162.19299999999998,162.14700000000002,0.0137,0.0163
15.12.2021 01:42:19.984 GMT+0100,162.195,162.144,0.0137,0.0163
15.12.2021 01:42:45.345 GMT+0100,162.227,162.179,0.0137,0.0163
15.12.2021 01:47:49.001 GMT+0100,162.254,162.214,0.0137,0.0163
15.12.2021 01:47:53.911 GMT+0100,162.244,162.19299999999998,0.0137,0.0163
15.12.2021 01:47:59.649 GMT+0100,162.227,162.18,0.0137,0.0163
15.12.2021 01:47:59.889 GMT+0100,162.24,162.191,0.0137,0.0163
15.12.2021 01:48:02.305 GMT+0100,162.258,162.21200000000002,0.0137,0.0163
15.12.2021 01:48:02.696 GMT+0100,162.228,162.17600000000002,0.0137,0.0163
15.12.2021 01:52:15.983 GMT+0100,162.196,162.145,0.0137,0.0163
15.12.2021 01:52:16.231 GMT+0100,162.227,162.181,0.0137,0.0163
15.12.2021 01:52:20.981 GMT+0100,162.191,162.151,0.0137,0.0163
15.12.2021 01:58:52.074 GMT+0100,162.229,162.18,0.0137,0.0163
15.12.2021 01:58:52.268 GMT+0100,162.191,162.148,0.0137,0.0163
15.12.2021 02:00:28.503 GMT+0100,162.225,162.18,0.0137,0.0163
15.12.2021 02:00:28.630 GMT+0100,162.213,162.16299999999998,0.0137,0.0163
15.12.2021 02:00:29.541 GMT+0100,162.196,162.149,0.0137,0.0163
15.12.2021 02:01:03.517 GMT+0100,162.226,162.179,0.0137,0.0163
15.12.2021 02:02:51.113 GMT+0100,162.23,162.18,0.0137,0.0163
15.12.2021 02:03:13.876 GMT+0100,162.256,162.21,0.0137,0.0163
15.12.2021 02:03:37.540 GMT+0100,162.229,162.17700000000002,0.0137,0.0163
15.12.2021 02:05:15.855 GMT+0100,162.198,162.149,0.0137,0.0163
15.12.2021 02:05:15.981 GMT+0100,162.23,162.181,0.0137,0.0163
15.12.2021 02:12:02.637 GMT+0100,162.257,162.214,0.0137,0.0163
15.12.2021 02:15:04.960 GMT+0100,162.256,162.211,0.0137,0.0163
15.12.2021 02:18:04.889 GMT+0100,162.274,162.23,0.0137,0.0163
15.12.2021 02:18:07.187 GMT+0100,162.26,162.21200000000002,0.0137,0.0163
15.12.2021 02:18:20.056 GMT+0100,162.27200000000002,162.22299999999998,0.0137,0.0163
15.12.2021 02:18:24.197 GMT+0100,162.29,162.239,0.0137,0.0163
15.12.2021 02:18:47.834 GMT+0100,162.261,162.20700000000002,0.0137,0.0163
15.12.2021 02:20:59.727 GMT+0100,162.23,162.179,0.0137,0.0163
15.12.2021 02:20:59.936 GMT+0100,162.243,162.195,0.0137,0.0163
15.12.2021 02:21:01.247 GMT+0100,162.227,162.181,0.0137,0.0163
15.12.2021 02:22:13.447 GMT+0100,162.26,162.214,0.0137,0.0163
15.12.2021 02:23:02.402 GMT+0100,162.23,162.183,0.0137,0.0163
15.12.2021 02:23:02.582 GMT+0100,162.259,162.208,0.0137,0.0163
15.12.2021 02:24:00.470 GMT+0100,162.291,162.241,0.0137,0.0163
15.12.2021 02:26:16.469 GMT+0100,162.316,162.273,0.0137,0.0163
15.12.2021 02:28:07.978 GMT+0100,162.292,162.24200000000002,0.0137,0.0163
15.12.2021 02:29:34.677 GMT+0100,162.323,162.274,0.0137,0.0163
15.12.2021 02:29:41.000 GMT+0100,162.28799999999998,162.24200000000002,0.0137,0.0163
15.12.2021 02:34:55.646 GMT+0100,162.32,162.276,0.0137,0.0163
15.12.2021 02:34:57.732 GMT+0100,162.287,162.238,0.0137,0.0163
15.12.2021 02:34:58.630 GMT+0100,162.321,162.276,0.0137,0.0163
15.12.2021 02:34:59.002 GMT+0100,162.287,162.245,0.0137,0.0163
15.12.2021 02:35:21.585 GMT+0100,162.316,162.27,0.0137,0.0163
15.12.2021 02:36:33.315 GMT+0100,162.287,162.24200000000002,0.0137,0.0163
15.12.2021 02:36:33.486 GMT+0100,162.304,162.259,0.0137,0.0163
15.12.2021 02:36:39.429 GMT+0100,162.29,162.245,0.0137,0.0163
15.12.2021 02:36:53.114 GMT+0100,162.30700000000002,162.256,0.0137,0.0163
15.12.2021 02:36:54.705 GMT+0100,162.289,162.241,0.0137,0.0163
15.12.2021 02:38:58.400 GMT+0100,162.322,162.27200000000002,0.0137,0.0163
15.12.2021 02:42:12.264 GMT+0100,162.28799999999998,162.24,0.0137,0.0163
15.12.2021 02:43:26.174 GMT+0100,162.322,162.269,0.0137,0.0163
15.12.2021 02:43:39.733 GMT+0100,162.289,162.24,0.0137,0.0163
15.12.2021 02:44:32.964 GMT+0100,162.306,162.256,0.0137,0.0163
15.12.2021 02:44:37.814 GMT+0100,162.323,162.27100000000002,0.0137,0.0163
15.12.2021 02:45:21.815 GMT+0100,162.303,162.259,0.0137,0.0163
15.12.2021 02:45:36.221 GMT+0100,162.287,162.24200000000002,0.0137,0.0163
15.12.2021 02:45:45.832 GMT+0100,162.31799999999998,162.269,0.0137,0.0163
15.12.2021 02:46:05.328 GMT+0100,162.285,162.24,0.0137,0.0163
15.12.2021 02:47:45.722 GMT+0100,162.319,162.27,0.0137,0.0163
15.12.2021 02:47:46.065 GMT+0100,162.285,162.245,0.0137,0.0163
15.12.2021 02:49:46.585 GMT+0100,162.31799999999998,162.276,0.0137,0.0163
15.12.2021 02:49:46.689 GMT+0100,162.289,162.24200000000002,0.0137,0.0163
15.12.2021 02:55:33.171 GMT+0100,162.257,162.21,0.0137,0.0163
15.12.2021 02:57:10.344 GMT+0100,162.23,162.18,0.0137,0.0163
15.12.2021 02:57:10.470 GMT+0100,162.241,162.194,0.0137,0.0163
15.12.2021 02:57:11.186 GMT+0100,162.228,162.18,0.0137,0.0163
15.12.2021 02:57:11.590 GMT+0100,162.238,162.191,0.0137,0.0163
15.12.2021 02:57:13.353 GMT+0100,162.227,162.18,0.0137,0.0163
15.12.2021 02:59:28.563 GMT+0100,162.26,162.209,0.0137,0.0163
15.12.2021 02:59:28.936 GMT+0100,162.24,162.198,0.0137,0.0163
15.12.2021 02:59:30.338 GMT+0100,162.225,162.17600000000002,0.0137,0.0163
15.12.2021 02:59:30.810 GMT+0100,162.243,162.194,0.0137,0.0163
15.12.2021 02:59:31.026 GMT+0100,162.229,162.181,0.0137,0.0163
15.12.2021 02:59:59.533 GMT+0100,162.257,162.21,0.0137,0.0163
15.12.2021 03:03:18.582 GMT+0100,162.227,162.178,0.0137,0.0163
15.12.2021 03:04:33.353 GMT+0100,162.214,162.162,0.0137,0.0163
15.12.2021 03:04:34.066 GMT+0100,162.225,162.181,0.0137,0.0163
15.12.2021 03:04:35.096 GMT+0100,162.20700000000002,162.161,0.0137,0.0163
15.12.2021 03:04:38.512 GMT+0100,162.229,162.181,0.0137,0.0163
15.12.2021 03:04:43.180 GMT+0100,162.213,162.165,0.0137,0.0163
15.12.2021 03:04:43.664 GMT+0100,162.23,162.179,0.0137,0.0163
15.12.2021 03:05:00.158 GMT+0100,162.194,162.144,0.0137,0.0163
15.12.2021 03:05:01.279 GMT+0100,162.214,162.165,0.0137,0.0163
15.12.2021 03:05:01.436 GMT+0100,162.225,162.181,0.0137,0.0163
15.12.2021 03:11:07.440 GMT+0100,162.197,162.144,0.0137,0.0163
15.12.2021 03:11:40.131 GMT+0100,162.229,162.183,0.0137,0.0163
15.12.2021 03:11:40.880 GMT+0100,162.209,162.16,0.0137,0.0163
15.12.2021 03:11:41.293 GMT+0100,162.23,162.178,0.0137,0.0163
15.12.2021 03:11:50.283 GMT+0100,162.191,162.149,0.0137,0.0163
15.12.2021 03:12:04.147 GMT+0100,162.23,162.178,0.0137,0.0163
15.12.2021 03:12:06.788 GMT+0100,162.19299999999998,162.14600000000002,0.0137,0.0163
15.12.2021 03:13:35.448 GMT+0100,162.197,162.14600000000002,0.0137,0.0163
15.12.2021 03:14:11.151 GMT+0100,162.21200000000002,162.164,0.0137,0.0163
15.12.2021 03:14:12.556 GMT+0100,162.22299999999998,162.181,0.0137,0.0163
15.12.2021 03:16:10.729 GMT+0100,162.191,162.145,0.0137,0.0163
15.12.2021 03:17:01.250 GMT+0100,162.229,162.179,0.0137,0.0163
15.12.2021 03:18:20.711 GMT+0100,162.259,162.21,0.0137,0.0163
15.12.2021 03:18:21.075 GMT+0100,162.23,162.181,0.0137,0.0163
15.12.2021 03:18:41.926 GMT+0100,162.256,162.21200000000002,0.0137,0.0163
15.12.2021 03:18:48.936 GMT+0100,162.227,162.181,0.0137,0.0163
15.12.2021 03:18:49.642 GMT+0100,162.254,162.214,0.0137,0.0163
15.12.2021 03:19:02.165 GMT+0100,162.241,162.196,0.0137,0.0163
15.12.2021 03:19:15.380 GMT+0100,162.226,162.17700000000002,0.0137,0.0163
