,Sentences,Speaker
0,"January 25, 2012  CHAIRMAN BERNANKE.",None
1,Good afternoon and welcome.,None
2,In my opening remarks I will briefly review today’s policy decision by the Federal Open Market Committee.,None
3,And then I’ll discuss next the consensus statement that has been distributed to you regarding the Committee’s longer-run policy goals and strategy.,None
4,"And finally, I’ll place today’s policy decision in the context of our economic projections and our assessments of the appropriate path of monetary policy.",None
5,"And I’ll then, of course, be glad to take your questions.",None
6,"As indicated in the statement released earlier this afternoon, to support a stronger economic recovery and to help ensure that inflation, over time, is at levels consistent with our statutory mandate, the Committee expects to maintain a highly accommodative stance for monetary policy.",None
7,"In particular, the Committee decided to keep the target range for the federal funds rate at 0 to ¼ percent and currently anticipates that economic conditions are likely to warrant exceptionally low levels for the federal funds rate at least until late 2014.",None
8,"To provide support for the recovery in the context of price stability, the Committee will also continue the program that we announced in September to extend the average maturity of the Federal Reserve’s holdings of securities.",None
9,"Following careful deliberations, Committee participants have reached broad agreement on a statement that sets forth our longer-run goals and policy strategy.",None
10,This statement should not be interpreted as indicating any change in how the Federal Reserve conducts monetary policy.,None
11,"Rather, its purpose is to increase the transparency and predictability of policy.",None
12,"There is today widespread agreement that clear and transparent central bank communications facilitate uncertainty, increase the effectiveness of monetary policy, and enhance accountability to the public.",None
13,"The statement begins by noting the Committee’s firm commitment to fulfill our statutory mandate of promoting maximum employment, stable prices, and moderate long-term interest rates.",None
14,"Since monetary policy actions tend to influence economic activity and prices with a lag, our decisions appropriately reflect the Committee’s longer-run goals, our medium-term outlook, and our assessment of the balance of risks, including risks to the financial system that could impede the attainment of our goals.",None
15,An important aspect of policy transparency is clarity about policy objectives.,None
16,"With respect to the objective of price stability, it is essential to recognize that the inflation rate over the longer run is primarily determined by monetary policy, and hence the Committee has the ability to specify a longer-run goal for inflation.",None
17,"The Committee judges that inflation at the rate of 2 percent, as measured by the annual change in the price index for personal consumption expenditures, is most consistent over the longer run with our statutory mandate.",None
18,"Over time, a higher inflation rate would reduce the public’s ability to make accurate longer-term economic and financial decisions, whereas a lower inflation rate would be associated with an elevated probability of falling into deflation, which can lead to significant economic problems.",None
19,Clearly communicating to the public this 2 percent goal for inflation over the longer run should help foster price stability and moderate long-term interest rates and will enhance the Committee’s ability to promote maximum employment in the face of significant economic disturbances.,None
20,Maximum employment stands on an equal footing with price stability as an objective of monetary policy.,None
21,"A difference with price stability is that the maximum level of employment in a dynamics of the labor market, including demographic trends, the pace of technological innovation, and a variety of other influences, including a range of economic policies.",None
22,"Because monetary policy does not determine the maximum level of employment that the economy can sustain in the longer term, and since many of the determinants of maximum employment may change over time or may not be directly measurable, it is not feasible for any central bank to specify a fixed goal for the longer-run level of employment.",None
23,"Although the Committee cannot freely choose a longer-run goal for employment, it can estimate the level of maximum employment and use that estimate to inform its policy decisions.",None
24,"The Committee considers a wide range of indicators in making its assessments of maximum employment, recognizing that such assessments are necessarily uncertain and subject to revision over time.",None
25,"For example, in the latest set of projections that have been distributed to you, Committee participants’ estimates of the longer-run normal rate of unemployment have a central tendency of 5.2 percent to 6.0 percent—roughly unchanged from last January but higher than the corresponding interval several years ago.",None
26,"As I noted, the level of maximum employment is not immutable; in particular, it could be increased by effective policies, such as education and training that improve workforce skills.",None
27,"If the Committee’s assessments pointed to an increase in the maximum attainable level of employment, our policy strategy would be modified appropriately to aim at the higher level.",None
28,"In setting monetary policy, the Committee seeks to mitigate deviations of inflation from its mandate-consistent rate and deviations of employment from our assessments of its maximum level.",None
29,These dual objectives are generally complementary.,None
30,"For example, under present circumstances, in which the unemployment rate is elevated and the inflation outlook is subdued, consistent with promoting both objectives.",None
31,"And in the longer term, low and stable inflation can help promote healthy growth in output and employment.",None
32,"Of course, circumstances may sometimes arise in which the dual objectives are not complementary.",None
33,"In such cases, the Committee follows a balanced approach in promoting these two objectives, taking into account the magnitude of the deviations and potentially different time horizons over which inflation and employment are projected to return to levels judged consistent with our mandate.",None
34,"In other words, the Committee always treats its primary objectives of price stability and maximum employment symmetrically, and the stance of policy at any given time is determined by the size, social cost, and expected evolution of the deviations of each of the Committee’s policy objectives from its desired level.",None
35,"I will now turn to the economic projections of the 17 FOMC participants—that is, 5 Board members and 12 Reserve Bank presidents—submitted in conjunction with today’s meeting.",None
36,The central tendencies and ranges of those projections for the years 2011 to 2014 and over the longer run are depicted in the figures that have been distributed.,None
37,The longer-run projections—shown at the right of each figure—represent participants’ assessments of the rate to which each variable will converge over time under appropriate monetary policy and in the absence of further shocks to the economy.,None
38,"Incoming information suggests that the economy has been expanding moderately, notwithstanding some slowing in global growth.",None
39,"The Committee expects the pace of economic growth to be, over coming quarters—to be moderate over coming quarters, reflecting ongoing drags from the housing sector and still-tight credit conditions for many households and smaller product in 2012 have a central tendency of 2.2 to 2.7 percent.",None
40,Strains in global financial markets continue to pose significant downside risks to that outlook.,None
41,"Looking further ahead, economic activity is expected to accelerate gradually in conjunction with strengthening consumer and business confidence, improving financial conditions, and the continuation of a highly accommodative stance for monetary policy.",None
42,"Specifically, participants’ GDP projections for 2013 have a central tendency of 2.8 to 3.2 percent, and their projections for 2014 have a central tendency of 3.3 to 4.0 percent, noticeably higher than the central tendency of 2.3 to 2.6 percent for their longer-run growth projections.",None
43,"A number of recent indicators point to some further improvement in overall labor market conditions, but the unemployment rate remains elevated.",None
44,"Moreover, in light of the anticipated modest pace of economic recovery, the Committee expects that over coming quarters the unemployment rate will decline only gradually toward its mandate-consistent levels.",None
45,"Indeed, participants’ projections for the unemployment rate in the fourth quarter of this year have a central tendency of 8.2 to 8.5 percent that is little different from the latest monthly reading of 8.5 percent.",None
46,"With economic growth expected to pick up somewhat over time, the unemployment rate is expected to decline to 6.7 to 7.6 percent by the fourth quarter of 2014—still well above participants’ estimates of the longer-run normal rate of unemployment.",None
47,I’ll turn now to the outlook for inflation.,None
48,"The prices of oil and other commodities have generally flattened out or turned downward over the past couple of quarters, while low levels of resource utilization have continued to constrain the growth of labor costs.",None
49,"Consequently, consumer price inflation—which surged in the first half of last year—has been subdued in recent expectations have remained stable.",None
50,"Over coming quarters, the Committee anticipates that inflation will run at or below levels consistent with the mandate-consistent rate of 2 percent.",None
51,"Specifically, participants’ inflation projections have a central tendency of 1.4 to 1.8 percent for 2012 and remain subdued at around 1½ to 2 percent through 2014.",None
52,"As a further step in enhancing the clarity of our communications, the Committee recently decided to begin publishing information about participants’ assessments of appropriate monetary policy—that is, the path of policy that each participant judges as most likely to foster mandate-consistent outcomes for employment and inflation if the economy evolves as expected.",None
53,"These judgments about future policy underlie the participants’ projections of growth, unemployment, and inflation that I just described.",None
54,"Rather—excuse me—Importantly, these policy assessments should not be viewed as unconditional pledges.",None
55,"Rather, just as with our economic projections, these policy projections reflect the information available at the time of the forecast and are subject to future revision in light of evolving economic and financial conditions.",None
56,"In the chart labeled “Appropriate Timing of Policy Firming,” each shaded bar indicates the number of Committee participants who judge that the initial increase in the target federal funds rate would appropriately occur in the specified calendar year shown below the bar.",None
57,"Six participants anticipate that policy firming is likely to commence in 2015 or 2016, while five others expect policy firming to commence in 2014.",None
58,The remaining six participants judge that policy liftoff would be appropriate in 2012 or 2013.,None
59,"More detail is provided by the chart labeled “Appropriate Pace of Policy Firming.”  In that chart, the dots depict the distribution of participants’ assessments regarding the appropriate level of the target federal funds rate at the end of each of the next several years and over the appropriate federal funds rate at the end of 2014 will be at or below 1 percent, while 6 participants anticipate higher rates at that time.",None
60,"In effect, those judgments are reflected in today’s meeting statement, in which the Committee indicated that economic conditions “are likely to warrant exceptionally low levels for the federal funds rate at least through late 2014.”   As I have noted, we are also proceeding with the program that we announced in September to extend the average maturity of the Federal Reserve’s holding of securities, thereby fostering more accommodative financial conditions without changing the overall size of the Federal Reserve’s balance sheet.",None
61,"The Committee regularly reviews the size and composition of our securities holdings, and we will adjust those holdings as appropriate.",None
62,"In particular, the Committee recognizes the hardships imposed by high and persistent unemployment and an underperforming economy, and it is prepared to provide further monetary accommodation if employment is not making sufficient progress toward our assessments of its maximum level or if inflation shows signs of moving further below its mandate-consistent rate.",None
63,Thank you for your patience.,None
64,I’ll be happy to take your questions.,None
65,Thank you.,STEVE LIESMAN.
66,"Steve Liesman, CNBC.",STEVE LIESMAN.
67,"Mr. Chairman, we’ve had several months of economic data that’s been stronger than most forecasters expected—employment was over 200,000, the unemployment rate’s come down to 8½ percent—but there seems to be very little mention of this recent strength in the statement.",STEVE LIESMAN.
68,"Do you and the Committee, Mr. Chairman, harbor doubts about the recent strength in the economy?",STEVE LIESMAN.
69,And are you and the Committee baking in additional quantitative easing in order to achieve the growth rates that you’ve even forecast here?,STEVE LIESMAN.
70,Thank you.,STEVE LIESMAN.
71,"Steve, there’s certainly been some encouraging news improved, industrial production has been relatively strong—so there are some positive signs, no doubt.",CHAIRMAN BERNANKE.
72,"At the same time, we’ve had mixed results in some other areas, such as retail sales, and we continue to see headwinds emanating from Europe, coming from the slowing global economy and some other factors as well.",CHAIRMAN BERNANKE.
73,"So, you know, we are obviously hoping that the strength we saw in the fourth quarter and in recent data will continue into 2012, but we’re going to continue to monitor that situation.",CHAIRMAN BERNANKE.
74,"I don’t think we’re ready to declare that we’ve entered a new, stronger phase at this point; we’ll continue to look at the data.",CHAIRMAN BERNANKE.
75,"We will, as I’ve said in my statement, and as we have in fact in the FOMC statement, you know, we continue to review our holdings—our portfolio holdings, securities, and we are prepared to take further steps in that direction if we see that the recovery’s faltering or if inflation is not moving toward target.",CHAIRMAN BERNANKE.
76,So that’s something—that’s an option that’s certainly on the table.,CHAIRMAN BERNANKE.
77,"I think it would be premature to say definitively one way or the other, but we continue to look at that option, and if conditions warrant, we will certainly consider using it.",CHAIRMAN BERNANKE.
78,Thank you.,BINYAMIN APPELBAUM.
79,I’m a little confused by these forecasts.,BINYAMIN APPELBAUM.
80,I was hoping you could sort of help me understand what we’re looking at.,BINYAMIN APPELBAUM.
81,"It seems to say that you expect that at the end of 2014, unemployment will be at or above 7 percent, inflation will be at or below 2 percent—and yet 11 of the 17 members of your Committee think that will be a good moment to start raising interest rates again.",BINYAMIN APPELBAUM.
82,"If unemployment and inflation are in fact symmetric objectives for the Fed, how can that possibly be the case?",BINYAMIN APPELBAUM.
83,And is there any tolerance for above-trend inflation in the service of catch-up growth?,BINYAMIN APPELBAUM.
84,"Well, let me first observe that we have in fact, of course, been very accommodative in the last couple of years.",CHAIRMAN BERNANKE.
85,"We’ve kept interest rates close to zero, the period over which we expect to see rates very low, and our maturity extension program is still ongoing, so we maintain a quite accommodative path of policy at this point.",CHAIRMAN BERNANKE.
86,I would further say that I think it’s important to emphasize that we’re not going to mechanically take the interest rate projections that participants provide and just build policy off of that.,CHAIRMAN BERNANKE.
87,"I mean, it’s still going to be necessary for the Committee to exercise collective judgment, to consider the costs and risks of additional policy actions, to discuss the uncertainty about the forecast and other factors that come into the policy decision.",CHAIRMAN BERNANKE.
88,"Now, all that being said, if inflation is going to remain below target for an extended period, and unemployment progress is very slow, then I think your implicit question is right, there is a case for additional policy action, and we’ll—you know, we want to continue to observe the situation, but we’re certainly prepared to look for different ways to provide support to the economy if, in fact, we have this unsatisfactory situation.",CHAIRMAN BERNANKE.
89,"Hi, Mr. Chairman, Craig Torres from Bloomberg News.",CRAIG TORRES.
90,"Congrats on the inflation target, or goal—that’s a big achievement for you, I’m sure.",CRAIG TORRES.
91,I’d like to ask if you could explain a little bit the way you think inflation is now working in the economy.,CRAIG TORRES.
92,"The 2012 central tendency is kind of low, and along with that question, I’d like to know where you think full employment is in the near term, like the next year or two, given the structural impediments that many Fed officials have been talking about.",CRAIG TORRES.
93,"Well, there are a number of factors that make us expect inflation to be quite low in the next couple of years.",CHAIRMAN BERNANKE.
94,"Certainly, we are seeing a reversal, or at least a flattening out, of the commodity price increases that caused headline inflation to rise earlier in 2011.",CHAIRMAN BERNANKE.
95,"And the futures markets, and our own estimates of supply and demand globally with the slowing global economy, suggest that most likely—although, of course, there’s a lot of On top of that, of course, we have a very high rate of unemployment; pressure on wages is quite restrained.",CHAIRMAN BERNANKE.
96,"And putting that together with strong productivity gains, the costs of production—unit labor costs—are growing very slowly.",CHAIRMAN BERNANKE.
97,"Expectations of inflation seem well anchored and, in fact, have been on the low side relative to recent history in recent months.",CHAIRMAN BERNANKE.
98,"So for all those reasons, inflation looks to be at or modestly below the 2 percent target going forward.",CHAIRMAN BERNANKE.
99,"With respect to the maximum employment measure, we provided a—we have been providing, in fact, for four years, as long as we’ve been providing the economic projections—an estimate of the long-run sustainable rate of unemployment, which is currently—the central tendency is currently 5.2 to 6 percent.",CHAIRMAN BERNANKE.
100,"That is higher than it was a couple of years ago, reflecting structural impediments and other changes.",CHAIRMAN BERNANKE.
101,"We’re concerned that the large amount of long-term unemployment may be causing some workers to lose skills or lose labor force attachment, which, at least for a while, will also likely increase the so-called natural rate, or sustainable rate, of unemployment.",CHAIRMAN BERNANKE.
102,So there are a number of factors working in that direction.,CHAIRMAN BERNANKE.
103,"But in any case, while there’s certainly a lot of uncertainty about exactly where the natural rate of unemployment is, clearly, at 8½ percent, I think we’re comfortably above anybody’s estimate, and for that reason, we still consider the labor market to be obviously quite slack.",CHAIRMAN BERNANKE.
104,Thank you.,JON HILSENRATH.
105,Jon Hilsenrath from the Wall Street Journal.,JON HILSENRATH.
106,"Mr. Chairman, how much confidence do you have in the FOMC’s ability to forecast the economy and inflation out three years?",JON HILSENRATH.
107,"And consequently, how much confidence do you have in the interest rate projections that the Fed has made public today, particularly the ones that go out to 2014 and beyond?",JON HILSENRATH.
108,"And if I may add a follow-up to that, there seems to be an asymmetry in these Chairman.",JON HILSENRATH.
109,"So when we look at these projections, are we really seeing the most likely expected path of interest rates because the Chairman’s view isn’t represented exclusively here?",JON HILSENRATH.
110,"Well, your first question—our ability to forecast three and four years out is obviously very limited, there’s no question about that.",CHAIRMAN BERNANKE.
