,Sentences,Speaker
0,Good afternoon.,CHAIR POWELL.
1,The pandemic continues to cause tremendous human and economic hardship here in the United States and around the world.,CHAIR POWELL.
2,"The most important response to this public health crisis has come from our health-care workers, and we remain grateful to them and to the many other essential workers for putting themselves at risk day after day in service to others and to our country.",CHAIR POWELL.
3,All of us have a role to play in our nation’s response to the pandemic.,CHAIR POWELL.
4,"At the Federal Reserve, we remain committed to using our tools to do what we can, and for as long as it takes, to provide some relief and stability, to ensure that the recovery will be as strong as possible, and to limit lasting damage to the economy.",CHAIR POWELL.
5,"In recent months, economic activity picked up as the economy began to reopen.",CHAIR POWELL.
6,"Many businesses opened their doors, factories restarted production, and more people left their homes to engage in various activities.",CHAIR POWELL.
7,"As a result, household spending looks to have recovered about half of its earlier decline, although spending for services such as air travel and hotels has shown much less of a pickup.",CHAIR POWELL.
8,"The recovery in household spending also likely owes to federal stimulus payments and expanded unemployment benefits, which provided substantial and timely support to household incomes.",CHAIR POWELL.
9,"In contrast, indicators of business fixed investment have yet to show a recovery.",CHAIR POWELL.
10,"Even with the improved economic news in May and June, overall activity remains well below its level before the pandemic, and the contraction in real GDP in the second quarter will likely be the largest on record.",CHAIR POWELL.
11,The labor market has followed a similar pattern.,CHAIR POWELL.
12,"After precipitous drops in March and April, employment rose strongly in May and June as many people returned to work from temporary layoffs.",CHAIR POWELL.
13,"As a result, of the roughly 22 million jobs that had been lost, about one-third had been regained as of the June payroll report.",CHAIR POWELL.
14,"The unemployment rate declined in May and June but, at 11.1 percent, remains far above its level before the outbreak and greater than the peak during the Global Financial Crisis.",CHAIR POWELL.
15,"In addition, the downturn has not fallen equally on all Americans, and those least able to bear the burden have been the most affected.",CHAIR POWELL.
16,"In particular, the rise in joblessness has been especially severe for lower-wage workers, for women, and for African Americans and Hispanics.",CHAIR POWELL.
17,This reversal of economic fortune has upended many lives and created great uncertainty about the future.,CHAIR POWELL.
18,The pandemic has also left a significant imprint on inflation.,CHAIR POWELL.
19,"For some goods, including food, supply constraints have led to notably higher prices, adding to the burden for those struggling with lost income.",CHAIR POWELL.
20,"More broadly, however, weaker demand, especially in sectors—such as travel and hospitality—that have been most affected by the pandemic, has held down consumer prices, and, overall, inflation is running well below our symmetric 2 percent objective.",CHAIR POWELL.
21,Along with the recent increases in economic activity have come new challenges.,CHAIR POWELL.
22,"After declining gradually from a peak near the end of April, the number of COVID-19 cases has increased sharply in many parts of the country since mid-June.",CHAIR POWELL.
23,"We have thus entered a new phase in containing the virus, which is essential to protect both our health and our economy.",CHAIR POWELL.
24,"As we have emphasized throughout the pandemic, the path forward for the economy is extraordinarily uncertain and will depend in large part on our success in keeping the virus in check.",CHAIR POWELL.
25,"Indeed, we have seen some signs in recent weeks that the increase in virus cases and the renewed measures to control it are starting to weigh on economic activity.",CHAIR POWELL.
26,"For example, some measures of consumer spending based on debit card and credit card use have moved down since late June, while recent labor market indicators point to a slowing in job growth, especially among smaller businesses.",CHAIR POWELL.
27,A full recovery is unlikely until people are confident that it’s safe to reengage in a broad range of activities.,CHAIR POWELL.
28,The path forward will also depend on policy actions taken at all levels of government to provide relief and to support the recovery for as long as needed.,CHAIR POWELL.
29,"The Federal Reserve’s response to this crisis has been guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",CHAIR POWELL.
30,We are committed to using our full range of tools to support the economy in this challenging time.,CHAIR POWELL.
31,We have held our policy rate near zero since mid-March and have stated that we will keep it there until we are confident that the economy has weathered recent events and is on track to achieve our maximum-employment and price-stability goals.,CHAIR POWELL.
32,"We’ve been purchasing sizable quantities of Treasury and agency mortgage-backed securities in order to support orderly conditions in the markets, which are vital to the flow of credit in the economy.",CHAIR POWELL.
33,"To sustain smooth market functioning and foster effective transmission of monetary policy to broader financial conditions, we will continue to increase our holdings of Treasury and agency mortgage-backed securities at least at the current pace.",CHAIR POWELL.
34,These purchases are also fostering more accommodative financial conditions.,CHAIR POWELL.
35,"The Federal Reserve has also been taking broad and forceful actions to more directly support the flow of credit in the economy for households, for businesses large and small, and for state and local governments.",CHAIR POWELL.
36,"Without access to credit, families could be forced to cut back on necessities or even lose their homes.",CHAIR POWELL.
37,"Businesses could be forced to downsize or close, resulting in further job losses and income losses and worsening the downturn.",CHAIR POWELL.
38,Preserving the flow of credit is thus essential for mitigating the damage to the economy and promoting the recovery.,CHAIR POWELL.
39,"Many of our programs rely on emergency lending powers that require the support of the Treasury Department and are available only in very unusual circumstances, such as those we find ourselves in today.",CHAIR POWELL.
40,These programs benefit the economy by providing financing where it is not otherwise available.,CHAIR POWELL.
41,"In addition, by serving as a backstop to key credit markets, the programs appear to have significantly increased the extension of credit from private lenders.",CHAIR POWELL.
42,"We are deploying these lending powers to an unprecedented extent, enabled in large part by financial backing and support from Congress and the Treasury.",CHAIR POWELL.
43,We will continue to use these powers until we are confident that we are solidly on the road to recovery.,CHAIR POWELL.
44,This week we extended these programs through the end of the year.,CHAIR POWELL.
45,"When the time comes, after the crisis has passed, we will put these emergency tools back in the toolbox.",CHAIR POWELL.
46,"As I have emphasized before, these are lending powers, not spending powers.",CHAIR POWELL.
47,The Fed cannot grant money to particular beneficiaries.,CHAIR POWELL.
48,We can only create programs or facilities with broad-based eligibility to make loans to solvent entities with the expectation that the loans will be repaid.,CHAIR POWELL.
49,"Many borrowers will benefit from these programs, as will the overall economy.",CHAIR POWELL.
50,"But for many others, getting a loan that may be difficult to repay may not be the answer.",CHAIR POWELL.
51,"In these cases, direct fiscal support may be needed.",CHAIR POWELL.
52,"Elected officials have the power to tax and spend and to make decisions about where we, as a society, should direct our collective resources.",CHAIR POWELL.
53,"The fiscal policy actions that have been taken thus far have made a critical difference to families, businesses, and communities across the country.",CHAIR POWELL.
54,"Even so, the current economic downturn is the most severe in our lifetimes.",CHAIR POWELL.
55,"It will take a while to get back to the levels of economic activity and employment that prevailed at the beginning of the year, and it will take continued support from both monetary and fiscal policy to achieve that.",CHAIR POWELL.
56,"Before taking your questions, I’ll provide an update on our review of our monetary policy framework.",CHAIR POWELL.
57,[Clears throat]  Excuse me.,CHAIR POWELL.
58,"As a reminder, we began this public review of our monetary policy strategy, tools, and communication practices—a first for the Federal Reserve—early last year.",CHAIR POWELL.
59,"Our purpose has been to take a comprehensive look at how we can best meet our maximum-employment and price-stability objectives in the years ahead, particularly in light of the generally lower level of interest rates around the world.",CHAIR POWELL.
60,"As is evident in our current situation, the lower level of interest rates has reduced the scope for the Committee to support the economy by cutting interest rates.",CHAIR POWELL.
61,"Our plans to conclude this review were, like so many things, delayed by the pandemic.",CHAIR POWELL.
62,"At this meeting, my colleagues and I resumed our discussions.",CHAIR POWELL.
63,Our focus was on possible enhancements to our Statement on Longer-Run Goals and Monetary Policy Strategy.,CHAIR POWELL.
64,"This document states our goals, articulates our approach to monetary policy, and serves at the foundation—as the foundation for our policy actions.",CHAIR POWELL.
65,"While I do not have any details to share with you today, I am confident that we will continue to make progress and will wrap up our deliberations in the near future.",CHAIR POWELL.
66,"We understand that the work of the Fed touches communities, families, and businesses across the country.",CHAIR POWELL.
67,Everything we do is in service to our public mission.,CHAIR POWELL.
68,We are committed to using our full range of tools to support the economy and to help assure that the recovery from this difficult period will be as robust as possible.,CHAIR POWELL.
69,Thank you.,CHAIR POWELL.
70,I will look forward to your questions.,CHAIR POWELL.
71,James Politi.,MICHELLE SMITH.
72,Hi there.,JAMES POLITI.
73,James Politi with the Financial Times.,JAMES POLITI.
74,"Chair Powell, the Fed today decided to extend dollar liquidity swap lines with a number of central banks around the world.",JAMES POLITI.
75,Why was that important for the Fed?,JAMES POLITI.
76,And how concerned are you about dollar shortages persisting over time through the pandemic?,JAMES POLITI.
77,"Well, so our—our dollar swap lines—we introduced those back at the beginning of—of this episode after the pandemic made itself present.",CHAIR POWELL.
78,And dollar funding markets were in very difficult shape at the time.,CHAIR POWELL.
79,And the introduction of the swap lines has really restored dollar funding markets around the world to fairly normal levels of activity.,CHAIR POWELL.
80,And so they kind of served their purpose.,CHAIR POWELL.
81,"But we extended them—I guess, yesterday morning—really to facilitate planning by other central banks and just so people will know that those facilities are still there.",CHAIR POWELL.
82,We want them to remain in place and be available as long as they are needed.,CHAIR POWELL.
83,"And since, you know, the crisis and the economic fallout from—from the pandemic are far from over, we’re going to leave those in place for the time being.",CHAIR POWELL.
84,And we’ll leave them in place until we’re confident that they’re no longer needed.,CHAIR POWELL.
85,There’s nothing that’s going on in the market right now that raises any concerns.,CHAIR POWELL.
86,"It’s just, we want them to be there as a backstop for markets.",CHAIR POWELL.
87,Okay.,MICHELLE SMITH.
88,Steve Liesman.,MICHELLE SMITH.
89,"Steve Liesman, CNBC.",STEVE LIESMAN.
90,I hope that you can hear me.,STEVE LIESMAN.
91,"Mr. Chairman, given—you’ve said several times now that you have lending, not spending, powers.",STEVE LIESMAN.
92,"Given that a lot of the capacity of these programs has not been used and, really, barely used, do you think that some of this money that has been dedicated by the Treasury to the Federal Reserve should be considered to be used by Congress as direct grants to businesses that are in need right now or to households, given that Congress is now saying that money is limited and they shouldn’t take—they do not want to pass a very large stimulus bill?",STEVE LIESMAN.
93,Is this money doing the best for the nation as a backstop for Federal Reserve programs that don’t seem to be being used all that much right now?,STEVE LIESMAN.
94,Thank you.,STEVE LIESMAN.
95,"And I have a follow-up, sir.",STEVE LIESMAN.
96,So they—that—that’s really a question for Congress.,CHAIR POWELL.
97,"They—they appropriated that money, and—$454 billion for our facilities, and it’s really a question for them.",CHAIR POWELL.
98,So you’re right that our facilities have not—we haven’t done as much lending as we thought.,CHAIR POWELL.
99,"But, in very substantial measure, that’s because markets started working again fairly soon after we announced the facilities, particularly in the corporate credit facilities, also in the muni—in the muni space, and also in the short-term funding facilities—the three of those that we set up.",CHAIR POWELL.
100,So we didn’t turn out to need the kind of funding that we thought we would.,CHAIR POWELL.
101,"On the other hand, it’s important that the facilities stay in place, and that’s why we extended them yesterday.",CHAIR POWELL.
102,"It’s important that they still stay in place until we’re, you know, very confident that the turmoil from the pandemic and the economic fallout are behind us.",CHAIR POWELL.
103,"So I—I can’t really speak to what Congress should do with it, but it’s important that the facilities be there and be fully funded in case the needs do arise down the road.",CHAIR POWELL.
104,"We don’t see them now, but, in case they do arise, they should be there.",CHAIR POWELL.
105,Has any consideration—thank you.,STEVE LIESMAN.
106,Has any consideration been given to asking Congress to allow the Federal Reserve to lend to companies in bankruptcy?,STEVE LIESMAN.
107,Thank you.,STEVE LIESMAN.
108,"Not that I’m aware of, no.",CHAIR POWELL.
109,Thank you.,MICHELLE SMITH.
110,Nick Timiraos.,MICHELLE SMITH.
111,"[No response]  Nick, are you there?",MICHELLE SMITH.
112,[No response] UNIDENTIFIED SPEAKER.,MICHELLE SMITH.
113,[Aside]  I didn’t hear you say that.,MICHELLE SMITH.
114,"We’ll go to David Gura, NBC.",MICHELLE SMITH.
115,"Mr. Chairman, thank you very much.",DAVID GURA.
116,No doubt you were paying attention when two of your predecessors were up on Capitol Hill just a few days ago answering some questions from—from lawmakers.,DAVID GURA.
117,And a question they each answered had to do with the continuation of these pandemic unemployment benefits.,DAVID GURA.
118,And something we’ve heard a lot is that they could be a disincentive to work.,DAVID GURA.
119,Both of them addressed that.,DAVID GURA.
120,I wonder if you would as well.,DAVID GURA.
121,"And then, as a follow-up, I wonder what you’ve learned about the degree to which this has led to a widening of the wealth gap in this country, the degree to which maybe people are experiencing two different kinds of—of pandemics here.",DAVID GURA.
122,Some are getting through this based on what they’ve saved and the jobs that they have.,DAVID GURA.
123,Others are really struggling to get by.,DAVID GURA.
124,"And I wonder what role—what additional role the Fed could have in, sort of, bridging that—that yawning gap.",DAVID GURA.
125,"So, on your first question, I wouldn’t want to be giving very detailed, specific advice on particular programs and the level they should be at and that kind of thing.",CHAIR POWELL.
126,"I just will say the following, that, you know, this—this pandemic and its fallout really represents the biggest shock to the U.S. economy in living memory.",CHAIR POWELL.
127,"We went from the lowest levels of unemployment we’d had in 50 years to the highest levels we’ve had in 90 years, and we did it in the space of two months.",CHAIR POWELL.
128,"And I would say that the response from the fiscal authorities was strong, it was fast, it was broad—and appropriately so.",CHAIR POWELL.
129,And I think we are seeing the results of the earlier strong fiscal actions.,CHAIR POWELL.
130,"When you see the spending that’s happening, when you see small businesses staying in business even though the economy hasn’t fully, successfully, sustainably reopened yet in many places, you are seeing what happens with that—that money.",CHAIR POWELL.
131,"And so, in—in a broad sense, it’s been well spent.",CHAIR POWELL.
132,It’s kept people in their homes.,CHAIR POWELL.
133,It’s kept businesses in business.,CHAIR POWELL.
134,And that’s all a good thing.,CHAIR POWELL.
135,"I think, in the broad scheme of things, that there will be a need both for more support from us and from more fiscal policy.",CHAIR POWELL.
136,Fiscal policy is up to Congress.,CHAIR POWELL.
137,You see the ongoing discussions that they’re having.,CHAIR POWELL.
138,"And it suggests to me that there’s—you know, that both sides, they’re wrangling over—over various provisions but nonetheless believe that there is a need for some additional fiscal support.",CHAIR POWELL.
139,And the last thing I’ll say is that if the expansion—even if—sorry.,CHAIR POWELL.
140,"Even if the reopening goes well and many, many people go back to work, it’s still going to take a fairly long time for the parts of the economy that are—that involve lots of people getting together in close proximity.",CHAIR POWELL.
141,"And that means that many of the people who were laid off from those industries—and that’s restaurants, you know, bars, hotels, public entertainment, all of those places, travel and accommodation—many of those people are going to find it hard to go back—they can’t go back to their old job.",CHAIR POWELL.
142,There won’t be enough jobs for them.,CHAIR POWELL.
143,So I think those people are going to need support.,CHAIR POWELL.
144,I can’t say what the exact level should be.,CHAIR POWELL.
145,It’s not our role.,CHAIR POWELL.
146,"But they’re going to need support if they’re to be able to pay their bills, to continue spending money, to remain in their current rental house or—or apartment or a house if they own it.",CHAIR POWELL.
147,So I think there will be a need.,CHAIR POWELL.
148,"In terms of inequality, really—so I think it’s fair to say that the burdens of the pandemic have fallen on, heavily—they’ve fallen on everyone, but they’ve fallen very heavily on people who work in the service industries in relatively low-paying jobs.",CHAIR POWELL.
149,"So there was a—a figure that came out of some of our research that was that if you make $40,000 a year or less, then 40 percent—you had a 40 percent chance of losing your job in April and May.",CHAIR POWELL.
150,"So it’s falling very heavily on—on people who have the least financial wherewithal to, you know, to bear that.",CHAIR POWELL.
151,And that happens to be heavily skewed to minorities and to women.,CHAIR POWELL.
152,So that’s just what the pandemic is doing.,CHAIR POWELL.
153,"You know, in terms of what we’re doing, what we’re trying to do is create an environment in the financial markets and in the economy where those people have the best chance they can have to go back to work to their old job or to a new job.",CHAIR POWELL.
154,That’s really what we’re doing.,CHAIR POWELL.
155,Everything we do is directed at that.,CHAIR POWELL.
156,"And, you know, the—I would say—I would say one last thing on inequality.",CHAIR POWELL.
157,"That is, inequality is a—is an issue—has been a growing issue in our country and in our economy for four decades.",CHAIR POWELL.
158,And you see it—it has many faces.,CHAIR POWELL.
159,You see it in the relative flattening-out of—of incomes for people in low and—lower and middle incomes as compared to those at the top.,CHAIR POWELL.
160,You see it in low mobility where people—where the chances of moving up from the bottom to the middle or the top have declined and are lower than they are in other comparable wealthy countries.,CHAIR POWELL.
161,"So it’s a serious economic problem for the United States, but it’s—it’s got underlying causes that are not related to monetary policy or to our response to the pandemic.",CHAIR POWELL.
162,"Again, four decades of evidence suggests it’s about globalization.",CHAIR POWELL.
163,It’s about the flattening-out of educational attainment in the United States compared to our other competitor countries.,CHAIR POWELL.
164,"It’s about technology advancing, too.",CHAIR POWELL.
165,"If you’re on the wrong side of those forces, it’s been—your income has stagnated.",CHAIR POWELL.
166,"So it’s—it’s a critical, critical problem for our society, but one that really falls mainly to fiscal policy and other policies.",CHAIR POWELL.
167,Our part of it is to—is to push as hard as we can on our employment mandate while keeping price stability.,CHAIR POWELL.
168,We saw what happened to people at—at the lower end of the income spectrum late in the last expansion.,CHAIR POWELL.
169,"It was the best labor market in 50 years, they told us.",CHAIR POWELL.
170,"We saw that the biggest wage increases were going to people at the bottom end of the—of the wage spectrum for the last couple of years of that 10-year, 8-month expansion.",CHAIR POWELL.
171,"So a tight labor market is probably the best thing that the Fed can foster to—to go after that—that problem, which is a—a serious one.",CHAIR POWELL.
172,"And now, Nick Timiraos.",MICHELLE SMITH.
173,Yeah.,NICK TIMIRAOS.
174,[Inaudible] Journal.,NICK TIMIRAOS.
175,"Chair Powell, you have described your asset purchase objective as stabilizing markets.",NICK TIMIRAOS.
176,"And with markets having stabilized, aren’t the asset purchases now doing more than address market function by supporting your macroeconomic objectives?",NICK TIMIRAOS.
177,"The other question I have is, what is your strategy going to be with respect to using asset purchases to support your macroeconomic objectives going forward?",NICK TIMIRAOS.
178,Thanks.,NICK TIMIRAOS.
179,"So you’re right, the asset purchases in—in their current size really sprang from severe dysfunction in the Treasury and MBS markets at the beginning of the market reaction to the pandemic.",CHAIR POWELL.
180,"And thanks to those purchases, we have substantially restored—not fully, but substantially restored functioning markets.",CHAIR POWELL.
181,This is absolutely critical.,CHAIR POWELL.
182,"That market is really one of the—it’s part of the absolute bedrock of the global financial markets, and it’s—it’s essential that it—that it work well, and it is doing so now.",CHAIR POWELL.
183,"And we’ve always said, though, that we understand, accept, and are fine with the fact that—that those purchases are also fostering a more accommodative stance of monetary policy, which would tend to support macroeconomic outcomes.",CHAIR POWELL.
184,"So it’s doing both, and—and, you know, we’ve understood that for some time.",CHAIR POWELL.
185,It’s not—the programs are not structured exactly like the—the QE programs were in the last—in the last financial—in the aftermath of the last financial crisis.,CHAIR POWELL.
186,Those were more focused on buying longer-run securities.,CHAIR POWELL.
187,The current purchases are all across the—the maturity spectrum.,CHAIR POWELL.
188,"Nonetheless, they are supporting accommodative financial conditions.",CHAIR POWELL.
189,I think it’s—it’s clear that that’s the case.,CHAIR POWELL.
190,"In terms of our strategy, you know, that just remains to be seen.",CHAIR POWELL.
191,"We—as you know, we’ve spent a lot of time in meetings this year looking at the tools that we have to adjust our current stance of policy.",CHAIR POWELL.
192,We do feel that our current monetary policy stance is the appropriate one.,CHAIR POWELL.
193,"You know, we cut rates close to zero right at the beginning.",CHAIR POWELL.
194,"We—we ramped up asset purchases, and those—those have really helped.",CHAIR POWELL.
195,"And we gave forward guidance on—on both of those things, which the markets appear to understand, and market pricing is consistent with those.",CHAIR POWELL.
196,So we think we’re—we think that our—our policy stance is a good one.,CHAIR POWELL.
197,"We’re, of course, prepared to adjust that stance as appropriate and when we deem it as appropriate to—to better foster achievement of our goals, of course.",CHAIR POWELL.
198,Okay.,MICHELLE SMITH.
199,Jeanna.,MICHELLE SMITH.
200,"Hi, Chair Powell.",JEANNA SMIALEK.
201,Thank you for taking my question.,JEANNA SMIALEK.
202,"You talked to Larry Fink at BlackRock in March, April, and May, according to your public calendars.",JEANNA SMIALEK.
203,"I was wondering if you could tell us a little bit about what you talked about, and, if the topic of those conversations was the corporate credit facilities, how did you handle potential conflicts of interest during those conversations?",JEANNA SMIALEK.
204,"Well, so—so BlackRock is just our agent.",CHAIR POWELL.
205,"You know, we make the policy decisions in conjunction with our colleagues, and they just execute our—our plans.",CHAIR POWELL.
206,"I actually don’t remember exactly what I would have been talking with him about, but he’s a—you know, he’s the head of a major service provider.",CHAIR POWELL.
207,He generally checks in to find out whether we’re okay with the quality of the service that—that BlackRock is providing.,CHAIR POWELL.
208,"I don’t have the daily face-to-face interaction with anybody else at BlackRock or—or, as you can see, three phone calls in the course of a few months.",CHAIR POWELL.
209,It wasn’t very many.,CHAIR POWELL.
