Local time,Ask,Bid,AskVolume,BidVolume
13.06.2018 00:00:47.797 GMT+0100,2788.8309999999997,2788.1690000000003,0.0041,0.0039
13.06.2018 00:05:03.224 GMT+0100,2788.73,2788.1690000000003,0.0031,0.0014
13.06.2018 00:05:03.275 GMT+0100,2788.73,2788.07,0.0031,0.0029
13.06.2018 00:05:03.907 GMT+0100,2788.63,2788.07,0.0016,0.0014
13.06.2018 00:05:03.957 GMT+0100,2788.63,2787.9700000000003,0.0031,0.0029
13.06.2018 00:05:04.927 GMT+0100,2788.7309999999998,2788.0690000000004,0.0062,0.0014
13.06.2018 00:05:04.977 GMT+0100,2788.7309999999998,2788.07,0.0062,0.0014
13.06.2018 00:05:05.118 GMT+0100,2788.8309999999997,2788.1690000000003,0.0062,0.0014
13.06.2018 00:05:05.169 GMT+0100,2788.8309999999997,2788.1690000000003,0.0062,0.0058
13.06.2018 00:05:05.284 GMT+0100,2788.631,2788.1690000000003,0.0016,0.0029
13.06.2018 00:05:05.335 GMT+0100,2788.631,2787.9690000000005,0.0062,0.0058
13.06.2018 00:26:16.795 GMT+0100,2788.8309999999997,2788.1690000000003,0.0021,0.0019
13.06.2018 00:30:23.264 GMT+0100,2789.03,2788.37,0.0041,0.0014
13.06.2018 00:30:23.314 GMT+0100,2789.03,2788.37,0.0016,0.0014
13.06.2018 00:30:24.157 GMT+0100,2789.13,2788.4700000000003,0.0062,0.0014
13.06.2018 00:30:24.208 GMT+0100,2789.13,2788.4700000000003,0.0031,0.0029
13.06.2018 00:30:24.317 GMT+0100,2788.8309999999997,2788.4700000000003,0.0016,0.0014
13.06.2018 00:30:24.368 GMT+0100,2788.8309999999997,2788.17,0.0062,0.0029
13.06.2018 00:30:42.349 GMT+0100,2789.031,2788.369,0.0062,0.0014
13.06.2018 00:30:42.400 GMT+0100,2789.031,2788.369,0.0062,0.0058
13.06.2018 00:30:49.419 GMT+0100,2789.131,2788.4690000000005,0.0062,0.0014
13.06.2018 00:30:49.469 GMT+0100,2789.131,2788.4700000000003,0.0062,0.0014
13.06.2018 00:31:57.798 GMT+0100,2789.131,2788.4690000000005,0.0041,0.0039
13.06.2018 00:32:41.448 GMT+0100,2789.3309999999997,2788.6690000000003,0.0041,0.0014
13.06.2018 00:32:41.499 GMT+0100,2789.3309999999997,2788.67,0.0062,0.0029
13.06.2018 00:36:33.509 GMT+0100,2789.8309999999997,2789.1690000000003,0.0041,0.0014
13.06.2018 00:36:33.559 GMT+0100,2789.8309999999997,2789.1690000000003,0.0062,0.0058
13.06.2018 00:36:33.660 GMT+0100,2789.631,2789.1690000000003,0.0016,0.0029
13.06.2018 00:36:33.710 GMT+0100,2789.631,2788.9700000000003,0.0062,0.0014
13.06.2018 00:36:38.537 GMT+0100,2789.7309999999998,2789.0690000000004,0.0062,0.0014
13.06.2018 00:36:38.590 GMT+0100,2789.7309999999998,2789.07,0.0062,0.0029
13.06.2018 00:36:40.298 GMT+0100,2789.63,2789.07,0.0016,0.0029
13.06.2018 00:36:40.349 GMT+0100,2789.63,2788.9700000000003,0.0062,0.0058
13.06.2018 00:36:49.417 GMT+0100,2789.7309999999998,2789.0690000000004,0.0062,0.0014
13.06.2018 00:36:49.468 GMT+0100,2789.7309999999998,2789.07,0.0062,0.0014
13.06.2018 00:36:51.581 GMT+0100,2789.631,2789.07,0.0016,0.0014
13.06.2018 00:36:51.632 GMT+0100,2789.631,2788.9690000000005,0.0062,0.0058
13.06.2018 00:36:59.603 GMT+0100,2789.73,2789.07,0.0062,0.0014
13.06.2018 00:36:59.654 GMT+0100,2789.73,2789.07,0.0031,0.0029
13.06.2018 00:37:00.230 GMT+0100,2789.631,2789.07,0.0016,0.0014
13.06.2018 00:37:00.280 GMT+0100,2789.631,2788.9700000000003,0.0062,0.0014
13.06.2018 00:37:19.963 GMT+0100,2789.8309999999997,2789.1690000000003,0.0062,0.0014
13.06.2018 00:37:20.014 GMT+0100,2789.8309999999997,2789.17,0.0062,0.0014
13.06.2018 00:40:52.700 GMT+0100,2790.131,2789.4690000000005,0.0041,0.0014
13.06.2018 00:40:52.751 GMT+0100,2790.131,2789.4690000000005,0.0062,0.0058
13.06.2018 00:40:52.861 GMT+0100,2789.83,2789.4690000000005,0.0016,0.0029
13.06.2018 00:40:52.912 GMT+0100,2789.83,2789.17,0.0062,0.0058
13.06.2018 00:41:48.815 GMT+0100,2790.03,2789.37,0.0062,0.0014
13.06.2018 00:41:48.866 GMT+0100,2790.03,2789.37,0.0031,0.0029
13.06.2018 00:41:49.132 GMT+0100,2790.13,2789.4700000000003,0.0062,0.0014
13.06.2018 00:41:49.183 GMT+0100,2790.13,2789.4700000000003,0.0031,0.0029
13.06.2018 00:41:49.294 GMT+0100,2790.03,2789.4700000000003,0.0016,0.0014
13.06.2018 00:41:49.344 GMT+0100,2790.03,2789.37,0.0062,0.0058
13.06.2018 00:41:50.301 GMT+0100,2790.13,2789.4700000000003,0.0062,0.0014
13.06.2018 00:41:50.351 GMT+0100,2790.13,2789.4700000000003,0.0031,0.0029
13.06.2018 00:41:50.461 GMT+0100,2789.83,2789.4700000000003,0.0016,0.0014
13.06.2018 00:41:50.511 GMT+0100,2789.83,2789.17,0.0016,0.0014
13.06.2018 00:42:38.896 GMT+0100,2790.03,2789.37,0.0062,0.0014
13.06.2018 00:42:38.946 GMT+0100,2790.03,2789.37,0.0016,0.0014
13.06.2018 00:42:39.056 GMT+0100,2789.8309999999997,2789.369,0.0016,0.0029
13.06.2018 00:42:39.107 GMT+0100,2789.8309999999997,2789.17,0.0062,0.0014
13.06.2018 00:42:40.093 GMT+0100,2790.031,2789.369,0.0062,0.0014
13.06.2018 00:42:40.144 GMT+0100,2790.031,2789.37,0.0062,0.0029
13.06.2018 00:42:40.797 GMT+0100,2790.131,2789.4690000000005,0.0062,0.0014
13.06.2018 00:42:40.848 GMT+0100,2790.131,2789.4700000000003,0.0062,0.0014
13.06.2018 00:42:40.957 GMT+0100,2790.03,2789.4700000000003,0.0016,0.0014
13.06.2018 00:42:41.008 GMT+0100,2790.03,2789.37,0.0031,0.0029
13.06.2018 00:42:41.206 GMT+0100,2790.131,2789.4690000000005,0.0062,0.0014
13.06.2018 00:42:41.256 GMT+0100,2790.131,2789.4690000000005,0.0062,0.0058
13.06.2018 00:42:41.367 GMT+0100,2790.03,2789.4690000000005,0.0016,0.0029
13.06.2018 00:42:41.418 GMT+0100,2790.03,2789.37,0.0031,0.0029
13.06.2018 00:42:43.348 GMT+0100,2789.83,2789.37,0.0016,0.0014
13.06.2018 00:42:43.399 GMT+0100,2789.83,2789.17,0.0031,0.0029
13.06.2018 00:42:43.834 GMT+0100,2790.031,2789.369,0.0062,0.0014
13.06.2018 00:42:43.884 GMT+0100,2790.031,2789.37,0.0062,0.0014
13.06.2018 00:42:47.124 GMT+0100,2790.131,2789.4690000000005,0.0062,0.0014
13.06.2018 00:42:47.174 GMT+0100,2790.131,2789.4700000000003,0.0062,0.0029
13.06.2018 00:42:47.270 GMT+0100,2789.8309999999997,2789.4700000000003,0.0016,0.0029
13.06.2018 00:42:47.320 GMT+0100,2789.8309999999997,2789.1690000000003,0.0062,0.0058
13.06.2018 00:49:35.456 GMT+0100,2789.631,2789.1690000000003,0.0016,0.0014
13.06.2018 00:49:35.507 GMT+0100,2789.631,2788.9700000000003,0.0062,0.0029
13.06.2018 00:50:28.300 GMT+0100,2789.3309999999997,2788.9700000000003,0.0016,0.0029
13.06.2018 00:50:28.350 GMT+0100,2789.3309999999997,2788.67,0.0062,0.0029
13.06.2018 00:51:14.681 GMT+0100,2789.631,2788.9690000000005,0.0062,0.0014
13.06.2018 00:51:14.731 GMT+0100,2789.631,2788.9700000000003,0.0062,0.0029
13.06.2018 00:51:15.436 GMT+0100,2789.33,2788.9700000000003,0.0016,0.0029
13.06.2018 00:51:15.486 GMT+0100,2789.33,2788.67,0.0031,0.0029
13.06.2018 00:52:31.205 GMT+0100,2789.53,2788.87,0.0041,0.0014
13.06.2018 00:52:31.256 GMT+0100,2789.53,2788.87,0.0031,0.0029
13.06.2018 00:52:31.827 GMT+0100,2789.3309999999997,2788.87,0.0016,0.0014
13.06.2018 00:52:31.878 GMT+0100,2789.3309999999997,2788.6690000000003,0.0062,0.0058
13.06.2018 00:52:31.994 GMT+0100,2789.63,2788.9700000000003,0.0062,0.0014
13.06.2018 00:52:32.044 GMT+0100,2789.63,2788.9700000000003,0.0031,0.0029
13.06.2018 00:52:42.971 GMT+0100,2789.33,2788.9700000000003,0.0016,0.0014
13.06.2018 00:52:43.022 GMT+0100,2789.33,2788.67,0.0031,0.0029
13.06.2018 00:54:00.978 GMT+0100,2789.33,2788.67,0.0062,0.0029
