,Sentences,Speaker
0,Good afternoon.,CHAIR POWELL.
1,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us:  maximum employment and price stability.",CHAIR POWELL.
2,Today the Federal Open Market Committee kept interest rates near zero and maintained our asset purchases.,CHAIR POWELL.
3,"These measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete.",CHAIR POWELL.
4,"Widespread vaccinations, along with unprecedented fiscal policy actions, are also providing strong support to the recovery.",CHAIR POWELL.
5,"Indicators of economic activity and employment have continued to strengthen, and real GDP this year appears to be on track to post its fastest rate of increase in decades.",CHAIR POWELL.
6,Much of this rapid growth reflects the continued bounceback in activity from depressed levels.,CHAIR POWELL.
7,The sectors most adversely affected by the pandemic remain weak but have shown improvement.,CHAIR POWELL.
8,"Household spending is rising at a rapid pace, boosted by the ongoing reopening of the economy, fiscal support, and accommodative financial conditions.",CHAIR POWELL.
9,"The housing sector is strong, and business investment is increasing at a solid pace.",CHAIR POWELL.
10,"In some industries, near-term supply constraints are restraining activity.",CHAIR POWELL.
11,Forecasts from FOMC participants for economic growth this year have been revised up since our March Summary of Economic Projections.,CHAIR POWELL.
12,"Even so, the recovery is incomplete, and risks to the economic outlook remain.",CHAIR POWELL.
13,"As with overall economic activity, conditions in the labor market have continued to improve, although the pace of improvement has been uneven.",CHAIR POWELL.
14,"Employment rose 419,000 per month, on average, in April and May, with the leisure and hospitality sector continuing to post notable gains.",CHAIR POWELL.
15,Employment in this sector and the economy as a whole remains well below pre-pandemic levels.,CHAIR POWELL.
16,"The unemployment rate remained elevated in May at 5.8 percent, and this figure understates the shortfall in employment, particularly as participation in the labor market has not moved up from the low rates that have prevailed for most of the past year.",CHAIR POWELL.
17,"Factors related to the pandemic, such as caregiving needs, ongoing fears of the virus, and unemployment insurance payments, appear to be weighing on employment growth.",CHAIR POWELL.
18,"These factors should wane in coming months against a backdrop of rising vaccinations, leading to more rapid gains in employment.",CHAIR POWELL.
19,"Looking ahead, FOMC participants project the labor market to continue to improve, with the median projection for the unemployment rate standing at 4.5 percent at the end of this year and declining to 3.5 percent by the end of 2023.",CHAIR POWELL.
20,"The economic downturn has not fallen equally on all Americans, and those least able to shoulder the burden have been hardest hit.",CHAIR POWELL.
21,"In particular, despite progress, joblessness continues to fall disproportionately on lower-wage workers in the service sector and on African Americans and Hispanics.",CHAIR POWELL.
22,Inflation has increased notably in recent months.,CHAIR POWELL.
23,The 12-month change in PCE prices was 3.6 percent in April and will likely remain elevated in coming months before moderating.,CHAIR POWELL.
24,"Part of the increase reflects the very low readings from early in the pandemic falling out of the calculation as well as the pass-through of past increases in oil prices to, to consumer energy prices.",CHAIR POWELL.
25,"Beyond these effects, we are also seeing upward pressure on prices from the rebound in spending as the economy continues to reopen, particularly as supply bottlenecks have limited how quickly production in some sectors can respond in the near term.",CHAIR POWELL.
26,"These bottleneck effects have been larger than anticipated, and FOMC participants have revised up their projections for, for inflation notably for this year.",CHAIR POWELL.
