Local time,Ask,Bid,AskVolume,BidVolume
16.06.2021 00:00:00.083 GMT+0200,158.634,158.583,0.0183,0.0217
16.06.2021 00:00:01.092 GMT+0200,158.649,158.6,0.0183,0.0217
16.06.2021 00:00:01.304 GMT+0200,158.63,158.586,0.0183,0.0217
16.06.2021 00:00:26.314 GMT+0200,158.604,158.554,0.0183,0.0217
16.06.2021 00:02:46.554 GMT+0200,158.597,158.554,0.0183,0.0217
16.06.2021 00:06:24.663 GMT+0200,158.565,158.525,0.0183,0.0217
16.06.2021 00:06:24.866 GMT+0200,158.599,158.559,0.0183,0.0217
16.06.2021 00:06:27.892 GMT+0200,158.584,158.543,0.0183,0.0217
16.06.2021 00:07:33.040 GMT+0200,158.601,158.553,0.0183,0.0217
16.06.2021 00:13:44.652 GMT+0200,158.604,158.554,0.0183,0.0217
16.06.2021 00:16:04.965 GMT+0200,158.604,158.554,0.0183,0.0217
16.06.2021 00:20:00.479 GMT+0200,158.602,158.555,0.0183,0.0217
16.06.2021 00:22:38.834 GMT+0200,158.603,158.55200000000002,0.0183,0.0217
16.06.2021 00:25:38.184 GMT+0200,158.597,158.554,0.0183,0.0217
16.06.2021 00:30:17.530 GMT+0200,158.604,158.559,0.0183,0.0217
16.06.2021 00:30:19.314 GMT+0200,158.567,158.52200000000002,0.0183,0.0217
16.06.2021 00:31:34.525 GMT+0200,158.567,158.52100000000002,0.0183,0.0217
16.06.2021 00:32:10.890 GMT+0200,158.6,158.554,0.0183,0.0217
16.06.2021 00:40:59.463 GMT+0200,158.601,158.555,0.0183,0.0217
16.06.2021 00:45:40.385 GMT+0200,158.603,158.555,0.0183,0.0217
16.06.2021 00:45:55.613 GMT+0200,158.628,158.585,0.0183,0.0217
16.06.2021 00:50:02.403 GMT+0200,158.635,158.585,0.0183,0.0217
16.06.2021 00:51:49.993 GMT+0200,158.635,158.59,0.0183,0.0217
16.06.2021 00:54:39.734 GMT+0200,158.662,158.614,0.0183,0.0217
16.06.2021 00:55:04.155 GMT+0200,158.632,158.583,0.0183,0.0217
16.06.2021 00:57:02.565 GMT+0200,158.61200000000002,158.571,0.0183,0.0217
16.06.2021 00:57:03.796 GMT+0200,158.597,158.554,0.0183,0.0217
16.06.2021 01:00:00.541 GMT+0200,158.601,158.55200000000002,0.0183,0.0217
16.06.2021 01:05:21.489 GMT+0200,158.6,158.55700000000002,0.0183,0.0217
16.06.2021 01:11:56.548 GMT+0200,158.571,158.52,0.0183,0.0217
16.06.2021 01:16:10.517 GMT+0200,158.565,158.524,0.0183,0.0217
16.06.2021 01:16:30.474 GMT+0200,158.599,158.559,0.0183,0.0217
16.06.2021 01:17:19.526 GMT+0200,158.571,158.524,0.0183,0.0217
16.06.2021 01:19:01.623 GMT+0200,158.565,158.523,0.0183,0.0217
16.06.2021 01:21:55.372 GMT+0200,158.569,158.52700000000002,0.0183,0.0217
16.06.2021 01:22:49.581 GMT+0200,158.537,158.489,0.0183,0.0217
16.06.2021 01:22:50.591 GMT+0200,158.56799999999998,158.52100000000002,0.0183,0.0217
16.06.2021 01:22:56.092 GMT+0200,158.536,158.489,0.0183,0.0217
16.06.2021 01:23:02.259 GMT+0200,158.56799999999998,158.52700000000002,0.0183,0.0217
16.06.2021 01:29:20.734 GMT+0200,158.567,158.525,0.0183,0.0217
16.06.2021 01:30:45.503 GMT+0200,158.57,158.52,0.0183,0.0217
16.06.2021 01:35:07.831 GMT+0200,158.534,158.49,0.0183,0.0217
16.06.2021 01:35:08.673 GMT+0200,158.571,158.52200000000002,0.0183,0.0217
16.06.2021 01:35:10.696 GMT+0200,158.53799999999998,158.496,0.0183,0.0217
16.06.2021 01:35:15.846 GMT+0200,158.569,158.52700000000002,0.0183,0.0217
16.06.2021 01:37:02.429 GMT+0200,158.539,158.49,0.0183,0.0217
16.06.2021 01:37:03.104 GMT+0200,158.571,158.523,0.0183,0.0217
16.06.2021 01:37:03.265 GMT+0200,158.555,158.505,0.0183,0.0217
16.06.2021 01:37:03.416 GMT+0200,158.53799999999998,158.489,0.0183,0.0217
16.06.2021 01:39:27.271 GMT+0200,158.534,158.496,0.0183,0.0217
16.06.2021 01:41:54.167 GMT+0200,158.571,158.52100000000002,0.0183,0.0217
16.06.2021 01:42:02.379 GMT+0200,158.554,158.51,0.0183,0.0217
16.06.2021 01:42:02.482 GMT+0200,158.537,158.49,0.0183,0.0217
16.06.2021 01:43:11.222 GMT+0200,158.53799999999998,158.489,0.0183,0.0217
16.06.2021 01:45:14.391 GMT+0200,158.567,158.524,0.0183,0.0217
16.06.2021 01:49:43.305 GMT+0200,158.601,158.55200000000002,0.0183,0.0217
16.06.2021 01:49:44.795 GMT+0200,158.635,158.588,0.0183,0.0217
16.06.2021 01:51:17.953 GMT+0200,158.632,158.584,0.0183,0.0217
16.06.2021 01:52:24.369 GMT+0200,158.6,158.555,0.0183,0.0217
16.06.2021 01:57:02.311 GMT+0200,158.603,158.554,0.0183,0.0217
16.06.2021 01:59:00.638 GMT+0200,158.599,158.559,0.0183,0.0217
16.06.2021 02:03:29.433 GMT+0200,158.6,158.554,0.0183,0.0217
16.06.2021 02:04:22.912 GMT+0200,158.631,158.588,0.0183,0.0217
16.06.2021 02:05:02.507 GMT+0200,158.602,158.556,0.0183,0.0217
16.06.2021 02:08:29.203 GMT+0200,158.6,158.556,0.0183,0.0217
16.06.2021 02:09:31.605 GMT+0200,158.635,158.586,0.0183,0.0217
16.06.2021 02:10:41.911 GMT+0200,158.597,158.555,0.0183,0.0217
16.06.2021 02:11:59.869 GMT+0200,158.604,158.559,0.0183,0.0217
16.06.2021 02:13:16.432 GMT+0200,158.6,158.553,0.0183,0.0217
16.06.2021 02:17:20.382 GMT+0200,158.628,158.584,0.0183,0.0217
16.06.2021 02:20:02.383 GMT+0200,158.599,158.555,0.0183,0.0217
16.06.2021 02:20:07.464 GMT+0200,158.631,158.59,0.0183,0.0217
16.06.2021 02:23:02.434 GMT+0200,158.602,158.553,0.0183,0.0217
16.06.2021 02:23:07.769 GMT+0200,158.633,158.585,0.0183,0.0217
16.06.2021 02:23:29.241 GMT+0200,158.619,158.57,0.0183,0.0217
16.06.2021 02:23:29.348 GMT+0200,158.604,158.556,0.0183,0.0217
16.06.2021 02:31:02.773 GMT+0200,158.602,158.555,0.0183,0.0217
16.06.2021 02:34:08.390 GMT+0200,158.567,158.52100000000002,0.0183,0.0217
16.06.2021 02:41:25.680 GMT+0200,158.57,158.52100000000002,0.0183,0.0217
16.06.2021 02:45:59.233 GMT+0200,158.56799999999998,158.52700000000002,0.0183,0.0217
16.06.2021 02:49:00.074 GMT+0200,158.565,158.52,0.0183,0.0217
16.06.2021 02:51:45.947 GMT+0200,158.571,158.525,0.0183,0.0217
16.06.2021 02:54:04.174 GMT+0200,158.567,158.525,0.0183,0.0217
16.06.2021 02:59:51.203 GMT+0200,158.539,158.491,0.0183,0.0217
16.06.2021 03:03:41.472 GMT+0200,158.534,158.49200000000002,0.0183,0.0217
16.06.2021 03:04:48.556 GMT+0200,158.55200000000002,158.506,0.0183,0.0217
16.06.2021 03:04:48.658 GMT+0200,158.537,158.49,0.0183,0.0217
16.06.2021 03:08:09.924 GMT+0200,158.539,158.49200000000002,0.0183,0.0217
16.06.2021 03:09:49.239 GMT+0200,158.53799999999998,158.496,0.0183,0.0217
16.06.2021 03:10:59.290 GMT+0200,158.534,158.493,0.0183,0.0217
16.06.2021 03:12:20.981 GMT+0200,158.539,158.494,0.0183,0.0217
16.06.2021 03:16:51.693 GMT+0200,158.54,158.491,0.0183,0.0217
16.06.2021 03:24:52.382 GMT+0200,158.54,158.489,0.0183,0.0217
16.06.2021 03:29:16.316 GMT+0200,158.567,158.52,0.0183,0.0217
16.06.2021 03:29:48.326 GMT+0200,158.534,158.489,0.0183,0.0217
16.06.2021 03:29:48.862 GMT+0200,158.565,158.52100000000002,0.0183,0.0217
16.06.2021 03:32:43.262 GMT+0200,158.567,158.523,0.0183,0.0217
16.06.2021 03:38:04.776 GMT+0200,158.54,158.489,0.0183,0.0217
16.06.2021 03:43:16.260 GMT+0200,158.539,158.489,0.0183,0.0217
16.06.2021 03:44:29.496 GMT+0200,158.51,158.46,0.0183,0.0217
16.06.2021 03:44:33.620 GMT+0200,158.536,158.491,0.0183,0.0217
16.06.2021 03:46:20.336 GMT+0200,158.51,158.459,0.0183,0.0217
16.06.2021 03:47:10.667 GMT+0200,158.534,158.49200000000002,0.0183,0.0217
16.06.2021 03:47:49.681 GMT+0200,158.507,158.46200000000002,0.0183,0.0217
16.06.2021 03:48:03.606 GMT+0200,158.537,158.491,0.0183,0.0217
16.06.2021 03:48:24.994 GMT+0200,158.572,158.525,0.0183,0.0217
16.06.2021 03:48:40.683 GMT+0200,158.537,158.493,0.0183,0.0217
16.06.2021 03:50:00.957 GMT+0200,158.565,158.52100000000002,0.0183,0.0217
16.06.2021 03:50:06.283 GMT+0200,158.534,158.494,0.0183,0.0217
16.06.2021 03:50:07.786 GMT+0200,158.56799999999998,158.523,0.0183,0.0217
16.06.2021 03:50:26.780 GMT+0200,158.537,158.49200000000002,0.0183,0.0217
16.06.2021 03:50:27.130 GMT+0200,158.569,158.525,0.0183,0.0217
16.06.2021 03:52:32.195 GMT+0200,158.53799999999998,158.494,0.0183,0.0217
16.06.2021 03:53:42.237 GMT+0200,158.571,158.524,0.0183,0.0217
16.06.2021 03:55:12.176 GMT+0200,158.54,158.494,0.0183,0.0217
16.06.2021 03:55:25.235 GMT+0200,158.569,158.52100000000002,0.0183,0.0217
16.06.2021 03:57:03.209 GMT+0200,158.54,158.49,0.0183,0.0217
16.06.2021 03:57:03.365 GMT+0200,158.56799999999998,158.525,0.0183,0.0217
16.06.2021 03:57:08.669 GMT+0200,158.537,158.496,0.0183,0.0217
16.06.2021 03:57:40.593 GMT+0200,158.569,158.525,0.0183,0.0217
16.06.2021 03:58:02.443 GMT+0200,158.541,158.496,0.0183,0.0217
16.06.2021 03:58:02.569 GMT+0200,158.565,158.52,0.0183,0.0217
16.06.2021 03:58:07.450 GMT+0200,158.534,158.49,0.0183,0.0217
16.06.2021 03:58:08.066 GMT+0200,158.571,158.52700000000002,0.0183,0.0217
16.06.2021 03:58:14.289 GMT+0200,158.536,158.494,0.0183,0.0217
16.06.2021 03:58:14.900 GMT+0200,158.572,158.52100000000002,0.0183,0.0217
16.06.2021 03:58:16.839 GMT+0200,158.53799999999998,158.491,0.0183,0.0217
16.06.2021 04:01:18.722 GMT+0200,158.539,158.491,0.0183,0.0217
16.06.2021 04:03:25.693 GMT+0200,158.536,158.49,0.0183,0.0217
16.06.2021 04:07:08.317 GMT+0200,158.54,158.491,0.0183,0.0217
16.06.2021 04:11:22.505 GMT+0200,158.539,158.49,0.0183,0.0217
16.06.2021 04:11:57.226 GMT+0200,158.507,158.458,0.0183,0.0217
16.06.2021 04:12:17.676 GMT+0200,158.537,158.489,0.0183,0.0217
16.06.2021 04:12:38.574 GMT+0200,158.505,158.459,0.0183,0.0217
16.06.2021 04:13:13.546 GMT+0200,158.539,158.489,0.0183,0.0217
16.06.2021 04:13:45.960 GMT+0200,158.525,158.474,0.0183,0.0217
16.06.2021 04:13:52.799 GMT+0200,158.537,158.49200000000002,0.0183,0.0217
16.06.2021 04:14:09.923 GMT+0200,158.525,158.478,0.0183,0.0217
16.06.2021 04:14:15.772 GMT+0200,158.507,158.46,0.0183,0.0217
16.06.2021 04:14:28.641 GMT+0200,158.537,158.496,0.0183,0.0217
16.06.2021 04:14:44.375 GMT+0200,158.525,158.475,0.0183,0.0217
16.06.2021 04:14:44.480 GMT+0200,158.508,158.46,0.0183,0.0217
16.06.2021 04:16:07.191 GMT+0200,158.53799999999998,158.491,0.0183,0.0217
16.06.2021 04:20:23.358 GMT+0200,158.567,158.52100000000002,0.0183,0.0217
16.06.2021 04:20:37.580 GMT+0200,158.541,158.496,0.0183,0.0217
16.06.2021 04:20:42.015 GMT+0200,158.57,158.525,0.0183,0.0217
16.06.2021 04:20:58.268 GMT+0200,158.537,158.49,0.0183,0.0217
16.06.2021 04:21:01.522 GMT+0200,158.56799999999998,158.52200000000002,0.0183,0.0217
16.06.2021 04:22:37.642 GMT+0200,158.536,158.489,0.0183,0.0217
16.06.2021 04:22:41.690 GMT+0200,158.572,158.523,0.0183,0.0217
16.06.2021 04:23:57.404 GMT+0200,158.534,158.49,0.0183,0.0217
16.06.2021 04:24:53.563 GMT+0200,158.571,158.52700000000002,0.0183,0.0217
16.06.2021 04:24:59.484 GMT+0200,158.539,158.49,0.0183,0.0217
16.06.2021 04:25:05.168 GMT+0200,158.565,158.52700000000002,0.0183,0.0217
16.06.2021 04:27:02.429 GMT+0200,158.57,158.52700000000002,0.0183,0.0217
16.06.2021 04:27:03.690 GMT+0200,158.534,158.493,0.0183,0.0217
16.06.2021 04:33:43.987 GMT+0200,158.541,158.496,0.0183,0.0217
16.06.2021 04:38:50.483 GMT+0200,158.534,158.494,0.0183,0.0217
16.06.2021 04:43:59.494 GMT+0200,158.539,158.49,0.0183,0.0217
16.06.2021 04:44:38.966 GMT+0200,158.506,158.46,0.0183,0.0217
16.06.2021 04:46:01.243 GMT+0200,158.474,158.431,0.0183,0.0217
16.06.2021 04:48:57.169 GMT+0200,158.474,158.434,0.0183,0.0217
16.06.2021 04:50:50.041 GMT+0200,158.446,158.398,0.0183,0.0217
16.06.2021 04:50:51.553 GMT+0200,158.477,158.43,0.0183,0.0217
16.06.2021 04:55:13.596 GMT+0200,158.507,158.458,0.0183,0.0217
16.06.2021 05:01:32.259 GMT+0200,158.503,158.459,0.0183,0.0217
16.06.2021 05:03:59.417 GMT+0200,158.509,158.46,0.0183,0.0217
16.06.2021 05:05:15.438 GMT+0200,158.477,158.43200000000002,0.0183,0.0217
16.06.2021 05:05:17.451 GMT+0200,158.509,158.463,0.0183,0.0217
