Local time,Ask,Bid,AskVolume,BidVolume
15.03.2020 22:00:37.540 GMT+0100,1.10779,1.10705,0.75,0.75
15.03.2020 22:00:40.377 GMT+0100,1.10779,1.1070600000000002,0.75,0.75
15.03.2020 22:00:41.563 GMT+0100,1.10838,1.10788,0.75,0.75
15.03.2020 22:00:44.592 GMT+0100,1.1083200000000002,1.10779,0.75,0.75
15.03.2020 22:00:44.783 GMT+0100,1.1083200000000002,1.1078100000000002,0.75,0.75
15.03.2020 22:00:44.998 GMT+0100,1.1083200000000002,1.10782,0.75,0.75
15.03.2020 22:00:45.170 GMT+0100,1.1083200000000002,1.1078299999999999,0.75,0.75
15.03.2020 22:00:45.754 GMT+0100,1.1083200000000002,1.10784,0.75,0.75
15.03.2020 22:00:45.883 GMT+0100,1.10836,1.10792,0.75,0.75
15.03.2020 22:00:45.934 GMT+0100,1.10838,1.10792,0.75,0.75
15.03.2020 22:00:46.034 GMT+0100,1.10851,1.10809,0.75,0.75
15.03.2020 22:00:46.607 GMT+0100,1.10856,1.10834,0.75,0.75
15.03.2020 22:00:47.132 GMT+0100,1.10851,1.10833,0.75,0.75
15.03.2020 22:00:47.183 GMT+0100,1.1085500000000001,1.10833,0.75,0.75
15.03.2020 22:00:48.013 GMT+0100,1.10851,1.1083200000000002,0.75,0.75
15.03.2020 22:00:48.063 GMT+0100,1.10851,1.10809,0.75,0.75
15.03.2020 22:00:49.152 GMT+0100,1.1085200000000002,1.10819,0.75,0.75
15.03.2020 22:00:49.202 GMT+0100,1.1086200000000002,1.10819,0.75,0.75
15.03.2020 22:00:49.354 GMT+0100,1.1087200000000001,1.10828,0.75,0.75
15.03.2020 22:00:49.507 GMT+0100,1.1087600000000002,1.1084,0.75,0.75
15.03.2020 22:00:49.558 GMT+0100,1.1090600000000002,1.1084,0.75,0.75
15.03.2020 22:00:53.052 GMT+0100,1.1099100000000002,1.1091900000000001,0.75,0.75
15.03.2020 22:00:54.965 GMT+0100,1.1099100000000002,1.1091900000000001,0.75,0.75
15.03.2020 22:00:55.779 GMT+0100,1.10999,1.10925,0.75,0.75
15.03.2020 22:00:55.892 GMT+0100,1.1101,1.10989,0.75,0.75
15.03.2020 22:00:55.942 GMT+0100,1.1101,1.1098700000000001,0.75,0.75
15.03.2020 22:00:55.993 GMT+0100,1.1102200000000002,1.1098700000000001,0.75,0.75
15.03.2020 22:00:56.809 GMT+0100,1.1102100000000001,1.1098700000000001,0.75,0.75
15.03.2020 22:00:57.543 GMT+0100,1.1105500000000001,1.1100200000000002,0.75,0.75
15.03.2020 22:00:57.646 GMT+0100,1.1105500000000001,1.11019,0.75,0.75
15.03.2020 22:00:58.024 GMT+0100,1.11054,1.11019,0.75,0.75
15.03.2020 22:00:58.153 GMT+0100,1.11049,1.11017,0.75,0.75
15.03.2020 22:00:59.778 GMT+0100,1.11048,1.11017,0.75,0.75
15.03.2020 22:01:00.447 GMT+0100,1.11049,1.11018,0.75,0.75
15.03.2020 22:01:01.084 GMT+0100,1.11048,1.11018,0.75,0.75
15.03.2020 22:01:01.235 GMT+0100,1.11091,1.11036,0.75,0.75
15.03.2020 22:01:01.285 GMT+0100,1.1109700000000002,1.11056,0.75,0.75
15.03.2020 22:01:01.543 GMT+0100,1.11099,1.11058,0.75,0.75
15.03.2020 22:01:04.753 GMT+0100,1.11098,1.11058,0.75,0.75
15.03.2020 22:01:05.659 GMT+0100,1.11122,1.11066,0.75,0.75
15.03.2020 22:01:05.810 GMT+0100,1.1111600000000001,1.1106200000000002,0.75,0.75
15.03.2020 22:01:06.598 GMT+0100,1.11122,1.11066,0.75,0.75
15.03.2020 22:01:09.443 GMT+0100,1.1112600000000001,1.11094,0.75,0.75
15.03.2020 22:01:09.493 GMT+0100,1.11163,1.11122,0.75,0.75
15.03.2020 22:01:09.544 GMT+0100,1.1117000000000001,1.11122,0.75,0.75
15.03.2020 22:01:10.277 GMT+0100,1.11179,1.11133,0.75,0.75
15.03.2020 22:01:10.377 GMT+0100,1.1124200000000002,1.11186,0.75,0.75
15.03.2020 22:01:10.490 GMT+0100,1.1124200000000002,1.11189,0.75,0.75
15.03.2020 22:01:10.616 GMT+0100,1.11237,1.1118700000000001,0.75,0.75
15.03.2020 22:01:10.666 GMT+0100,1.1124100000000001,1.11189,0.75,0.75
15.03.2020 22:01:10.767 GMT+0100,1.1124200000000002,1.11186,0.75,0.75
15.03.2020 22:01:12.120 GMT+0100,1.1124100000000001,1.11209,0.75,0.75
15.03.2020 22:01:12.221 GMT+0100,1.11238,1.11209,0.75,0.75
15.03.2020 22:01:12.372 GMT+0100,1.11233,1.1120700000000001,0.75,0.75
15.03.2020 22:01:12.623 GMT+0100,1.1123200000000002,1.1120700000000001,0.75,0.75
15.03.2020 22:01:12.878 GMT+0100,1.11238,1.11205,1.5,0.75
15.03.2020 22:01:12.986 GMT+0100,1.11238,1.11174,0.75,0.75
15.03.2020 22:01:13.087 GMT+0100,1.1124200000000002,1.11174,0.75,0.75
15.03.2020 22:01:13.199 GMT+0100,1.11251,1.1117000000000001,0.75,0.75
15.03.2020 22:01:13.467 GMT+0100,1.1128,1.11196,0.75,0.75
15.03.2020 22:01:13.567 GMT+0100,1.1128200000000001,1.11196,0.75,0.75
15.03.2020 22:01:14.504 GMT+0100,1.1126500000000001,1.11196,0.75,0.75
15.03.2020 22:01:14.711 GMT+0100,1.11301,1.1127200000000002,0.75,0.75
15.03.2020 22:01:14.761 GMT+0100,1.11301,1.11269,0.75,0.75
15.03.2020 22:01:14.812 GMT+0100,1.11301,1.1126500000000001,0.75,0.75
15.03.2020 22:01:14.950 GMT+0100,1.1131700000000002,1.11264,0.75,0.75
15.03.2020 22:01:15.001 GMT+0100,1.11312,1.11264,0.75,0.75
15.03.2020 22:01:15.370 GMT+0100,1.1131600000000001,1.11264,1.5,0.75
15.03.2020 22:01:15.486 GMT+0100,1.1132,1.11264,1.5,0.75
15.03.2020 22:01:22.788 GMT+0100,1.11308,1.1129600000000002,0.86,0.75
15.03.2020 22:01:22.889 GMT+0100,1.11308,1.1129700000000002,0.86,0.75
15.03.2020 22:01:23.042 GMT+0100,1.11308,1.1129600000000002,0.86,0.75
15.03.2020 22:01:23.093 GMT+0100,1.11308,1.11293,0.86,1.5
15.03.2020 22:01:23.795 GMT+0100,1.11308,1.1130700000000002,0.11,0.75
15.03.2020 22:01:25.761 GMT+0100,1.1137299999999999,1.11342,0.86,0.75
15.03.2020 22:01:26.064 GMT+0100,1.1137299999999999,1.11341,0.86,0.75
15.03.2020 22:01:26.250 GMT+0100,1.1137299999999999,1.1134,0.86,0.75
15.03.2020 22:01:27.444 GMT+0100,1.1137299999999999,1.11334,0.86,0.75
15.03.2020 22:02:05.533 GMT+0100,1.1111600000000001,1.11101,0.75,1.5
15.03.2020 22:02:05.634 GMT+0100,1.11151,1.111,0.75,0.75
15.03.2020 22:02:05.790 GMT+0100,1.1115000000000002,1.111,0.75,0.75
15.03.2020 22:02:06.010 GMT+0100,1.11153,1.11101,0.75,0.75
15.03.2020 22:02:06.122 GMT+0100,1.11153,1.11111,0.75,0.75
15.03.2020 22:02:06.273 GMT+0100,1.11153,1.1111,0.75,0.75
15.03.2020 22:02:06.323 GMT+0100,1.1115000000000002,1.111,0.75,0.75
15.03.2020 22:02:06.373 GMT+0100,1.11153,1.11111,0.75,0.75
15.03.2020 22:02:06.515 GMT+0100,1.1114700000000002,1.111,0.75,0.75
15.03.2020 22:02:06.744 GMT+0100,1.1114600000000001,1.111,0.75,0.75
15.03.2020 22:02:06.985 GMT+0100,1.11145,1.111,0.75,0.75
15.03.2020 22:02:07.036 GMT+0100,1.11148,1.11104,0.75,0.75
15.03.2020 22:02:07.141 GMT+0100,1.11145,1.1110200000000001,0.75,0.75
15.03.2020 22:02:07.572 GMT+0100,1.11144,1.1110200000000001,0.75,0.75
15.03.2020 22:02:07.787 GMT+0100,1.11153,1.1111,0.75,0.75
15.03.2020 22:02:07.837 GMT+0100,1.11153,1.11148,0.75,0.75
15.03.2020 22:02:07.991 GMT+0100,1.11268,1.1118100000000002,0.75,0.75
15.03.2020 22:02:52.827 GMT+0100,1.1120100000000002,1.11149,0.75,0.75
15.03.2020 22:02:55.441 GMT+0100,1.11199,1.1114600000000001,0.75,0.75
15.03.2020 22:02:55.492 GMT+0100,1.11199,1.11143,0.75,0.75
15.03.2020 22:03:01.882 GMT+0100,1.11251,1.11179,0.75,0.75
15.03.2020 22:03:02.034 GMT+0100,1.1124500000000002,1.11168,0.75,0.75
15.03.2020 22:03:02.085 GMT+0100,1.11248,1.11174,0.75,0.75
15.03.2020 22:03:02.353 GMT+0100,1.1125200000000002,1.11174,0.75,0.75
15.03.2020 22:03:03.432 GMT+0100,1.1124500000000002,1.11169,0.75,0.75
15.03.2020 22:03:03.583 GMT+0100,1.11248,1.11174,0.75,0.75
15.03.2020 22:03:05.792 GMT+0100,1.1124500000000002,1.1117000000000001,0.75,0.75
15.03.2020 22:03:06.042 GMT+0100,1.11248,1.11175,0.75,0.75
15.03.2020 22:03:06.187 GMT+0100,1.1125200000000002,1.11174,0.75,0.75
15.03.2020 22:03:09.227 GMT+0100,1.11365,1.1129,0.75,0.75
15.03.2020 22:03:09.278 GMT+0100,1.11365,1.1129700000000002,0.75,0.75
15.03.2020 22:03:09.457 GMT+0100,1.1131900000000001,1.1129700000000002,0.75,0.75
15.03.2020 22:03:09.508 GMT+0100,1.11362,1.1129700000000002,0.75,0.75
15.03.2020 22:03:10.299 GMT+0100,1.11362,1.11287,0.75,0.75
15.03.2020 22:03:10.981 GMT+0100,1.11359,1.11284,0.75,0.75
15.03.2020 22:03:11.651 GMT+0100,1.11352,1.11277,0.75,0.75
15.03.2020 22:03:13.211 GMT+0100,1.11289,1.1124,0.75,0.37
15.03.2020 22:03:13.299 GMT+0100,1.11289,1.1123,0.75,0.75
15.03.2020 22:03:13.564 GMT+0100,1.11294,1.11238,0.75,0.75
15.03.2020 22:03:14.622 GMT+0100,1.1129700000000002,1.11236,0.75,0.75
15.03.2020 22:03:42.970 GMT+0100,1.1137100000000002,1.11295,0.75,0.75
15.03.2020 22:03:43.126 GMT+0100,1.1137000000000001,1.11295,0.75,0.75
15.03.2020 22:03:43.992 GMT+0100,1.1137100000000002,1.11295,0.75,0.75
15.03.2020 22:03:44.368 GMT+0100,1.1137299999999999,1.11363,1.5,0.75
15.03.2020 22:03:44.519 GMT+0100,1.1137299999999999,1.11364,0.75,0.75
15.03.2020 22:03:44.670 GMT+0100,1.1137299999999999,1.11363,0.75,0.75
15.03.2020 22:03:44.871 GMT+0100,1.1137299999999999,1.11364,0.75,0.75
15.03.2020 22:03:45.247 GMT+0100,1.1137299999999999,1.11363,0.75,0.75
15.03.2020 22:03:45.711 GMT+0100,1.1137299999999999,1.11363,0.75,0.75
15.03.2020 22:03:45.822 GMT+0100,1.1137299999999999,1.11362,0.75,0.75
