Local time,Ask,Bid,AskVolume,BidVolume
15.03.2020 23:00:25.527 GMT+0100,179.567,179.52900000000002,0.0195,0.0205
15.03.2020 23:00:26.142 GMT+0100,179.553,179.511,0.0195,0.0205
15.03.2020 23:00:26.243 GMT+0100,179.566,179.53099999999998,0.0195,0.0205
15.03.2020 23:00:26.382 GMT+0100,179.597,179.56,0.0195,0.0205
15.03.2020 23:00:26.441 GMT+0100,179.62900000000002,179.592,0.0195,0.0205
15.03.2020 23:00:41.443 GMT+0100,179.63,179.437,0.0195,0.0205
15.03.2020 23:00:57.161 GMT+0100,179.475,179.437,0.0195,0.0205
15.03.2020 23:00:58.205 GMT+0100,179.45900000000003,179.422,0.0195,0.0205
15.03.2020 23:00:58.560 GMT+0100,179.47299999999998,179.437,0.0195,0.0205
15.03.2020 23:00:59.095 GMT+0100,179.452,179.424,0.0195,0.0205
15.03.2020 23:00:59.337 GMT+0100,179.468,179.44,0.0195,0.0205
15.03.2020 23:01:00.266 GMT+0100,179.458,179.421,0.0195,0.0205
15.03.2020 23:01:01.787 GMT+0100,179.442,179.40200000000002,0.0195,0.0205
15.03.2020 23:01:02.517 GMT+0100,179.44299999999998,179.40400000000002,0.0195,0.0205
15.03.2020 23:01:02.933 GMT+0100,179.47,179.285,0.0195,0.0205
15.03.2020 23:01:03.150 GMT+0100,179.468,179.25099999999998,0.0195,0.0205
15.03.2020 23:01:03.456 GMT+0100,179.437,179.25400000000002,0.0195,0.0205
15.03.2020 23:01:33.833 GMT+0100,178.937,178.69,0.0195,0.0205
15.03.2020 23:01:45.343 GMT+0100,178.705,178.668,0.0195,0.0205
15.03.2020 23:01:46.968 GMT+0100,178.72,178.69,0.0195,0.0205
15.03.2020 23:01:47.894 GMT+0100,178.68900000000002,178.65400000000002,0.0195,0.0205
15.03.2020 23:01:48.786 GMT+0100,178.674,178.643,0.0195,0.0205
15.03.2020 23:01:50.970 GMT+0100,178.62599999999998,178.593,0.0195,0.0205
15.03.2020 23:01:54.130 GMT+0100,178.593,178.563,0.0195,0.0205
15.03.2020 23:01:56.440 GMT+0100,178.593,178.56,0.0195,0.0205
15.03.2020 23:01:57.380 GMT+0100,178.614,178.57500000000002,0.0195,0.0205
15.03.2020 23:01:57.439 GMT+0100,178.645,178.606,0.0195,0.0205
15.03.2020 23:01:58.290 GMT+0100,178.657,178.622,0.0195,0.0205
15.03.2020 23:02:00.402 GMT+0100,178.67700000000002,178.637,0.0195,0.0205
15.03.2020 23:02:01.402 GMT+0100,178.68900000000002,178.653,0.0195,0.0205
15.03.2020 23:02:02.619 GMT+0100,178.66,178.625,0.0195,0.0205
15.03.2020 23:02:03.779 GMT+0100,178.64000000000001,178.606,0.0195,0.0205
15.03.2020 23:02:06.539 GMT+0100,178.655,178.625,0.0195,0.0205
15.03.2020 23:02:09.427 GMT+0100,178.613,178.573,0.0195,0.0205
15.03.2020 23:02:10.608 GMT+0100,178.68900000000002,178.658,0.0195,0.0205
15.03.2020 23:02:11.565 GMT+0100,178.752,178.715,0.0195,0.0205
15.03.2020 23:02:13.619 GMT+0100,178.708,178.668,0.0195,0.0205
15.03.2020 23:02:17.240 GMT+0100,178.631,178.59599999999998,0.0195,0.0205
15.03.2020 23:02:18.690 GMT+0100,178.72299999999998,178.52900000000002,0.0195,0.0205
15.03.2020 23:02:22.124 GMT+0100,178.65900000000002,178.622,0.0195,0.0205
15.03.2020 23:02:22.958 GMT+0100,178.62900000000002,178.59400000000002,0.0195,0.0205
15.03.2020 23:02:23.739 GMT+0100,178.646,178.61,0.0195,0.0205
15.03.2020 23:02:25.883 GMT+0100,178.678,178.637,0.0195,0.0205
15.03.2020 23:02:26.446 GMT+0100,178.75400000000002,178.715,0.0195,0.0205
15.03.2020 23:02:27.642 GMT+0100,178.675,178.636,0.0195,0.0205
15.03.2020 23:02:31.081 GMT+0100,178.69,178.50099999999998,0.0195,0.0205
15.03.2020 23:02:33.019 GMT+0100,178.62900000000002,178.593,0.0195,0.0205
15.03.2020 23:02:34.376 GMT+0100,178.68900000000002,178.50400000000002,0.0195,0.0205
15.03.2020 23:02:34.539 GMT+0100,178.628,178.58900000000003,0.0195,0.0205
15.03.2020 23:02:35.854 GMT+0100,178.64000000000001,178.607,0.0195,0.0205
15.03.2020 23:02:36.081 GMT+0100,178.631,178.58900000000003,0.0195,0.0205
15.03.2020 23:02:36.761 GMT+0100,178.643,178.605,0.0195,0.0205
15.03.2020 23:02:38.779 GMT+0100,178.628,178.59,0.0195,0.0205
15.03.2020 23:02:40.964 GMT+0100,178.64200000000002,178.605,0.0195,0.0205
15.03.2020 23:02:41.072 GMT+0100,178.655,178.625,0.0195,0.0205
15.03.2020 23:02:43.543 GMT+0100,178.644,178.606,0.0195,0.0205
15.03.2020 23:02:45.085 GMT+0100,178.64700000000002,178.606,0.0195,0.0205
15.03.2020 23:02:45.188 GMT+0100,178.66,178.62099999999998,0.0195,0.0205
15.03.2020 23:02:46.107 GMT+0100,178.64200000000002,178.606,0.0195,0.0205
15.03.2020 23:02:46.453 GMT+0100,178.662,178.625,0.0195,0.0205
15.03.2020 23:02:51.073 GMT+0100,178.675,178.637,0.0195,0.0205
15.03.2020 23:02:54.205 GMT+0100,178.68900000000002,178.65099999999998,0.0195,0.0205
15.03.2020 23:02:55.300 GMT+0100,178.674,178.637,0.0195,0.0205
15.03.2020 23:02:59.236 GMT+0100,178.62900000000002,178.59099999999998,0.0195,0.0205
15.03.2020 23:02:59.888 GMT+0100,178.671,178.637,0.0195,0.0205
15.03.2020 23:03:01.045 GMT+0100,178.722,178.687,0.0195,0.0205
15.03.2020 23:03:02.250 GMT+0100,178.736,178.702,0.0195,0.0205
15.03.2020 23:03:05.043 GMT+0100,178.755,178.718,0.0195,0.0205
15.03.2020 23:03:06.377 GMT+0100,178.768,178.732,0.0195,0.0205
15.03.2020 23:03:06.610 GMT+0100,178.785,178.74599999999998,0.0195,0.0205
15.03.2020 23:03:06.745 GMT+0100,178.799,178.76500000000001,0.0195,0.0205
15.03.2020 23:03:08.077 GMT+0100,178.785,178.75,0.0195,0.0205
15.03.2020 23:03:08.242 GMT+0100,178.798,178.763,0.0195,0.0205
15.03.2020 23:03:08.855 GMT+0100,178.81799999999998,178.77700000000002,0.0195,0.0205
15.03.2020 23:03:08.993 GMT+0100,178.786,178.748,0.0195,0.0205
15.03.2020 23:03:09.274 GMT+0100,178.799,178.76500000000001,0.0195,0.0205
15.03.2020 23:03:11.220 GMT+0100,178.817,178.78,0.0195,0.0205
15.03.2020 23:03:11.384 GMT+0100,178.829,178.793,0.0195,0.0205
15.03.2020 23:03:11.547 GMT+0100,178.816,178.783,0.0195,0.0205
15.03.2020 23:03:11.714 GMT+0100,178.83,178.79500000000002,0.0195,0.0205
15.03.2020 23:03:11.793 GMT+0100,178.796,178.768,0.0195,0.0205
15.03.2020 23:03:11.843 GMT+0100,178.827,178.79500000000002,0.0195,0.0205
15.03.2020 23:03:12.068 GMT+0100,178.845,178.81,0.0195,0.0205
15.03.2020 23:03:12.453 GMT+0100,178.847,178.812,0.0195,0.0205
15.03.2020 23:03:12.626 GMT+0100,178.864,178.827,0.0195,0.0205
15.03.2020 23:03:13.038 GMT+0100,178.88,178.84400000000002,0.0195,0.0205
15.03.2020 23:03:13.350 GMT+0100,178.908,178.87,0.0195,0.0205
15.03.2020 23:03:13.623 GMT+0100,178.894,178.859,0.0195,0.0205
15.03.2020 23:03:13.921 GMT+0100,178.912,178.875,0.0195,0.0205
15.03.2020 23:03:13.994 GMT+0100,178.87900000000002,178.83900000000003,0.0195,0.0205
15.03.2020 23:03:14.349 GMT+0100,178.89200000000002,178.856,0.0195,0.0205
15.03.2020 23:03:14.459 GMT+0100,178.87900000000002,178.84,0.0195,0.0205
15.03.2020 23:03:14.697 GMT+0100,178.905,178.873,0.0195,0.0205
15.03.2020 23:03:14.854 GMT+0100,178.881,178.84,0.0195,0.0205
15.03.2020 23:03:14.923 GMT+0100,178.923,178.89000000000001,0.0195,0.0205
15.03.2020 23:03:15.220 GMT+0100,178.908,178.87400000000002,0.0195,0.0205
15.03.2020 23:03:15.651 GMT+0100,178.94,178.903,0.0195,0.0205
15.03.2020 23:03:15.702 GMT+0100,178.97299999999998,178.938,0.0195,0.0205
15.03.2020 23:03:16.509 GMT+0100,178.983,178.955,0.0195,0.0205
15.03.2020 23:03:18.551 GMT+0100,179.03400000000002,178.998,0.0195,0.0205
15.03.2020 23:03:20.186 GMT+0100,178.908,178.873,0.0195,0.0205
15.03.2020 23:03:20.418 GMT+0100,178.92700000000002,178.891,0.0195,0.0205
15.03.2020 23:03:22.502 GMT+0100,178.90900000000002,178.87099999999998,0.0195,0.0205
15.03.2020 23:03:25.086 GMT+0100,178.881,178.83900000000003,0.0195,0.0205
15.03.2020 23:03:26.190 GMT+0100,178.89200000000002,178.855,0.0195,0.0205
15.03.2020 23:03:39.623 GMT+0100,179.08,179.04500000000002,0.0195,0.0205
15.03.2020 23:03:40.150 GMT+0100,179.063,179.033,0.0195,0.0205
15.03.2020 23:03:41.830 GMT+0100,179.081,179.047,0.0195,0.0205
15.03.2020 23:03:42.004 GMT+0100,179.067,179.03099999999998,0.0195,0.0205
15.03.2020 23:03:42.175 GMT+0100,179.08400000000003,179.042,0.0195,0.0205
15.03.2020 23:03:43.385 GMT+0100,179.131,179.08900000000003,0.0195,0.0205
15.03.2020 23:03:43.744 GMT+0100,179.113,179.078,0.0195,0.0205
15.03.2020 23:03:44.406 GMT+0100,179.12599999999998,179.092,0.0195,0.0205
15.03.2020 23:03:45.751 GMT+0100,179.115,179.074,0.0195,0.0205
15.03.2020 23:03:46.047 GMT+0100,179.128,179.09400000000002,0.0195,0.0205
15.03.2020 23:03:47.646 GMT+0100,179.111,179.07500000000002,0.0195,0.0205
15.03.2020 23:03:49.135 GMT+0100,179.157,179.123,0.0195,0.0205
15.03.2020 23:03:50.762 GMT+0100,179.173,179.139,0.0195,0.0205
15.03.2020 23:03:51.510 GMT+0100,179.192,179.15599999999998,0.0195,0.0205
15.03.2020 23:03:53.564 GMT+0100,179.155,179.12400000000002,0.0195,0.0205
15.03.2020 23:03:54.056 GMT+0100,179.12599999999998,179.09400000000002,0.0195,0.0205
15.03.2020 23:03:54.201 GMT+0100,179.161,179.123,0.0195,0.0205
15.03.2020 23:03:54.633 GMT+0100,179.192,179.155,0.0195,0.0205
15.03.2020 23:03:55.057 GMT+0100,179.204,179.17000000000002,0.0195,0.0205
15.03.2020 23:03:55.658 GMT+0100,179.192,179.15400000000002,0.0195,0.0205
15.03.2020 23:03:56.990 GMT+0100,179.176,179.141,0.0195,0.0205
15.03.2020 23:03:58.048 GMT+0100,179.252,179.22099999999998,0.0195,0.0205
15.03.2020 23:03:58.624 GMT+0100,179.205,179.17000000000002,0.0195,0.0205
15.03.2020 23:04:00.125 GMT+0100,179.178,179.136,0.0195,0.0205
15.03.2020 23:04:00.175 GMT+0100,179.14200000000002,179.106,0.0195,0.0205
15.03.2020 23:04:00.489 GMT+0100,179.158,179.12099999999998,0.0195,0.0205
15.03.2020 23:04:01.599 GMT+0100,179.17700000000002,179.138,0.0195,0.0205
15.03.2020 23:04:01.860 GMT+0100,179.12400000000002,179.09,0.0195,0.0205
15.03.2020 23:04:02.082 GMT+0100,179.192,179.153,0.0195,0.0205
15.03.2020 23:04:04.059 GMT+0100,179.20700000000002,179.17000000000002,0.0195,0.0205
15.03.2020 23:04:06.093 GMT+0100,179.31,179.127,0.0195,0.0205
15.03.2020 23:04:06.809 GMT+0100,179.256,179.218,0.0195,0.0205
15.03.2020 23:04:07.395 GMT+0100,179.202,179.17000000000002,0.0195,0.0205
15.03.2020 23:04:07.685 GMT+0100,179.22,179.187,0.0195,0.0205
15.03.2020 23:04:11.063 GMT+0100,179.20700000000002,179.167,0.0195,0.0205
15.03.2020 23:04:13.219 GMT+0100,179.20700000000002,179.169,0.0195,0.0205
15.03.2020 23:04:13.639 GMT+0100,179.225,179.183,0.0195,0.0205
15.03.2020 23:04:16.512 GMT+0100,179.236,179.201,0.0195,0.0205
15.03.2020 23:04:16.757 GMT+0100,179.25400000000002,179.218,0.0195,0.0205
15.03.2020 23:04:18.870 GMT+0100,179.285,179.24900000000002,0.0195,0.0205
15.03.2020 23:04:21.574 GMT+0100,179.303,179.268,0.0195,0.0205
15.03.2020 23:04:22.075 GMT+0100,179.31799999999998,179.28,0.0195,0.0205
15.03.2020 23:04:22.895 GMT+0100,179.345,179.30900000000003,0.0195,0.0205
15.03.2020 23:04:22.946 GMT+0100,179.317,179.278,0.0195,0.0205
15.03.2020 23:04:23.063 GMT+0100,179.299,179.268,0.0195,0.0205
15.03.2020 23:04:23.113 GMT+0100,179.33200000000002,179.292,0.0195,0.0205
15.03.2020 23:04:23.865 GMT+0100,179.35,179.30900000000003,0.0195,0.0205
15.03.2020 23:04:25.597 GMT+0100,179.31400000000002,179.28099999999998,0.0195,0.0205
15.03.2020 23:04:25.803 GMT+0100,179.358,179.323,0.0195,0.0205
15.03.2020 23:04:26.002 GMT+0100,179.343,179.31099999999998,0.0195,0.0205
15.03.2020 23:04:30.132 GMT+0100,179.31099999999998,179.27700000000002,0.0195,0.0205
15.03.2020 23:04:30.259 GMT+0100,179.33,179.299,0.0195,0.0205
15.03.2020 23:04:30.368 GMT+0100,179.316,179.28099999999998,0.0195,0.0205
15.03.2020 23:04:31.685 GMT+0100,179.317,179.28099999999998,0.0195,0.0205
15.03.2020 23:04:32.946 GMT+0100,179.282,179.24900000000002,0.0195,0.0205
15.03.2020 23:04:33.960 GMT+0100,179.317,179.283,0.0195,0.0205
15.03.2020 23:04:34.128 GMT+0100,179.33400000000003,179.29500000000002,0.0195,0.0205
15.03.2020 23:04:34.370 GMT+0100,179.26700000000002,179.231,0.0195,0.0205
15.03.2020 23:04:35.261 GMT+0100,179.256,179.215,0.0195,0.0205
15.03.2020 23:04:35.425 GMT+0100,179.287,179.247,0.0195,0.0205
15.03.2020 23:04:35.950 GMT+0100,179.24900000000002,179.21900000000002,0.0195,0.0205
15.03.2020 23:04:36.235 GMT+0100,179.28,179.25,0.0195,0.0205
15.03.2020 23:04:38.186 GMT+0100,179.296,179.264,0.0195,0.0205
15.03.2020 23:04:40.064 GMT+0100,179.315,179.27900000000002,0.0195,0.0205
15.03.2020 23:04:43.878 GMT+0100,179.329,179.297,0.0195,0.0205
15.03.2020 23:04:43.995 GMT+0100,179.34900000000002,179.313,0.0195,0.0205
15.03.2020 23:04:45.071 GMT+0100,179.358,179.328,0.0195,0.0205
15.03.2020 23:04:45.511 GMT+0100,179.37599999999998,179.34099999999998,0.0195,0.0205
15.03.2020 23:04:47.245 GMT+0100,179.39700000000002,179.36200000000002,0.0195,0.0205
15.03.2020 23:04:47.357 GMT+0100,179.38,179.342,0.0195,0.0205
15.03.2020 23:04:48.072 GMT+0100,179.396,179.36200000000002,0.0195,0.0205
15.03.2020 23:04:48.189 GMT+0100,179.407,179.377,0.0195,0.0205
15.03.2020 23:04:48.309 GMT+0100,179.396,179.355,0.0195,0.0205
15.03.2020 23:04:48.427 GMT+0100,179.412,179.377,0.0195,0.0205
15.03.2020 23:04:48.540 GMT+0100,179.39700000000002,179.358,0.0195,0.0205
15.03.2020 23:04:48.793 GMT+0100,179.405,179.37400000000002,0.0195,0.0205
15.03.2020 23:04:49.577 GMT+0100,179.393,179.36200000000002,0.0195,0.0205
15.03.2020 23:04:49.781 GMT+0100,179.395,179.355,0.0195,0.0205
15.03.2020 23:04:49.913 GMT+0100,179.41,179.372,0.0195,0.0205
15.03.2020 23:04:50.027 GMT+0100,179.395,179.36200000000002,0.0195,0.0205
15.03.2020 23:04:50.133 GMT+0100,179.411,179.375,0.0195,0.0205
15.03.2020 23:04:50.258 GMT+0100,179.407,179.373,0.0195,0.0205
15.03.2020 23:04:51.318 GMT+0100,179.394,179.355,0.0195,0.0205
15.03.2020 23:04:51.525 GMT+0100,179.37400000000002,179.34599999999998,0.0195,0.0205
15.03.2020 23:04:53.682 GMT+0100,179.40900000000002,179.37400000000002,0.0195,0.0205
15.03.2020 23:04:54.073 GMT+0100,179.41,179.375,0.0195,0.0205
15.03.2020 23:04:54.334 GMT+0100,179.424,179.393,0.0195,0.0205
15.03.2020 23:04:54.926 GMT+0100,179.424,179.389,0.0195,0.0205
15.03.2020 23:04:56.250 GMT+0100,179.407,179.37400000000002,0.0195,0.0205
15.03.2020 23:04:57.663 GMT+0100,179.378,179.34099999999998,0.0195,0.0205
15.03.2020 23:04:58.198 GMT+0100,179.37599999999998,179.342,0.0195,0.0205
15.03.2020 23:05:00.574 GMT+0100,179.38,179.34099999999998,0.0195,0.0205
15.03.2020 23:05:12.018 GMT+0100,179.394,179.36200000000002,0.0195,0.0205
15.03.2020 23:05:12.173 GMT+0100,179.411,179.37,0.0195,0.0205
15.03.2020 23:05:17.413 GMT+0100,179.412,179.37400000000002,0.0195,0.0205
15.03.2020 23:05:18.559 GMT+0100,179.42700000000002,179.391,0.0195,0.0205
15.03.2020 23:05:18.801 GMT+0100,179.44299999999998,179.40200000000002,0.0195,0.0205
15.03.2020 23:05:19.301 GMT+0100,179.438,179.40200000000002,0.0195,0.0205
15.03.2020 23:05:22.451 GMT+0100,179.428,179.388,0.0195,0.0205
15.03.2020 23:05:22.907 GMT+0100,179.438,179.408,0.0195,0.0205
15.03.2020 23:05:23.188 GMT+0100,179.442,179.40599999999998,0.0195,0.0205
15.03.2020 23:05:23.239 GMT+0100,179.472,179.433,0.0195,0.0205
15.03.2020 23:05:23.716 GMT+0100,179.455,179.418,0.0195,0.0205
15.03.2020 23:05:24.174 GMT+0100,179.43599999999998,179.40099999999998,0.0195,0.0205
15.03.2020 23:05:24.481 GMT+0100,179.438,179.408,0.0195,0.0205
15.03.2020 23:05:26.892 GMT+0100,179.425,179.386,0.0195,0.0205
15.03.2020 23:05:27.283 GMT+0100,179.407,179.377,0.0195,0.0205
15.03.2020 23:05:28.357 GMT+0100,179.396,179.355,0.0195,0.0205
15.03.2020 23:05:29.994 GMT+0100,179.37599999999998,179.343,0.0195,0.0205
15.03.2020 23:05:30.881 GMT+0100,179.393,179.357,0.0195,0.0205
15.03.2020 23:05:31.175 GMT+0100,179.38,179.342,0.0195,0.0205
15.03.2020 23:05:31.759 GMT+0100,179.394,179.359,0.0195,0.0205
15.03.2020 23:05:31.902 GMT+0100,179.407,179.372,0.0195,0.0205
15.03.2020 23:05:32.537 GMT+0100,179.381,179.33900000000003,0.0195,0.0205
15.03.2020 23:05:36.857 GMT+0100,179.37900000000002,179.33900000000003,0.0195,0.0205
15.03.2020 23:05:38.263 GMT+0100,179.347,179.312,0.0195,0.0205
15.03.2020 23:05:41.373 GMT+0100,179.381,179.33900000000003,0.0195,0.0205
15.03.2020 23:05:45.081 GMT+0100,179.345,179.313,0.0195,0.0205
15.03.2020 23:05:45.351 GMT+0100,179.329,179.293,0.0195,0.0205
15.03.2020 23:05:46.412 GMT+0100,179.33,179.292,0.0195,0.0205
15.03.2020 23:05:46.793 GMT+0100,179.363,179.328,0.0195,0.0205
15.03.2020 23:05:47.465 GMT+0100,179.35,179.315,0.0195,0.0205
15.03.2020 23:05:47.629 GMT+0100,179.331,179.297,0.0195,0.0205
15.03.2020 23:05:48.265 GMT+0100,179.329,179.296,0.0195,0.0205
15.03.2020 23:05:49.976 GMT+0100,179.317,179.27900000000002,0.0195,0.0205
15.03.2020 23:05:50.399 GMT+0100,179.327,179.29500000000002,0.0195,0.0205
15.03.2020 23:05:52.276 GMT+0100,179.313,179.27700000000002,0.0195,0.0205
15.03.2020 23:05:55.496 GMT+0100,179.285,179.252,0.0195,0.0205
15.03.2020 23:05:55.631 GMT+0100,179.282,179.248,0.0195,0.0205
15.03.2020 23:05:55.809 GMT+0100,179.317,179.283,0.0195,0.0205
15.03.2020 23:06:00.240 GMT+0100,179.282,179.245,0.0195,0.0205
15.03.2020 23:06:00.384 GMT+0100,179.303,179.268,0.0195,0.0205
15.03.2020 23:06:00.512 GMT+0100,179.283,179.25,0.0195,0.0205
15.03.2020 23:06:01.303 GMT+0100,179.268,179.232,0.0195,0.0205
15.03.2020 23:06:01.902 GMT+0100,179.285,179.25,0.0195,0.0205
15.03.2020 23:06:04.136 GMT+0100,179.30200000000002,179.26500000000001,0.0195,0.0205
