,Sentences,Speaker
0,Good afternoon.,CHAIRMAN BERNANKE.
1,The Federal Open Market Committee concluded a two-day meeting earlier today.,CHAIRMAN BERNANKE.
2,"As always, my colleagues and I reviewed recent economic and financial developments and discussed the economic outlook.",CHAIRMAN BERNANKE.
3,The data since our January meeting have been generally consistent with our expectation that the fourth-quarter pause in the recovery would prove temporary and that moderate economic growth would resume.,CHAIRMAN BERNANKE.
4,"Spending by households and businesses has continued to expand, and the housing sector has seen further gains.",CHAIRMAN BERNANKE.
5,"The jobs market has also shown signs of improvement over the past six months or so:  Private payrolls are growing more quickly, total hours of work have increased, the rate of filings of new claims for unemployment insurance has fallen, and the unemployment rate has continued to tick down.",CHAIRMAN BERNANKE.
6,"However, at 7.7 percent, the unemployment rate remains elevated.",CHAIRMAN BERNANKE.
7,The Committee also remains concerned that restrictive fiscal policies may slow economic growth and job creation in coming months.,CHAIRMAN BERNANKE.
8,"We continue to monitor the recent increases in gasoline prices, which appear to be due mostly to passing factors such as refinery shutdowns for maintenance.",CHAIRMAN BERNANKE.
9,"Apart from temporary variations in energy prices, inflation is running somewhat below the Committee’s longer-run objective of 2 percent.",CHAIRMAN BERNANKE.
10,"Importantly, longer-term inflation expectations remain stable.",CHAIRMAN BERNANKE.
11,"Overall, still-high unemployment, in combination with relatively low inflation, underscores the need for policies that will support progress towards maximum employment in a context of price stability.",CHAIRMAN BERNANKE.
12,"In conjunction with this meeting, the 19 participants in our policy discussion—the As always, each participant’s projections are conditioned on his or her own view of appropriate monetary policy.",CHAIRMAN BERNANKE.
13,"To summarize, the participants’ projections for economic growth have a central tendency of 2.3 to 2.8 percent for 2013, rising to 2.9 to 3.7 percent in 2015.",CHAIRMAN BERNANKE.
14,"The central tendency of their projections of the unemployment rate for the fourth quarter of this year is 7.3 to 7.5 percent, declining to 6.0 to 6.5 percent in the final quarter of 2015.",CHAIRMAN BERNANKE.
15,Most participants see inflation gradually increasing toward the Committee’s longer-run target; the central tendency of their projections for inflation is 1.3 to 1.7 percent this year and 1.7 to 2.0 percent in 2015.,CHAIRMAN BERNANKE.
16,"As you already know from the policy statement, we are continuing the asset purchase program first announced in September.",CHAIRMAN BERNANKE.
17,"This decision was supported by our review at the meeting of the likely efficacy, costs, and risks of additional purchases.",CHAIRMAN BERNANKE.
18,Let me briefly summarize the cost–benefit analysis supporting our decision.,CHAIRMAN BERNANKE.
19,"Although estimates of the efficacy of the Federal Reserve’s asset purchases are necessarily uncertain, most participants agreed that these purchases—by putting downward pressure on longer-term interest rates, including mortgage rates—continue to provide meaningful support to economic growth and job creation.",CHAIRMAN BERNANKE.
20,"However, most also agreed that this monetary tool would likely not be able on its own to fully offset major economic headwinds, such as those that might arise from significant near-term fiscal restraint or from a sharp increase in global financial stresses.",CHAIRMAN BERNANKE.
21,We also had a thorough discussion of possible costs and risks of continued expansion of the Federal Reserve’s balance sheet.,CHAIRMAN BERNANKE.
22,"The risks include possible adverse implications of additional purchases for the functioning of securities markets, and the potential effects—under various scenarios—of a larger balance sheet on the Federal Reserve’s earnings from its asset risks to financial stability, such as might arise if persistently low rates lead some market participants to take on excessive risk in a “reach for yield.”  In the Committee’s view, these costs remain manageable but will continue to be monitored, and we will take them into appropriate account as we determine the size, pace, and composition of our asset purchases.",CHAIRMAN BERNANKE.
23,"As for today, our policy decision had two main elements.",CHAIRMAN BERNANKE.
24,"First, the Committee decided to continue purchasing additional agency mortgage-backed securities at a pace of $40 billion per month and longer-term Treasury securities at a pace of $45 billion per month.",CHAIRMAN BERNANKE.
25,"It bears emphasizing that the Committee has described this program in terms of a monthly pace of purchases, rather than as a total amount of expected purchases, and has tied the evolution of the program to economic criteria—specifically, to the achievement of a substantial improvement in the outlook for the labor market in a context of price stability.",CHAIRMAN BERNANKE.
