,Sentences,Speaker
0,Good afternoon.,CHAIR POWELL.
1,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us:  maximum employment and price stability.",CHAIR POWELL.
2,"Today, the FOMC kept interest rates near zero and, in light of the progress the economy has made toward our goals, decided to begin reducing the pace of asset purchases.",CHAIR POWELL.
3,"With these actions, monetary policy will continue to provide strong support to the economic recovery.",CHAIR POWELL.
4,"Given the unprecedented nature of the disruptions related to the pandemic and the reopening of the economy, we remain attentive to risks and will ensure that our policy is well positioned to address the full range of plausible economic outcomes.",CHAIR POWELL.
5,I will say more about our monetary policy decisions after reviewing recent economic developments.,CHAIR POWELL.
6,"Economic activity expanded at a 6.5 percent pace in the first half of the year, reflecting progress on vaccinations, the reopening of the economy, and strong policy support.",CHAIR POWELL.
7,"In the third quarter, real GDP growth slowed notably from this rapid pace.",CHAIR POWELL.
8,"The summer’s surge in COVID cases from the Delta variant has held back the recovery in the sectors most adversely affected by the pandemic, including travel and leisure.",CHAIR POWELL.
9,"Activity has also been restrained by supply constraints and bottlenecks, notably in the motor vehicle industry.",CHAIR POWELL.
10,"As a result, both household spending and business investment flattened out last quarter.",CHAIR POWELL.
11,"Nonetheless, aggregate demand has been very strong this year, buoyed by fiscal and monetary policy support and the healthy financial positions of households and businesses.",CHAIR POWELL.
12,"With COVID case counts receding further and progress on vaccinations, economic growth should pick up this quarter, resulting in strong growth for the year as a whole.",CHAIR POWELL.
13,"Conditions in the labor market have continued to improve, and demand for workers remains very strong.",CHAIR POWELL.
14,"As with overall economic activity, the pace of improvement slowed with the rise in COVID cases.",CHAIR POWELL.
15,"In August and September, job gains averaged 280,000 per month, down from an average of about 1 million jobs per month in June and July.",CHAIR POWELL.
16,"The slowdown has been concentrated in sectors most sensitive to the pandemic, including leisure and hospitality and education.",CHAIR POWELL.
17,The unemployment rate was 4.8 percent in September.,CHAIR POWELL.
18,"This figure understates the shortfall in employment, particularly as participation in the labor market remains subdued.",CHAIR POWELL.
19,Some of the softness in participation likely reflects the aging of the population and retirements.,CHAIR POWELL.
20,"But participation for prime-aged individuals also remains well below pre-pandemic levels—in part reflecting factors related to the pandemic, such as caregiving needs and ongoing concerns about the virus.",CHAIR POWELL.
21,"As a result, employers are having difficulties filling job openings.",CHAIR POWELL.
22,These impediments to labor supply should diminish with further progress on containing the virus—supporting gains in employment and economic activity.,CHAIR POWELL.
23,"The economic downturn has not fallen equally on all Americans, and those least able to shoulder the burden have been hardest hit.",CHAIR POWELL.
24,"Despite progress, joblessness continues to fall disproportionately on African Americans and Hispanics.",CHAIR POWELL.
25,The supply and demand imbalances related to the pandemic and the reopening of the economy have contributed to sizable price increases in some sectors.,CHAIR POWELL.
26,"In particular, bottlenecks and supply chain disruptions are limiting how quickly production can respond to the rebound in demand in the near term.",CHAIR POWELL.
27,"As a result, overall inflation is running well above our 2 percent longer-run goal.",CHAIR POWELL.
28,Supply constraints have been larger and longer lasting than anticipated.,CHAIR POWELL.
