Local time,Ask,Bid,AskVolume,BidVolume
03.11.2021 00:00:11.425 GMT+0100,160.69299999999998,160.644,0.0143,0.0209
03.11.2021 00:00:42.958 GMT+0100,160.72299999999998,160.678,0.0143,0.0209
03.11.2021 00:02:15.625 GMT+0100,160.725,160.67600000000002,0.0143,0.0209
03.11.2021 00:05:16.569 GMT+0100,160.726,160.67600000000002,0.0143,0.0209
03.11.2021 00:06:29.554 GMT+0100,160.756,160.71,0.0143,0.0209
03.11.2021 00:09:59.328 GMT+0100,160.76,160.70700000000002,0.0143,0.0209
03.11.2021 00:10:32.689 GMT+0100,160.72299999999998,160.683,0.0143,0.0209
03.11.2021 00:11:59.388 GMT+0100,160.726,160.678,0.0143,0.0209
03.11.2021 00:13:21.130 GMT+0100,160.759,160.71200000000002,0.0143,0.0209
03.11.2021 00:13:21.238 GMT+0100,160.744,160.695,0.0143,0.0209
03.11.2021 00:13:21.359 GMT+0100,160.73,160.679,0.0143,0.0209
03.11.2021 00:13:25.665 GMT+0100,160.758,160.70700000000002,0.0143,0.0209
03.11.2021 00:13:26.150 GMT+0100,160.74,160.694,0.0143,0.0209
03.11.2021 00:13:26.408 GMT+0100,160.761,160.70700000000002,0.0143,0.0209
03.11.2021 00:16:26.039 GMT+0100,160.761,160.70700000000002,0.0143,0.0209
03.11.2021 00:17:52.181 GMT+0100,160.73,160.678,0.0143,0.0209
03.11.2021 00:29:55.392 GMT+0100,160.728,160.68,0.0143,0.0209
03.11.2021 00:33:53.173 GMT+0100,160.726,160.67600000000002,0.0143,0.0209
03.11.2021 00:35:20.213 GMT+0100,160.73,160.68,0.0143,0.0209
03.11.2021 00:36:53.817 GMT+0100,160.729,160.681,0.0143,0.0209
03.11.2021 00:39:18.575 GMT+0100,160.727,160.678,0.0143,0.0209
03.11.2021 00:41:00.258 GMT+0100,160.72299999999998,160.681,0.0143,0.0209
03.11.2021 00:44:31.620 GMT+0100,160.73,160.67600000000002,0.0143,0.0209
03.11.2021 00:54:03.346 GMT+0100,160.727,160.68,0.0143,0.0209
03.11.2021 00:57:27.172 GMT+0100,160.694,160.644,0.0143,0.0209
03.11.2021 00:58:47.861 GMT+0100,160.664,160.614,0.0143,0.0209
03.11.2021 00:59:21.346 GMT+0100,160.698,160.644,0.0143,0.0209
03.11.2021 01:01:16.374 GMT+0100,160.71200000000002,160.661,0.0143,0.0209
03.11.2021 01:01:16.643 GMT+0100,160.698,160.64700000000002,0.0143,0.0209
03.11.2021 01:01:26.297 GMT+0100,160.725,160.679,0.0143,0.0209
03.11.2021 01:04:03.889 GMT+0100,160.758,160.70700000000002,0.0143,0.0209
03.11.2021 01:06:05.892 GMT+0100,160.785,160.739,0.0143,0.0209
03.11.2021 01:06:12.680 GMT+0100,160.76,160.71,0.0143,0.0209
03.11.2021 01:07:02.388 GMT+0100,160.785,160.739,0.0143,0.0209
03.11.2021 01:07:16.460 GMT+0100,160.757,160.708,0.0143,0.0209
03.11.2021 01:08:02.493 GMT+0100,160.789,160.738,0.0143,0.0209
03.11.2021 01:10:04.799 GMT+0100,160.789,160.741,0.0143,0.0209
03.11.2021 01:11:56.058 GMT+0100,160.758,160.708,0.0143,0.0209
03.11.2021 01:12:42.695 GMT+0100,160.77,160.728,0.0143,0.0209
03.11.2021 01:12:42.975 GMT+0100,160.789,160.74,0.0143,0.0209
03.11.2021 01:13:58.196 GMT+0100,160.756,160.71,0.0143,0.0209
03.11.2021 01:14:02.587 GMT+0100,160.787,160.74200000000002,0.0143,0.0209
03.11.2021 01:14:02.864 GMT+0100,160.76,160.711,0.0143,0.0209
03.11.2021 01:15:02.401 GMT+0100,160.78799999999998,160.743,0.0143,0.0209
03.11.2021 01:15:19.529 GMT+0100,160.806,160.759,0.0143,0.0209
03.11.2021 01:15:19.579 GMT+0100,160.851,160.806,0.0143,0.0209
03.11.2021 01:15:28.085 GMT+0100,160.816,160.77,0.0143,0.0209
03.11.2021 01:15:44.840 GMT+0100,160.854,160.806,0.0143,0.0209
03.11.2021 01:16:02.163 GMT+0100,160.82,160.773,0.0143,0.0209
03.11.2021 01:16:02.429 GMT+0100,160.84799999999998,160.804,0.0143,0.0209
03.11.2021 01:16:38.406 GMT+0100,160.838,160.786,0.0143,0.0209
03.11.2021 01:16:38.602 GMT+0100,160.819,160.776,0.0143,0.0209
03.11.2021 01:17:11.537 GMT+0100,160.85,160.805,0.0143,0.0209
03.11.2021 01:17:25.325 GMT+0100,160.81799999999998,160.77100000000002,0.0143,0.0209
03.11.2021 01:17:31.221 GMT+0100,160.852,160.805,0.0143,0.0209
03.11.2021 01:19:26.421 GMT+0100,160.852,160.80100000000002,0.0143,0.0209
03.11.2021 01:19:45.406 GMT+0100,160.821,160.77200000000002,0.0143,0.0209
03.11.2021 01:21:51.507 GMT+0100,160.82,160.769,0.0143,0.0209
03.11.2021 01:23:46.886 GMT+0100,160.823,160.773,0.0143,0.0209
03.11.2021 01:24:02.398 GMT+0100,160.853,160.80200000000002,0.0143,0.0209
03.11.2021 01:24:02.678 GMT+0100,160.819,160.77,0.0143,0.0209
03.11.2021 01:24:07.349 GMT+0100,160.838,160.792,0.0143,0.0209
03.11.2021 01:24:12.302 GMT+0100,160.821,160.776,0.0143,0.0209
03.11.2021 01:25:02.384 GMT+0100,160.853,160.806,0.0143,0.0209
03.11.2021 01:25:02.486 GMT+0100,160.823,160.773,0.0143,0.0209
03.11.2021 01:25:04.083 GMT+0100,160.834,160.789,0.0143,0.0209
03.11.2021 01:25:11.115 GMT+0100,160.816,160.774,0.0143,0.0209
03.11.2021 01:25:28.290 GMT+0100,160.835,160.792,0.0143,0.0209
03.11.2021 01:25:30.396 GMT+0100,160.81799999999998,160.773,0.0143,0.0209
03.11.2021 01:25:47.127 GMT+0100,160.853,160.808,0.0143,0.0209
03.11.2021 01:27:02.728 GMT+0100,160.821,160.77100000000002,0.0143,0.0209
03.11.2021 01:28:06.159 GMT+0100,160.852,160.806,0.0143,0.0209
03.11.2021 01:29:47.003 GMT+0100,160.838,160.789,0.0143,0.0209
03.11.2021 01:29:48.884 GMT+0100,160.853,160.808,0.0143,0.0209
03.11.2021 01:29:53.820 GMT+0100,160.823,160.774,0.0143,0.0209
03.11.2021 01:30:03.027 GMT+0100,160.835,160.786,0.0143,0.0209
03.11.2021 01:30:06.028 GMT+0100,160.81799999999998,160.769,0.0143,0.0209
03.11.2021 01:30:32.967 GMT+0100,160.85,160.80200000000002,0.0143,0.0209
03.11.2021 01:30:33.298 GMT+0100,160.821,160.77,0.0143,0.0209
03.11.2021 01:34:30.268 GMT+0100,160.816,160.769,0.0143,0.0209
03.11.2021 01:35:39.032 GMT+0100,160.787,160.741,0.0143,0.0209
03.11.2021 01:38:08.190 GMT+0100,160.816,160.774,0.0143,0.0209
03.11.2021 01:38:58.865 GMT+0100,160.78799999999998,160.743,0.0143,0.0209
03.11.2021 01:39:02.442 GMT+0100,160.82,160.77100000000002,0.0143,0.0209
03.11.2021 01:40:50.758 GMT+0100,160.85,160.803,0.0143,0.0209
03.11.2021 01:41:01.674 GMT+0100,160.83200000000002,160.785,0.0143,0.0209
03.11.2021 01:41:09.751 GMT+0100,160.816,160.77200000000002,0.0143,0.0209
03.11.2021 01:41:10.611 GMT+0100,160.836,160.789,0.0143,0.0209
03.11.2021 01:41:10.753 GMT+0100,160.84799999999998,160.805,0.0143,0.0209
03.11.2021 01:44:08.871 GMT+0100,160.851,160.80100000000002,0.0143,0.0209
03.11.2021 01:46:06.768 GMT+0100,160.853,160.80100000000002,0.0143,0.0209
03.11.2021 01:48:03.727 GMT+0100,160.84799999999998,160.80200000000002,0.0143,0.0209
03.11.2021 01:51:53.676 GMT+0100,160.82,160.77200000000002,0.0143,0.0209
03.11.2021 01:54:52.064 GMT+0100,160.823,160.776,0.0143,0.0209
03.11.2021 01:57:09.563 GMT+0100,160.82,160.77100000000002,0.0143,0.0209
03.11.2021 01:57:22.088 GMT+0100,160.852,160.808,0.0143,0.0209
03.11.2021 01:57:22.219 GMT+0100,160.822,160.776,0.0143,0.0209
03.11.2021 01:57:28.758 GMT+0100,160.853,160.80100000000002,0.0143,0.0209
03.11.2021 01:59:07.820 GMT+0100,160.851,160.80200000000002,0.0143,0.0209
