,Sentences,Speaker
0,"Good afternoon, and welcome.",CHAIR POWELL.
1,My colleagues at the Federal Reserve and I are dedicated to serving the American people.,CHAIR POWELL.
2,We do this by steadfastly pursuing the goals that Congress has given us:  maximum employment and stable prices.,CHAIR POWELL.
3,We’re committed to making the best decisions we can based on facts and objective analysis.,CHAIR POWELL.
4,Today we decided to lower the interest rates for the third time this year.,CHAIR POWELL.
5,We took this step to help keep the U.S. economy strong in the face of global developments and to provide some insurance against ongoing risks.,CHAIR POWELL.
6,"As I will explain shortly, the policy adjustments we have made since last year are providing—and will continue to provide—meaningful support to the economy.",CHAIR POWELL.
7,We believe that monetary policy is in a good place.,CHAIR POWELL.
8,"The U.S. economy is in its 11th year of expansion, and the baseline outlook remains favorable.",CHAIR POWELL.
9,The overall economy is growing at a moderate rate.,CHAIR POWELL.
10,"Household spending continues to be strong, supported by a healthy job market, rising incomes, and solid consumer confidence.",CHAIR POWELL.
11,"In contrast, business investment and exports remain weak, and manufacturing output has declined over the past year.",CHAIR POWELL.
12,Sluggish growth abroad and trade developments have been weighing on those sectors.,CHAIR POWELL.
13,"Looking ahead, we continue to expect the economy to expand at a moderate rate, reflecting solid household spending and supportive financial conditions.",CHAIR POWELL.
14,The job market remains strong.,CHAIR POWELL.
15,The unemployment rate has been near half-century lows for a year and a half.,CHAIR POWELL.
16,The pace of job gains has eased this year but has remained solid; we had expected some slowing after last year’s strong pace.,CHAIR POWELL.
17,"Participation in the labor force by people in their prime working years has been increasing, and wages have been rising, particularly for lower-paying jobs.",CHAIR POWELL.
18,People who live and work in low- and middle-income communities tell us that many who have struggled to find work are now getting opportunities to add new and better chapters to their lives.,CHAIR POWELL.
19,This underscores for us the importance of sustaining the expansion so that the strong job market reaches more of those left behind.,CHAIR POWELL.
20,Inflation continues to run below our symmetric 2 percent objective.,CHAIR POWELL.
21,"Over the 12 months through August, total PCE inflation was 1.4 percent and core inflation was 1.8 percent.",CHAIR POWELL.
22,"Inflation pressures remain muted, and indicators of longer-term inflation expectations are at the lower end of their historic ranges.",CHAIR POWELL.
23,We’re mindful that continued below-target inflation could lead to an unwelcome downward slide in long-term inflation expectations.,CHAIR POWELL.
24,"However, against the backdrop of a strong economy and supportive monetary policy, we expect inflation will rise to 2 percent.",CHAIR POWELL.
25,"Overall, we continue to see sustained expansion of economic activity, a strong labor market, and inflation near our symmetric 2 percent objective as most likely.",CHAIR POWELL.
26,"While this has been our outlook for quite some time, our views about the path of interest rates that will best achieve these outcomes have changed significantly over the past year.",CHAIR POWELL.
27,"As I mentioned, weakness in global growth and trade developments have weighed on the economy and pose ongoing risks.",CHAIR POWELL.
28,"These factors, in conjunction with muted inflation pressures, have led us to lower our assessment of the appropriate level of the federal funds rate over the past year.",CHAIR POWELL.
29,"In both July and September, we reduced the target rate [range] for the federal funds rate by ¼ percentage point, and we did so again today, bringing the range to 1½ to 1¾ percent.",CHAIR POWELL.
30,The policy adjustments we’ve made to date will continue to provide significant support for the economy.,CHAIR POWELL.
31,"Since monetary policy operates with a lag, the full effects of these adjustments on economic growth, the job market, and inflation will be realized over time.",CHAIR POWELL.
32,"We see the current stance of monetary policy as likely to remain appropriate as long as incoming information about the economy remains broadly consistent with our outlook of moderate economic growth, a strong labor market, and inflation near our symmetric 2 percent objective.",CHAIR POWELL.
33,We believe monetary policy is in a good place to achieve these outcomes.,CHAIR POWELL.
34,"Looking ahead, we’ll be monitoring the effects of our policy actions, along with other information bearing on the outlook, as we assess the appropriate path of the target range for the fed funds rate.",CHAIR POWELL.
