Local time,Ask,Bid,AskVolume,BidVolume
30.10.2019 00:00:05.872 GMT+0100,3037.43,3036.9690000000005,0.0004,0.0004
30.10.2019 00:00:05.922 GMT+0100,3037.43,3036.77,0.0004,0.0024
30.10.2019 00:00:06.279 GMT+0100,3037.43,3036.869,0,0.0022
30.10.2019 00:00:06.330 GMT+0100,3037.53,3036.87,0.0004,0.0004
30.10.2019 00:00:07.310 GMT+0100,3037.43,3036.87,0.0004,0.0004
30.10.2019 00:00:07.361 GMT+0100,3037.43,3036.77,0.0009,0.0027
30.10.2019 00:00:45.769 GMT+0100,3037.63,3036.9700000000003,0.0004,0.0024
30.10.2019 00:01:22.366 GMT+0100,3037.431,3036.9700000000003,0.0004,0.0001
30.10.2019 00:01:22.416 GMT+0100,3037.43,3036.77,0.0004,0.0005
30.10.2019 00:01:55.121 GMT+0100,3037.43,3036.9700000000003,0.0004,0.0022
30.10.2019 00:01:55.171 GMT+0100,3037.63,3036.9700000000003,0.0032,0.0028
30.10.2019 00:01:55.461 GMT+0100,3037.53,3036.9700000000003,0.0004,0.0005
30.10.2019 00:01:55.511 GMT+0100,3037.53,3036.87,0.0009,0.0027
30.10.2019 00:01:59.035 GMT+0100,3037.53,3036.9700000000003,0.0004,0.0022
30.10.2019 00:01:59.086 GMT+0100,3037.63,3036.9700000000003,0.0009,0.0027
30.10.2019 00:02:28.093 GMT+0100,3037.63,3037.27,0.0004,0.0022
30.10.2019 00:02:28.144 GMT+0100,3037.93,3037.27,0.0004,0.0024
30.10.2019 00:02:30.709 GMT+0100,3037.631,3037.27,0.0004,0.0001
30.10.2019 00:02:30.760 GMT+0100,3037.63,3036.9700000000003,0.0004,0.0005
30.10.2019 00:02:49.965 GMT+0100,3037.63,3037.27,0.0004,0.0022
30.10.2019 00:02:50.015 GMT+0100,3037.93,3037.27,0.0032,0.0028
30.10.2019 00:03:05.490 GMT+0100,3037.63,3037.27,0.0004,0.0005
30.10.2019 00:03:05.541 GMT+0100,3037.63,3036.9700000000003,0.0004,0.0024
30.10.2019 00:06:02.520 GMT+0100,3037.43,3036.9690000000005,0.0004,0.0004
30.10.2019 00:06:02.570 GMT+0100,3037.43,3036.77,0.0004,0.0022
30.10.2019 00:07:33.562 GMT+0100,3037.431,3036.869,0.0004,0.0022
30.10.2019 00:07:33.613 GMT+0100,3037.53,3036.87,0.0004,0.0005
30.10.2019 00:07:34.332 GMT+0100,3037.63,3036.9700000000003,0.0004,0.0005
30.10.2019 00:08:37.822 GMT+0100,3037.93,3037.27,0.0004,0.0022
30.10.2019 00:09:46.305 GMT+0100,3037.931,3037.4690000000005,0.0004,0.0022
30.10.2019 00:09:46.356 GMT+0100,3038.13,3037.4700000000003,0.0004,0.0005
30.10.2019 00:09:48.432 GMT+0100,3037.93,3037.4700000000003,0.0004,0.0005
30.10.2019 00:09:48.483 GMT+0100,3037.93,3037.27,0.0004,0.0022
30.10.2019 00:09:57.244 GMT+0100,3037.931,3037.4690000000005,0.0004,0.0022
30.10.2019 00:09:57.294 GMT+0100,3038.13,3037.4700000000003,0.0004,0.0005
30.10.2019 00:09:58.885 GMT+0100,3037.93,3037.4700000000003,0.0004,0.0005
30.10.2019 00:09:58.935 GMT+0100,3037.93,3037.27,0.0004,0.0024
30.10.2019 00:10:01.434 GMT+0100,3037.93,3037.4700000000003,0,0.0022
30.10.2019 00:10:01.484 GMT+0100,3038.13,3037.4700000000003,0.0004,0.0024
30.10.2019 00:10:01.789 GMT+0100,3037.931,3037.4700000000003,0.0004,0.0001
30.10.2019 00:10:01.840 GMT+0100,3037.931,3037.2690000000002,0.0032,0.0028
30.10.2019 00:10:02.079 GMT+0100,3038.03,3037.37,0.0004,0.0005
30.10.2019 00:10:03.994 GMT+0100,3037.93,3037.37,0.0004,0.0005
30.10.2019 00:10:04.044 GMT+0100,3037.93,3037.27,0.0032,0.0028
30.10.2019 00:10:12.342 GMT+0100,3038.031,3037.369,0.0032,0.0028
30.10.2019 00:10:18.502 GMT+0100,3037.93,3037.369,0.0004,0.0005
30.10.2019 00:10:18.552 GMT+0100,3037.93,3037.27,0.0004,0.0024
30.10.2019 00:10:18.662 GMT+0100,3037.93,3037.4690000000005,0,0.0022
30.10.2019 00:10:18.713 GMT+0100,3038.131,3037.4690000000005,0.0032,0.0028
30.10.2019 00:11:21.981 GMT+0100,3037.93,3037.4690000000005,0.0004,0.0004
30.10.2019 00:11:22.031 GMT+0100,3037.93,3037.27,0.0004,0.0022
