Local time,Ask,Bid,AskVolume,BidVolume
30.10.2019 00:04:04.457 GMT+0100,158.657,158.625,0.02,0.0125
30.10.2019 00:04:33.960 GMT+0100,158.662,158.609,1.01,0.015
30.10.2019 00:04:43.404 GMT+0100,158.662,158.61,1.01,0.015
30.10.2019 00:04:46.004 GMT+0100,158.662,158.609,1.01,0.015
30.10.2019 00:04:53.318 GMT+0100,158.662,158.625,1.01,0.0094
30.10.2019 00:05:04.359 GMT+0100,158.673,158.624,1.01,0.0094
30.10.2019 00:05:34.580 GMT+0100,158.673,158.656,0.75,0.0094
30.10.2019 00:05:34.630 GMT+0100,158.703,158.656,1.01,0.0094
30.10.2019 00:05:36.573 GMT+0100,158.703,158.637,1.01,0.75
30.10.2019 00:05:36.623 GMT+0100,158.672,158.625,1.01,0.015
30.10.2019 00:05:57.988 GMT+0100,158.672,158.656,0.75,0.0094
30.10.2019 00:05:58.119 GMT+0100,158.702,158.656,1.01,0.0094
30.10.2019 00:06:02.906 GMT+0100,158.702,158.655,1.01,0.0094
30.10.2019 00:08:03.667 GMT+0100,158.689,158.655,0.02,0.02
30.10.2019 00:09:46.319 GMT+0100,158.689,158.655,0.0125,0.02
30.10.2019 00:09:46.628 GMT+0100,158.721,158.687,0.02,0.0125
30.10.2019 00:10:37.805 GMT+0100,158.732,158.67100000000002,1.01,0.015
30.10.2019 00:10:37.956 GMT+0100,158.702,158.67100000000002,0.75,0.015
30.10.2019 00:10:38.205 GMT+0100,158.702,158.655,1.01,0.015
30.10.2019 00:27:20.812 GMT+0100,158.689,158.655,0.02,0.02
30.10.2019 00:28:53.599 GMT+0100,158.688,158.656,0.0125,0.02
30.10.2019 00:31:03.352 GMT+0100,158.689,158.655,0.0125,0.02
30.10.2019 00:32:27.740 GMT+0100,158.689,158.655,0.0125,0.02
30.10.2019 00:33:00.971 GMT+0100,158.704,158.672,0.02,0.02
30.10.2019 00:33:02.313 GMT+0100,158.733,158.688,1.01,0.0094
30.10.2019 00:33:02.435 GMT+0100,158.733,158.687,1.01,0.015
