,Sentences,Speaker
0,Good afternoon.,CHAIR YELLEN.
1,"As you know from our policy statement released a short time ago, the Federal Open Market Committee reaffirmed the current 0 to ¼ percent target range for the federal funds rate.",CHAIR YELLEN.
2,"Since the Committee met in July, the pace of job gains has been solid, the unemployment rate has declined, and overall labor market conditions have continued to improve.",CHAIR YELLEN.
3,"Inflation, however, has continued to run below our longer-run objective, partly reflecting declines in energy and import prices.",CHAIR YELLEN.
4,"While we still expect that the downward pressure on inflation from these factors will fade over time, recent global economic and financial developments are likely to put further downward pressure on inflation in the near term.",CHAIR YELLEN.
5,These developments may also restrain U.S. activity somewhat but have not led at this point to a significant change in the Committee’s outlook for the U.S. economy.,CHAIR YELLEN.
6,The Committee continues to anticipate that the first increase in the federal funds rate will be appropriate when it has seen some further improvement in the labor market and is reasonably confident that inflation will move back to its 2 percent objective over the medium term.,CHAIR YELLEN.
7,It remains the case that the Committee will determine the timing of the initial increase based on its assessment of the implications of incoming information for the economic outlook.,CHAIR YELLEN.
8,I will note that the importance of the initial increase should not be overstated:  The stance of monetary policy will likely remain highly accommodative for quite some time after the initial increase in the federal funds rate in order to support continued progress toward our objectives of maximum employment and 2 percent inflation.,CHAIR YELLEN.
9,"I will come back to today’s policy decision in a few moments, but first I would like to review recent economic developments and the outlook.",CHAIR YELLEN.
10,"Smoothing through the quarterly volatility, U.S. real gross domestic product is estimated to have expanded at a 2¼ percent pace in the first half of the year, a notably stronger outcome than expected in June, when Committee participants had submitted economic projections.",CHAIR YELLEN.
11,Continued job gains and increases in real disposable income have supported household spending.,CHAIR YELLEN.
12,"Growth in business fixed investment was moderate, held down in part by a significant contraction in oil drilling activity as a result of the large drop in oil prices over the past year.",CHAIR YELLEN.
13,"Moreover, net exports were a substantial drag on GDP growth during the first half of the year, reflecting the earlier appreciation of the dollar and weaker foreign demand.",CHAIR YELLEN.
14,The Committee continues to expect a moderate pace of overall GDP growth even though the restraint from net exports is likely to persist for a time.,CHAIR YELLEN.
15,The labor market has shown further progress so far this year toward our objective of maximum employment.,CHAIR YELLEN.
16,"Over the past three months, job gains averaged 220,000 per month.",CHAIR YELLEN.
17,"The unemployment rate, at 5.1 percent in August, was down 0.4 percent from the latest reading available at the time of our June meeting, although that decline was accompanied by some reduction in the labor force participation rate over the same period.",CHAIR YELLEN.
18,A broader measure of unemployment that includes individuals who want and are available to work but have not actively searched recently and people who are working part time but would rather work full time has continued to improve.,CHAIR YELLEN.
19,"That said, some cyclical weakness likely remains:  While the unemployment rate is close to most FOMC participants’ estimates of the longer-run normal level, the participation rate is still below estimates of its underlying trend, involuntary part-time employment remains elevated, and wage growth remains subdued.",CHAIR YELLEN.
20,"Inflation has continued to run below our 2 percent objective, partly reflecting declines in energy and import prices.",CHAIR YELLEN.
21,My colleagues and I continue to expect that the effects of these factors on inflation will be transitory.,CHAIR YELLEN.
22,"However, the recent additional decline in oil prices and further appreciation of the dollar mean that it will take a bit more time for these effects to fully dissipate.",CHAIR YELLEN.
23,"Accordingly, the Committee anticipates that inflation will remain quite low in the coming months.",CHAIR YELLEN.
24,"As these temporary effects fade and, importantly, as the labor market improves further, we expect inflation to move gradually back toward our 2 percent objective.",CHAIR YELLEN.
25,Survey-based measures of longer-term inflation expectations have remained stable.,CHAIR YELLEN.
26,"However, the Committee has taken note of recent declines in market-based measures of inflation compensation and will continue to monitor inflation developments carefully.",CHAIR YELLEN.
27,"This assessment of the outlook is reflected in the individual economic projections submitted for this meeting by FOMC participants, which now extend through 2018.",CHAIR YELLEN.
28,"As announced in the minutes from our July meeting, we are also introducing a modest enhancement to the Summary of Economic Projections by publishing the median projection across FOMC participants.",CHAIR YELLEN.
29,These medians provide a concise summary statistic of participants’ perspectives.,CHAIR YELLEN.
30,"They should not, however, be interpreted as a collective view or a Committee forecast.",CHAIR YELLEN.
31,"As always, each participant’s projections are conditioned on his or her own view of appropriate monetary policy.",CHAIR YELLEN.
32,"Reflecting upward revisions for the first half of the year, participants increased their projections for economic growth this year, compared with the projections made in conjunction with the June FOMC meeting.",CHAIR YELLEN.
33,"The median growth projection is 2.1 percent for this year and rises to 2.3 percent in 2016, somewhat above the median estimate of the longer-run normal growth rate.",CHAIR YELLEN.
34,"Thereafter, the median growth projection declines toward its longer-run rate.",CHAIR YELLEN.
35,The unemployment rate projections are a bit lower than in June.,CHAIR YELLEN.
36,"At the end of this year, the median unemployment rate projection stands at 5 percent, down 0.3 percent from June and close to the median estimate of the longer-run normal unemployment rate.",CHAIR YELLEN.
37,Committee participants generally see the unemployment rate declining a little further next year and then leveling out.,CHAIR YELLEN.
