Local time,Ask,Bid,AskVolume,BidVolume
21.09.2021 00:00:00.126 GMT+0200,1.17283,1.1727200000000002,0.75,0.37
21.09.2021 00:00:00.177 GMT+0200,1.1729,1.17288,7.5,0.15
21.09.2021 00:00:00.228 GMT+0200,1.1729,1.17278,7.5,0.075
21.09.2021 00:00:00.279 GMT+0200,1.1728200000000002,1.1727200000000002,0.75,0.37
21.09.2021 00:00:00.380 GMT+0200,1.1728200000000002,1.17277,0.75,0.37
21.09.2021 00:00:00.482 GMT+0200,1.17283,1.17277,0.75,0.37
21.09.2021 00:00:00.583 GMT+0200,1.17288,1.1728100000000001,0.37,0.37
21.09.2021 00:00:00.634 GMT+0200,1.1728100000000001,1.17278,0.75,0.19
21.09.2021 00:00:00.685 GMT+0200,1.1728200000000002,1.17269,0.75,0.75
21.09.2021 00:00:00.786 GMT+0200,1.1728200000000002,1.17259,0.75,0.75
21.09.2021 00:00:01.080 GMT+0200,1.1728100000000001,1.17267,0.75,0.75
21.09.2021 00:00:01.181 GMT+0200,1.1728200000000002,1.17276,0.75,0.75
21.09.2021 00:00:01.232 GMT+0200,1.1728200000000002,1.1727,0.75,0.37
21.09.2021 00:00:01.283 GMT+0200,1.17287,1.1727100000000001,0.75,0.75
21.09.2021 00:00:01.383 GMT+0200,1.17287,1.17273,0.75,0.37
21.09.2021 00:00:01.485 GMT+0200,1.17287,1.17278,0.75,0.37
21.09.2021 00:00:01.649 GMT+0200,1.17286,1.17283,0.75,0.37
21.09.2021 00:00:01.750 GMT+0200,1.17287,1.17273,0.75,0.37
21.09.2021 00:00:01.851 GMT+0200,1.17286,1.1727200000000002,0.75,0.75
21.09.2021 00:00:02.181 GMT+0200,1.17287,1.1727200000000002,0.75,0.37
21.09.2021 00:00:02.333 GMT+0200,1.17287,1.1727100000000001,0.75,0.75
21.09.2021 00:00:03.334 GMT+0200,1.17286,1.1727100000000001,0.75,0.75
21.09.2021 00:00:03.435 GMT+0200,1.17287,1.1727100000000001,0.75,0.75
21.09.2021 00:00:03.485 GMT+0200,1.17287,1.1727400000000001,0.75,0.75
21.09.2021 00:00:03.674 GMT+0200,1.1728100000000001,1.1727400000000001,0.75,0.75
21.09.2021 00:00:03.775 GMT+0200,1.1728,1.1727400000000001,0.75,0.75
21.09.2021 00:00:03.876 GMT+0200,1.1728100000000001,1.1727400000000001,0.75,0.75
21.09.2021 00:00:03.977 GMT+0200,1.17286,1.1727400000000001,0.75,0.75
21.09.2021 00:00:04.078 GMT+0200,1.17286,1.17275,0.75,0.75
21.09.2021 00:00:05.152 GMT+0200,1.17285,1.17278,0.75,0.37
21.09.2021 00:00:05.861 GMT+0200,1.1728100000000001,1.17275,0.75,0.75
21.09.2021 00:00:05.962 GMT+0200,1.17286,1.17277,0.75,7.5
21.09.2021 00:00:06.164 GMT+0200,1.17286,1.17276,0.75,7.5
21.09.2021 00:00:06.466 GMT+0200,1.17299,1.17296,0.37,0.37
21.09.2021 00:00:06.517 GMT+0200,1.17306,1.1729200000000002,8.62,0.37
