Local time,Ask,Bid,AskVolume,BidVolume
21.09.2021 00:00:00.086 GMT+0200,163.792,163.74200000000002,0.0135,0.022
21.09.2021 00:02:54.047 GMT+0200,163.823,163.77,0.0135,0.022
21.09.2021 00:03:27.014 GMT+0200,163.853,163.804,0.0135,0.022
21.09.2021 00:07:17.975 GMT+0200,163.85,163.803,0.0135,0.022
21.09.2021 00:14:05.141 GMT+0200,163.886,163.834,0.0135,0.022
21.09.2021 00:14:35.627 GMT+0200,163.85,163.80200000000002,0.0135,0.022
21.09.2021 00:22:01.646 GMT+0200,163.853,163.803,0.0135,0.022
21.09.2021 00:24:12.416 GMT+0200,163.852,163.80200000000002,0.0135,0.022
21.09.2021 00:27:04.820 GMT+0200,163.883,163.839,0.0135,0.022
21.09.2021 00:27:17.382 GMT+0200,163.91,163.868,0.0135,0.022
21.09.2021 00:30:02.264 GMT+0200,163.912,163.868,0.0135,0.022
21.09.2021 00:30:04.429 GMT+0200,163.883,163.834,0.0135,0.022
21.09.2021 00:31:16.965 GMT+0200,163.90200000000002,163.84799999999998,0.0135,0.022
21.09.2021 00:31:17.170 GMT+0200,163.915,163.865,0.0135,0.022
21.09.2021 00:31:20.372 GMT+0200,163.885,163.835,0.0135,0.022
21.09.2021 00:31:34.765 GMT+0200,163.895,163.84799999999998,0.0135,0.022
21.09.2021 00:31:35.419 GMT+0200,163.947,163.89700000000002,0.0135,0.022
21.09.2021 00:32:00.082 GMT+0200,163.93200000000002,163.882,0.0135,0.022
21.09.2021 00:32:00.362 GMT+0200,163.948,163.894,0.0135,0.022
21.09.2021 00:32:02.748 GMT+0200,163.915,163.865,0.0135,0.022
21.09.2021 00:32:02.850 GMT+0200,163.94299999999998,163.896,0.0135,0.022
21.09.2021 00:32:03.200 GMT+0200,163.912,163.865,0.0135,0.022
21.09.2021 00:32:34.677 GMT+0200,163.945,163.89900000000003,0.0135,0.022
21.09.2021 00:33:14.037 GMT+0200,163.933,163.882,0.0135,0.022
21.09.2021 00:33:27.816 GMT+0200,163.915,163.86700000000002,0.0135,0.022
21.09.2021 00:33:28.072 GMT+0200,163.93200000000002,163.87900000000002,0.0135,0.022
21.09.2021 00:33:33.442 GMT+0200,163.94400000000002,163.89700000000002,0.0135,0.022
21.09.2021 00:33:34.500 GMT+0200,163.926,163.88,0.0135,0.022
21.09.2021 00:34:39.947 GMT+0200,163.946,163.898,0.0135,0.022
21.09.2021 00:35:08.615 GMT+0200,163.912,163.863,0.0135,0.022
