,Sentences,Speaker
0,Good afternoon.,CHAIR POWELL.
1,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us—maximum employment and price stability.",CHAIR POWELL.
2,"Since the beginning of the pandemic, we have taken forceful actions to provide relief and stability, to ensure that the recovery will be as strong as possible, and to limit lasting damage to the economy.",CHAIR POWELL.
3,Today my colleagues on the Federal Open Market Committee and I reaffirmed our commitment to support the economy in this challenging time.,CHAIR POWELL.
4,Economic activity has continued to recover from its depressed second-quarter level.,CHAIR POWELL.
5,"The reopening of the economy led to a rapid rebound in activity, and real GDP rose at an annual rate of 33 percent in the third quarter.",CHAIR POWELL.
6,"In recent months, however, the pace of improvement has moderated.",CHAIR POWELL.
7,"Household spending on goods, especially durable goods, has been strong and has moved above its pre-pandemic level.",CHAIR POWELL.
8,"In contrast, spending on services remains low, largely due to ongoing weakness in sectors that typically require people to gather closely, including travel and hospitality.",CHAIR POWELL.
9,"The overall rebound in household spending owes, in part, to federal stimulus payments and expanded unemployment benefits, which provided essential support to many families and individuals.",CHAIR POWELL.
10,"The housing sector has fully recovered from the downturn, supported in part by low mortgage interest rates.",CHAIR POWELL.
11,Business investment has also picked up.,CHAIR POWELL.
12,"Even so, overall economic activity remains well below its level before the pandemic, and the path ahead remains highly uncertain.",CHAIR POWELL.
13,"In the labor market, roughly half of the 22 million jobs that were lost in March and April have been regained, as many people were able to return to work.",CHAIR POWELL.
14,"As with overall economic activity, the pace of improvement in the labor market has moderated.",CHAIR POWELL.
15,The unemployment rate declined over the past five months but remained elevated at 7.9 percent as of September.,CHAIR POWELL.
16,"Although we welcome this progress, we will not lose sight of the millions of Americans who remain out of work.",CHAIR POWELL.
17,"The economic downturn has not fallen equally on all Americans, and those least able to shoulder the burden have been hardest hit.",CHAIR POWELL.
18,"In particular, the high level of joblessness has been especially severe for lower-wage workers in the services sector, for women, and for African Americans and Hispanics.",CHAIR POWELL.
19,The economic dislocation has upended many lives and created great uncertainty about the future.,CHAIR POWELL.
20,The pandemic has also left a significant imprint on inflation.,CHAIR POWELL.
21,"Following large declines in the spring, consumer prices picked up over the summer, in part reflecting a rise in durable goods prices.",CHAIR POWELL.
22,"However, for those sectors that have been most affected by the pandemic, prices remain particularly soft.",CHAIR POWELL.
23,"Overall, on a 12-month basis, inflation remains below our 2 percent longer-run objective.",CHAIR POWELL.
24,"As we have emphasized throughout the pandemic, the outlook for the economy is extraordinarily uncertain and will depend in large part on the success of efforts to keep the virus in check.",CHAIR POWELL.
25,"The recent rise in new COVID-19 cases, both here in the United States and abroad, is particularly concerning.",CHAIR POWELL.
26,All of us have a role to play in our nation’s response to the pandemic.,CHAIR POWELL.
27,Following the advice of public health professionals to keep appropriate social distances and to wear masks in public will help get the economy back to full strength.,CHAIR POWELL.
28,A full economic recovery is unlikely until people are confident that it’s safe to reengage in a broad range of activities.,CHAIR POWELL.
29,"The Federal Reserve’s response to this crisis has been guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",CHAIR POWELL.
