,Unnamed: 0,Sentence,label,score,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us—maximum employment and price stability.",1,0.9797128438949584,2020-12-16 19:30:07.880000+00:00,2020-12-16 19:30:08+00:00,2020-12-16 19:30:30+00:00,1.21367,1.21399,-0.00031999999999987594,3693.436,3693.999,-0.5629999999996471
1,1,Today my colleagues on the FOMC and I reaffirmed our strong forward guidance for interest rates and also provided additional guidance for our asset purchases.,-1,0.5553607940673828,2020-12-16 19:30:30.040000+00:00,2020-12-16 19:30:30+00:00,2020-12-16 19:30:41+00:00,1.21378,1.21369,9.000000000014552e-05,3693.639,3693.451,0.18800000000010186
2,2,"Together, these measures will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete.",-1,0.9990346431732178,2020-12-16 19:30:41.040000+00:00,2020-12-16 19:30:41+00:00,2020-12-16 19:30:51+00:00,1.21382,1.21379,2.999999999997449e-05,3693.942,3693.633,0.30900000000019645
3,3,Economic activity has continued to recover from its depressed second-quarter level.,1,0.7964548468589783,2020-12-16 19:30:51.080000+00:00,2020-12-16 19:30:51+00:00,2020-12-16 19:30:57+00:00,1.21383,1.21388,-5.0000000000105516e-05,3693.642,3694.139,-0.4970000000002983
4,4,"The overall rebound in household spending owes in part to federal stimulus payments and expanded unemployment benefits, which provided essential support to many families and individuals.",-1,0.9984316229820251,2020-12-16 19:30:56.640000+00:00,2020-12-16 19:30:57+00:00,2020-12-16 19:31:07+00:00,1.21383,1.21385,-2.0000000000131024e-05,3694.451,3693.636,0.8150000000000546
5,5,"The housing sector has fully recovered from the downturn, supported in part by low mortgage interest rates.",-1,0.9992295503616332,2020-12-16 19:31:06.560000+00:00,2020-12-16 19:31:07+00:00,2020-12-16 19:31:11+00:00,1.21384,1.21384,0.0,3694.442,3694.442,0.0
6,6,"The recovery has progressed more quickly than generally expected, and forecasts from FOMC participants for economic growth this year have been revised up since our September Summary of Economic Projections.",1,0.998522698879242,2020-12-16 19:31:10.680000+00:00,2020-12-16 19:31:11+00:00,2020-12-16 19:32:01+00:00,1.21398,1.21384,0.000140000000000029,3695.451,3694.654000000001,0.796999999999116
7,7,"Even so, overall economic activity remains well below its level before the pandemic, and the path ahead remains highly uncertain.",-1,0.999147653579712,2020-12-16 19:32:00.680000+00:00,2020-12-16 19:32:01+00:00,2020-12-16 19:32:20+00:00,1.21399,1.21394,4.999999999988347e-05,3696.151,3695.451,0.6999999999998181
8,8,"As with overall economic activity, the pace of improvement in the labor market has moderated.",0,0.9910495281219482,2020-12-16 19:32:20.200000+00:00,2020-12-16 19:32:20+00:00,2020-12-16 19:32:26+00:00,1.21409,1.21399,9.999999999998899e-05,3695.954,3696.142,-0.18799999999964712
9,9,"Job growth slowed to 245,000 in November, and while the unemployment rate has continued to decline, it remains elevated at 6.7 percent.",-1,0.3870109915733337,2020-12-16 19:32:25.760000+00:00,2020-12-16 19:32:26+00:00,2020-12-16 19:32:34+00:00,1.21416,1.21409,7.00000000000145e-05,3695.942,3695.648,0.29399999999986903
10,10,"Looking ahead, FOMC participants project the unemployment rate to continue to decline; the median projection is 5 percent at the end of next year and moves below 4 percent by 2023.",-1,0.9951978325843812,2020-12-16 19:32:34.480000+00:00,2020-12-16 19:32:34+00:00,2020-12-16 19:33:25+00:00,1.21457,1.21422,0.00034999999999985043,3696.448,3695.648,0.7999999999997272
11,11,The pandemic has also left a significant imprint on inflation.,1,0.896306037902832,2020-12-16 19:33:25.320000+00:00,2020-12-16 19:33:25+00:00,2020-12-16 19:33:30+00:00,1.21459,1.21458,1.0000000000065512e-05,3696.139,3696.448,-0.3089999999997417
12,12,"Following large declines in the spring, consumer prices picked up over the summer but have leveled out more recently.",1,0.9973500967025756,2020-12-16 19:33:29.960000+00:00,2020-12-16 19:33:30+00:00,2020-12-16 19:33:37+00:00,1.2148,1.21462,0.000180000000000069,3696.451,3696.142,0.30900000000019645
13,13,"For those sectors that have been most adversely affected by the pandemic, prices remain particularly soft.",0,0.9988338351249696,2020-12-16 19:33:37.320000+00:00,2020-12-16 19:33:37+00:00,2020-12-16 19:33:44+00:00,1.2148,1.21484,-3.999999999981796e-05,3696.139,3696.154000000001,-0.015000000000782165
14,14,"Overall, on a 12-month basis, inflation remains below our 2 percent longer-run objective.",0,0.5135034918785095,2020-12-16 19:33:43.600000+00:00,2020-12-16 19:33:44+00:00,2020-12-16 19:33:50+00:00,1.21487,1.21478,8.999999999992347e-05,3696.199000000001,3696.139,0.060000000000854925
15,15,The median inflation projection from FOMC participants rises from 1.2 percent this year to 1.8 percent next year and reaches 2 percent in 2023.,-1,0.99398934841156,2020-12-16 19:33:50.360000+00:00,2020-12-16 19:33:50+00:00,2020-12-16 19:34:23+00:00,1.21489,1.21483,5.999999999994898e-05,3696.033,3696.139,-0.10600000000022192
16,16,"While a little more than half of participants now judge risks to be broadly balanced for economic activity, a similar number continue to see risks weighted to the downside for inflation.",1,0.9937371015548706,2020-12-16 19:34:22.560000+00:00,2020-12-16 19:34:23+00:00,2020-12-16 19:34:40+00:00,1.21488,1.21488,0.0,3696.433,3695.948,0.48500000000012733
17,17,"The Fed’s response to this crisis has been guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",-1,0.9988821148872375,2020-12-16 19:34:40+00:00,2020-12-16 19:34:40+00:00,2020-12-16 19:35:59+00:00,1.21489,1.21496,-7.00000000000145e-05,3700.433,3696.639,3.793999999999869
18,18,"As noted in our Statement on Longer-Run Goals and Monetary Policy Strategy, we view maximum employment as a broad-based and inclusive goal.",1,0.5631232261657715,2020-12-16 19:35:58.880000+00:00,2020-12-16 19:35:59+00:00,2020-12-16 19:36:08+00:00,1.2148,1.21475,5.0000000000105516e-05,3701.045,3700.133,0.9120000000002619
19,19,Our ability to achieve maximum employment in the years ahead depends importantly on having longer-term inflation expectations well anchored at 2 percent.,0,0.8691788911819458,2020-12-16 19:36:07.720000+00:00,2020-12-16 19:36:08+00:00,2020-12-16 19:36:16+00:00,1.21475,1.2148100000000002,-6.000000000017103e-05,3700.942,3701.139,-0.19700000000011642
20,20,"As we reiterated in today’s statement, with inflation running persistently below 2 percent, we will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and December 16, 2020 longer-term inflation expectations remain well anchored at 2 percent.",1,0.993327021598816,2020-12-16 19:36:16.120000+00:00,2020-12-16 19:36:16+00:00,2020-12-16 19:36:32+00:00,1.21477,1.21477,0.0,3701.133,3700.642,0.49099999999998545
21,21,We expect to maintain an Chair Powell’s Press Conference FINAL accommodative stance of monetary policy until these employment and inflation outcomes are achieved.,-1,0.9989774227142334,2020-12-16 19:36:32.360000+00:00,2020-12-16 19:36:32+00:00,2020-12-16 19:36:39+00:00,1.21469,1.21476,-7.00000000000145e-05,3701.433,3701.133,0.3000000000001819
22,22,"With regard to interest rates, we continue to expect it will be appropriate to maintain the current 0 to ¼ percent target range for the federal funds rate until labor market conditions have reached levels consistent with the Committee’s assessment of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.",-1,0.9958145022392272,2020-12-16 19:36:39.280000+00:00,2020-12-16 19:36:39+00:00,2020-12-16 19:36:58+00:00,1.21488,1.21476,0.00011999999999989797,3701.999,3701.433,0.5659999999998035
