,Unnamed: 0,Sentence,label,score,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us: maximum employment and price stability.",1,0.978979468345642,2021-01-27 19:30:05.600000+00:00,2021-01-27 19:30:06+00:00,2021-01-27 19:30:30+00:00,1.21069,1.2108,-0.0001100000000000545,3769.939,3770.433,-0.4940000000001419
1,1,Today my colleagues on the FOMC and I kept interest rates near zero and maintained our sizable asset purchases.,-1,0.994732141494751,2021-01-27 19:30:29.680000+00:00,2021-01-27 19:30:30+00:00,2021-01-27 19:30:38+00:00,1.21063,1.21066,-2.999999999997449e-05,3768.939,3768.799,0.13999999999987267
2,2,"These measures, along with our strong guidance on interest rates and our balance sheet, will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete.",-1,0.9977419376373292,2021-01-27 19:30:37.560000+00:00,2021-01-27 19:30:38+00:00,2021-01-27 19:30:57+00:00,1.2107200000000002,1.21066,6.000000000017103e-05,3770.436,3769.948,0.48800000000028376
3,3,"A resurgence in recent months in COVID-19 cases, hospitalizations, and deaths is causing great hardship for millions of Americans and is weighing on economic activity and job creation.",-1,0.9930551648139954,2021-01-27 19:30:56.560000+00:00,2021-01-27 19:30:57+00:00,2021-01-27 19:31:10+00:00,1.21073,1.2107200000000002,9.999999999843467e-06,3771.439,3770.736,0.7029999999999745
4,4,"Following a sharp rebound in economic activity last summer, the pace of the recovery has moderated in recent months, with the weakness concentrated in the sectors of the economy most adversely affected by the resurgence of the virus and by greater social distancing.",-1,0.9986875653266908,2021-01-27 19:31:10.200000+00:00,2021-01-27 19:31:10+00:00,2021-01-27 19:31:42+00:00,1.21066,1.21074,-7.999999999985796e-05,3768.742,3770.936,-2.19399999999996
5,5,"In contrast, the housing sector has more than fully recovered from the downturn, supported in part by low mortgage interest rates.",-1,0.999032735824585,2021-01-27 19:31:42.280000+00:00,2021-01-27 19:31:42+00:00,2021-01-27 19:31:50+00:00,1.21068,1.21068,0.0,3768.445,3768.439,0.006000000000312866
6,6,"The overall recovery in economic activity since last spring is due in part to federal stimulus payments and expanded unemployment benefits, which have provided essential support to many families and individuals.",-1,0.9991833567619324,2021-01-27 19:31:50.120000+00:00,2021-01-27 19:31:50+00:00,2021-01-27 19:32:09+00:00,1.21042,1.21062,-0.00019999999999997797,3763.748,3768.239000000001,-4.491000000000895
7,7,"Overall economic activity remains below its level before the pandemic, and the path ahead remains highly uncertain.",-1,0.9987571239471436,2021-01-27 19:32:08.800000+00:00,2021-01-27 19:32:09+00:00,2021-01-27 19:32:11+00:00,1.21043,1.21043,0.0,3763.251,3763.251,0.0
8,8,"As with overall economic activity, the pace of improvement in the labor market has slowed in recent months.",0,0.990013599395752,2021-01-27 19:32:10.920000+00:00,2021-01-27 19:32:11+00:00,2021-01-27 19:32:24+00:00,1.21062,1.21048,0.000140000000000029,3764.499,3763.736,0.76299999999992
9,9,"Employment fell by 140,000 in December, as continued gains in many industries were outweighed by significant losses in industries where the resurgence of the virus has weighed further on activity.",-1,0.9920177459716796,2021-01-27 19:32:24.240000+00:00,2021-01-27 19:32:24+00:00,2021-01-27 19:32:51+00:00,1.21041,1.21062,-0.00021000000000004349,3762.948,3764.445,-1.4970000000002983
10,10,"The unemployment rate remained elevated at 6.7 percent in December, and participation in the labor market is notably below pre-pandemic levels.",-1,0.9982684850692748,2021-01-27 19:32:51.320000+00:00,2021-01-27 19:32:51+00:00,2021-01-27 19:33:36+00:00,1.21052,1.21045,7.00000000000145e-05,3760.239000000001,3763.251,-3.0119999999992615
11,11,The pandemic has also left a significant imprint on inflation.,1,0.9973500967025756,2021-01-27 19:33:35.640000+00:00,2021-01-27 19:33:36+00:00,2021-01-27 19:33:40+00:00,1.21052,1.21052,0.0,3760.454,3760.251,0.20299999999997453
12,12,"Following large declines in the spring, consumer prices picked up over the summer but have leveled out more recently.",0,0.9988338351249696,2021-01-27 19:33:39.880000+00:00,2021-01-27 19:33:40+00:00,2021-01-27 19:33:47+00:00,1.21065,1.21052,0.00012999999999996348,3762.745,3761.251,1.4939999999996871
13,13,"For those sectors that have been most adversely affected by the pandemic, prices remain particularly soft.",0,0.5135034918785095,2021-01-27 19:33:46.520000+00:00,2021-01-27 19:33:47+00:00,2021-01-27 19:33:53+00:00,1.21055,1.21063,-8.000000000008001e-05,3760.742,3762.24,-1.4979999999995925
14,14,"Overall, on a 12-month basis, inflation remains below our 2 percent longer-run objective.",-1,0.99398934841156,2021-01-27 19:33:53.320000+00:00,2021-01-27 19:33:53+00:00,2021-01-27 19:34:44+00:00,1.2105,1.21052,-2.0000000000131024e-05,3761.233,3760.448,0.7850000000003092
15,15,"Finally, monetary policy is playing a key role in supporting the recovery and will continue to do so.",-1,0.993035614490509,2021-01-27 19:34:44.320000+00:00,2021-01-27 19:34:44+00:00,2021-01-27 19:34:53+00:00,1.2106,1.21055,4.999999999988347e-05,3760.442,3761.233,-0.7910000000001673
16,16,"The Fed’s response to this crisis has been guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",1,0.5631232261657715,2021-01-27 19:34:53.120000+00:00,2021-01-27 19:34:53+00:00,2021-01-27 19:35:04+00:00,1.2107,1.21056,0.000140000000000029,3760.945,3760.748,0.19700000000011642
17,17,"Today we unanimously reaffirmed our Statement on Longer-Run Goals and Monetary Policy Strategy, as we typically do each January.",0,0.9997875094413756,2021-01-27 19:35:03.960000+00:00,2021-01-27 19:35:04+00:00,2021-01-27 19:35:14+00:00,1.21062,1.21065,-2.999999999997449e-05,3760.251,3761.239000000001,-0.9880000000007385
18,18,"As we say in that statement, we view maximum employment as a “broad-based and inclusive goal.” Our ability to achieve maximum employment in the years ahead depends importantly on having longer-term inflation expectations well anchored at 2 percent.",1,0.9947167038917542,2021-01-27 19:35:13.920000+00:00,2021-01-27 19:35:14+00:00,2021-01-27 19:35:30+00:00,1.21059,1.21063,-4.0000000000040004e-05,3759.754,3760.754,-1.0
19,19,"As the Committee reiterated in today’s policy statement, with inflation running persistently below 2 percent, we will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer-term inflation expectations remain well anchored at 2 percent.",-1,0.9986968636512756,2021-01-27 19:35:29.920000+00:00,2021-01-27 19:35:30+00:00,2021-01-27 19:35:49+00:00,1.21044,1.21059,-0.0001500000000000945,3758.442,3759.239000000001,-0.797000000000935
20,20,We expect to maintain an accommodative stance of monetary policy until these employment and inflation outcomes are achieved.,-1,0.9987303614616394,2021-01-27 19:35:49.440000+00:00,2021-01-27 19:35:49+00:00,2021-01-27 19:35:57+00:00,1.2103700000000002,1.21032,5.0000000000105516e-05,3757.933,3758.299,-0.36599999999998545
