,Unnamed: 0,Sentence,label,score,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0,"In recent months, economic activity picked up as the economy began to reopen.",1,0.7246224284172058,2020-07-29 18:30:04.120000+00:00,2020-07-29 18:30:04+00:00,2020-07-29 18:30:25+00:00,1.17846,1.17853,-7.00000000000145e-05,3251.846,3251.837,0.009000000000014552
1,1,"The recovery in household spending also likely owes to federal stimulus payments and expanded unemployment benefits, which provided substantial and timely support to household incomes.",-1,0.995824694633484,2020-07-29 18:30:25.480000+00:00,2020-07-29 18:30:25+00:00,2020-07-29 18:30:47+00:00,1.1787,1.17847,0.0002300000000001745,3252.637,3251.846,0.7910000000001673
2,2,"After precipitous drops in March and April, employment rose strongly in May and June as many people returned to work from temporary layoffs.",1,0.9984670281410216,2020-07-29 18:30:47+00:00,2020-07-29 18:30:47+00:00,2020-07-29 18:31:32+00:00,1.17874,1.17869,4.999999999988347e-05,3255.137,3252.637,2.5
3,3,"The unemployment rate declined in May and , 2020 June but, at 11.1 percent, remains far above its level before the outbreak and greater than the Chair Powell’s Press Conference FINAL peak during the Global Financial Crisis.",-1,0.9861600995063782,2020-07-29 18:31:31.600000+00:00,2020-07-29 18:31:32+00:00,2020-07-29 18:31:46+00:00,1.17893,1.17874,0.0001900000000001345,3255.1490000000003,3255.137,0.012000000000170985
4,4,The pandemic has also left a significant imprint on inflation.,1,0.9973500967025756,2020-07-29 18:31:45.720000+00:00,2020-07-29 18:31:46+00:00,2020-07-29 18:32:18+00:00,1.1793600000000002,1.17896,0.000400000000000178,3255.843,3254.846,0.9969999999998436
5,5,"For some goods, including food, supply constraints have led to notably higher prices, adding to the burden for those struggling with lost income.",1,0.9990835189819336,2020-07-29 18:32:17.800000+00:00,2020-07-29 18:32:18+00:00,2020-07-29 18:32:25+00:00,1.17931,1.17937,-5.999999999994898e-05,3256.146,3256.2000000000003,-0.05400000000008731
6,6,"More broadly, however, weaker demand, especially in sectors—such as travel and hospitality—that have been most affected by the pandemic, has held down consumer prices, and, overall, inflation is running well below our symmetric 2 percent objective.",-1,0.99580717086792,2020-07-29 18:32:25.480000+00:00,2020-07-29 18:32:25+00:00,2020-07-29 18:33:11+00:00,1.1792600000000002,1.17941,-0.00014999999999987246,3254.849,3255.855,-1.0059999999998581
7,7,Along with the recent increases in economic activity have come new challenges.,1,0.5471495985984802,2020-07-29 18:33:11+00:00,2020-07-29 18:33:11+00:00,2020-07-29 18:33:26+00:00,1.1790200000000002,1.1792600000000002,-0.00024000000000001798,3254.6340000000005,3255.155,-0.5209999999997308
8,8,"Indeed, we have seen some signs in recent weeks that the increase in virus cases and the renewed measures to control it are starting to weigh on economic activity.",-1,0.9668461084365844,2020-07-29 18:33:26.040000+00:00,2020-07-29 18:33:26+00:00,2020-07-29 18:33:47+00:00,1.1794,1.1790200000000002,0.0003799999999998249,3254.9,3254.6340000000005,0.26599999999962165
9,9,"For example, some measures of consumer spending based on debit card and credit card use have moved down since late June, while recent labor market indicators point to a slowing in job growth, especially among smaller businesses.",-1,0.9993929862976074,2020-07-29 18:33:46.680000+00:00,2020-07-29 18:33:47+00:00,2020-07-29 18:34:18+00:00,1.1794600000000002,1.1794,6.000000000017103e-05,3255.652,3254.9,0.7519999999999527
