,Unnamed: 0,Sentence,label,score,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0,The Committee maintained its forward guidance regarding the federal funds rate target and reaffirmed its view that a highly accommodative stance of monetary policy remains appropriate.,-1,0.9939770698547364,2014-06-18 18:30:03.640000+00:00,2014-06-18 18:30:04+00:00,2014-06-18 18:30:28+00:00,1.35699,1.3568700000000002,0.00011999999999967592,1948.669,1948.669,0.0
1,1,Today’s policy actions reflect the Committee’s assessment that the economy is continuing to make progress toward our objectives of maximum employment and price stability.,1,0.8950796127319336,2014-06-18 18:30:28.360000+00:00,2014-06-18 18:30:28+00:00,2014-06-18 18:30:53+00:00,1.3570600000000002,1.35691,0.0001500000000000945,1948.66,1948.669,-0.009000000000014552
2,2,"The unemployment rate, at 6.3 percent, is four-tenths lower than at the time of our March meeting, and the broader U-6 measure—which includes marginally attached workers and those working part time but preferring full-time work—has fallen by a similar amount.",0,0.601379930973053,2014-06-18 18:30:53.200000+00:00,2014-06-18 18:30:53+00:00,2014-06-18 18:31:05+00:00,1.35715,1.35694,0.00021000000000004349,1949.48,1948.66,0.8199999999999363
3,3,"Even given these declines, however, unemployment remains elevated, and a broader assessment of indicators suggests that underutilization in the labor market remains significant.",-1,0.9982306361198424,2014-06-18 18:31:05.480000+00:00,2014-06-18 18:31:05+00:00,2014-06-18 18:31:30+00:00,1.35668,1.35715,-0.00046999999999997044,1950.183,1949.474,0.70900000000006
4,4,"Private domestic final demand—that is, spending by domestic households and businesses—continued to expand in the first quarter, and the limited set of indicators of spending and production in the second quarter have picked up.",1,0.889733076095581,2014-06-18 18:31:30.120000+00:00,2014-06-18 18:31:30+00:00,2014-06-18 18:31:53+00:00,1.35695,1.3569600000000002,-1.0000000000065512e-05,1950.485,1950.183,0.30199999999990723
5,5,The Committee thus believes that economic activity is rebounding in the current quarter and will continue to expand at a moderate pace thereafter.,1,0.995844542980194,2014-06-18 18:31:53.240000+00:00,2014-06-18 18:31:53+00:00,2014-06-18 18:32:10+00:00,1.35755,1.35698,0.0005699999999999594,1950.661,1950.485,0.17600000000015825
6,6,"Inflation has continued to run below the Committee’s 2 percent objective, and the Committee remains mindful that inflation running persistently below its objective could pose June 18, 2014 risks to economic performance.",-1,0.9991650581359864,2014-06-18 18:32:10.280000+00:00,2014-06-18 18:32:10+00:00,2014-06-18 18:32:21+00:00,1.35749,1.35753,-3.999999999981796e-05,1950.661,1950.661,0.0
7,7,"Given that longer-term inflation expectations appear to be well Chair Yellen’s Press Conference FINAL anchored, and in light of the ongoing recovery in the United States and in many economies around the world, the Committee continues to expect inflation to move gradually back toward its objective.",1,0.5506083369255066,2014-06-18 18:32:20.760000+00:00,2014-06-18 18:32:21+00:00,2014-06-18 18:32:32+00:00,1.35748,1.3575700000000002,-9.000000000014552e-05,1950.964,1950.661,0.3029999999998836
8,8,The Committee will continue to assess incoming data carefully to ensure that policy is consistent with attaining the FOMC’s longer-run objectives of maximum employment and inflation of 2 percent.,1,0.5448501706123352,2014-06-18 18:32:31.680000+00:00,2014-06-18 18:32:32+00:00,2014-06-18 18:33:30+00:00,1.3582,1.35758,0.0006200000000000649,1950.187,1950.964,-0.7770000000000437
9,9,"As always, each participant’s projections are conditioned on his or her own views of appropriate monetary policy.",0,0.9997863173484802,2014-06-18 18:33:29.520000+00:00,2014-06-18 18:33:30+00:00,2014-06-18 18:33:39+00:00,1.35826,1.3583500000000002,-9.000000000014552e-05,1950.187,1950.187,0.0
10,10,The central tendency of the unemployment rate projections is slightly lower than in the March projections and now stands at 6.0 to 6.1 percent at the end of this year.,-1,0.9979099631309508,2014-06-18 18:33:39.080000+00:00,2014-06-18 18:33:39+00:00,2014-06-18 18:33:53+00:00,1.35774,1.3581100000000002,-0.0003700000000002035,1949.489,1949.976,-0.48700000000008004
11,11,"From there, Committee participants generally see the unemployment rate declining to its longer-run normal level by the end of 2016.",1,0.7844147086143494,2014-06-18 18:33:53.160000+00:00,2014-06-18 18:33:53+00:00,2014-06-18 18:34:04+00:00,1.3580100000000002,1.35782,0.0001900000000001345,1949.466,1949.461,0.004999999999881766
12,12,"The central tendency of the projections for real GDP growth is 2.1 to 2.3 percent for 2014, down notably from the March projections, largely because of the unexpected contraction in the first quarter.",-1,0.9783121347427368,2014-06-18 18:34:03.640000+00:00,2014-06-18 18:34:04+00:00,2014-06-18 18:34:23+00:00,1.35769,1.35795,-0.00025999999999992696,1949.47,1949.466,0.004000000000132786
13,13,"Over the next two years, the projections for real GDP growth remain somewhat above the estimates of longer-run normal growth.",1,0.972038209438324,2014-06-18 18:34:22.520000+00:00,2014-06-18 18:34:23+00:00,2014-06-18 18:34:33+00:00,1.35786,1.35775,0.0001100000000000545,1949.159,1948.99,0.1690000000000964
14,14,"Finally, FOMC participants continue to see inflation moving only gradually back toward 2 percent over time as the economy expands.",0,0.9970211386680604,2014-06-18 18:34:32.520000+00:00,2014-06-18 18:34:33+00:00,2014-06-18 18:34:45+00:00,1.35826,1.3581100000000002,0.00014999999999987246,1949.178,1949.159,0.019000000000005457
15,15,"The central tendency of the inflation projections is 1.5 to 1.7 percent in 2014, rising to 1.6 to 2 percent in 2016.",0,0.8793525099754333,2014-06-18 18:34:45.440000+00:00,2014-06-18 18:34:45+00:00,2014-06-18 18:35:00+00:00,1.35821,1.35818,2.999999999997449e-05,1949.177,1949.463,-0.2860000000000582
16,16,"These sizable and still-increasing holdings will continue to put downward pressure on longer-term interest rates, support mortgage markets, and make financial conditions more accommodative, helping to support job creation and a return of inflation to the Committee’s objective.",-1,0.9976227879524232,2014-06-18 18:34:59.880000+00:00,2014-06-18 18:35:00+00:00,2014-06-18 18:35:20+00:00,1.35827,1.35819,8.000000000008001e-05,1949.198,1949.177,0.021000000000185537
17,17,"If incoming information broadly supports the Committee’s expectation of ongoing improvement in labor markets and inflation moving back over time toward its longer-run objective, the Committee will likely continue to reduce the pace of asset purchases in measured steps at future meetings.",-1,0.982474148273468,2014-06-18 18:35:20+00:00,2014-06-18 18:35:20+00:00,2014-06-18 18:35:43+00:00,1.35815,1.35831,-0.00015999999999993797,1949.68,1949.198,0.4819999999999709
18,18,"However, as I have emphasized before, purchases are not on a preset course, and the Committee’s decisions about the pace of purchases remain contingent on its outlook for jobs and inflation as well as its assessment of the likely efficacy and costs of such purchases.",0,0.9993446469306946,2014-06-18 18:35:43.360000+00:00,2014-06-18 18:35:43+00:00,2014-06-18 18:36:56+00:00,1.35826,1.35816,9.999999999998899e-05,1949.669,1949.68,-0.010999999999967258
19,19,Let me now turn to the framework we will be applying as we consider interest rate policy.,0,0.9998353719711304,2014-06-18 18:36:56.080000+00:00,2014-06-18 18:36:56+00:00,2014-06-18 18:37:02+00:00,1.35798,1.35816,-0.000180000000000069,1949.958,1949.669,0.28899999999998727
20,20,"In determining how long to maintain the current 0 to ¼ percent target range for the federal funds rate, the Committee will assess progress—both realized and expected—toward its objectives of maximum employment and 2 percent inflation.",0,0.99964702129364,2014-06-18 18:37:02.320000+00:00,2014-06-18 18:37:02+00:00,2014-06-18 18:37:21+00:00,1.3580100000000002,1.35806,-4.999999999988347e-05,1949.695,1949.958,-0.26300000000014734
