,Unnamed: 0,Sentence,label,score,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0,"Moreover, even after the initial increase in the target funds rate, our policy is likely to remain highly accommodative to support continued progress toward our objectives of maximum employment and 2 percent inflation.",-1,0.9935585856437684,2015-03-18 18:30:21.960000+00:00,2015-03-18 18:30:22+00:00,2015-03-18 18:31:14+00:00,1.07698,1.07584,0.001140000000000141,2092.294,2093.022,-0.7280000000000655
1,1,We have seen continued progress toward our objective of maximum employment.,1,0.9978919625282288,2015-03-18 18:31:13.600000+00:00,2015-03-18 18:31:14+00:00,2015-03-18 18:32:13+00:00,1.07833,1.07716,0.0011700000000001154,2094.268,2092.173,2.0950000000002547
2,2,"The pace of employment growth has remained strong, with job gains averaging nearly 290,000 per month over the past three months.",1,0.9980314373970032,2015-03-18 18:32:13.400000+00:00,2015-03-18 18:32:13+00:00,2015-03-18 18:32:25+00:00,1.07806,1.07851,-0.00045000000000006146,2095.488,2093.976,1.5119999999997162
3,3,The unemployment rate was 5.5 percent in February; that’s three-tenths lower than the latest reading available at the time of our December meeting.,0,0.964296579360962,2015-03-18 18:32:24.720000+00:00,2015-03-18 18:32:25+00:00,2015-03-18 18:32:37+00:00,1.07779,1.0787,-0.0009099999999999664,2095.193,2094.991,0.20200000000022555
4,4,Broader measures of job market conditions—such as those counting individuals who want and are available to work but have not actively searched recently and people who are working part time but would rather work full time—have shown similar improvement.,0,0.999561607837677,2015-03-18 18:32:36.720000+00:00,2015-03-18 18:32:37+00:00,2015-03-18 18:33:04+00:00,1.07854,1.07796,0.0005800000000000249,2096.492,2095.994,0.4980000000000473
5,5,"Meanwhile, the labor force Chair Yellen’s Press Conference FINAL participation rate—the percentage of working-age Americans either working or seeking work—is lower than most estimates of its trend, and wage growth remains sluggish, suggesting that some cyclical weakness persists.",-1,0.9950809478759766,2015-03-18 18:33:04.240000+00:00,2015-03-18 18:33:04+00:00,2015-03-18 18:33:23+00:00,1.0784600000000002,1.07843,3.0000000000196536e-05,2097.479,2096.789,0.6899999999995998
6,6,We continue to expect sufficient underlying strength in economic growth to support ongoing improvement in the labor market.,0,0.987312078475952,2015-03-18 18:33:23.400000+00:00,2015-03-18 18:33:23+00:00,2015-03-18 18:33:33+00:00,1.07779,1.07849,-0.0006999999999999229,2097.993,2097.492,0.500999999999749
7,7,"After averaging about 2½ percent over 2014, growth of real gross domestic product appears to have slowed in the first quarter of this year, in part reflecting a moderation in household spending.",-1,0.7475379705429077,2015-03-18 18:33:33.200000+00:00,2015-03-18 18:33:33+00:00,2015-03-18 18:34:00+00:00,1.07659,1.0777200000000002,-0.0011300000000002974,2096.479,2097.986,-1.5070000000000618
8,8,"In addition, the recovery in the housing sector remains subdued, and export growth looks to have weakened.",-1,0.9505050182342528,2015-03-18 18:33:59.760000+00:00,2015-03-18 18:34:00+00:00,2015-03-18 18:34:09+00:00,1.07681,1.0767600000000002,4.999999999988347e-05,2096.0,2096.791,-0.7910000000001673
9,9,"Looking ahead, however, the Committee continues to expect a moderate pace of GDP growth, with robust job gains and lower energy prices supporting household spending.",1,0.9971413016319276,2015-03-18 18:34:09.240000+00:00,2015-03-18 18:34:09+00:00,2015-03-18 18:34:23+00:00,1.0779200000000002,1.07682,0.001100000000000101,2096.474,2096.982,-0.5079999999998108
