,Unnamed: 0,Sentence,label,score,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0,We do this by steadfastly pursuing the goals that Congress has given us: maximum employment and stable prices.,1,0.9905824661254884,2019-10-30 18:30:00+00:00,2019-10-30 18:30:00+00:00,2019-10-30 18:30:24+00:00,1.11189,1.11166,0.00022999999999995246,3035.37,3035.37,0.0
1,1,Today we decided to lower the interest rates for the third time this year.,-1,0.989051878452301,2019-10-30 18:30:23.760000+00:00,2019-10-30 18:30:24+00:00,2019-10-30 18:30:52+00:00,1.11172,1.11186,-0.000140000000000029,3035.37,3035.6690000000003,-0.2990000000004329
2,2,We believe that monetary policy is in a good place.,0,0.9990253448486328,2019-10-30 18:30:52.320000+00:00,2019-10-30 18:30:52+00:00,2019-10-30 18:31:08+00:00,1.11163,1.11174,-0.0001100000000000545,3034.67,3035.67,-1.0
3,3,"Household spending continues to be strong, supported by a healthy job market, rising incomes, and solid consumer confidence.",1,0.9982256293296814,2019-10-30 18:31:08.160000+00:00,2019-10-30 18:31:08+00:00,2019-10-30 18:31:24+00:00,1.11144,1.11168,-0.00024000000000001798,3033.67,3034.87,-1.199999999999818
4,4,Sluggish growth abroad and trade developments have been weighing on those sectors.,-1,0.96799635887146,2019-10-30 18:31:23.800000+00:00,2019-10-30 18:31:24+00:00,2019-10-30 18:31:38+00:00,1.11141,1.11136,5.0000000000105516e-05,3033.67,3033.67,0.0
5,5,The job market remains strong.,1,0.6119951009750366,2019-10-30 18:31:37.920000+00:00,2019-10-30 18:31:38+00:00,2019-10-30 18:31:40+00:00,1.11144,1.11144,0.0,3033.67,3033.67,0.0
6,6,The unemployment rate has been near half-century lows for a year and a half.,0,0.9272739887237548,2019-10-30 18:31:39.960000+00:00,2019-10-30 18:31:40+00:00,2019-10-30 18:31:44+00:00,1.1114,1.11138,1.999999999990898e-05,3033.369,3033.67,-0.3009999999999309
7,7,This underscores for us the importance of sustaining the expansion so that Chair Powell’s Press Conference FINAL the strong job market reaches more of those left behind.,1,0.9873512387275696,2019-10-30 18:31:44.440000+00:00,2019-10-30 18:31:44+00:00,2019-10-30 18:32:23+00:00,1.1115700000000002,1.11142,0.0001500000000000945,3034.37,3033.67,0.6999999999998181
8,8,Inflation continues to run below our symmetric 2 percent objective.,-1,0.9876574277877808,2019-10-30 18:32:22.560000+00:00,2019-10-30 18:32:23+00:00,2019-10-30 18:32:27+00:00,1.11156,1.11156,0.0,3034.37,3034.37,0.0
9,9,"Over the 12 months through August, total PCE inflation was 1.4 percent and core inflation was 1.8 percent.",1,0.9259024858474731,2019-10-30 18:32:27.440000+00:00,2019-10-30 18:32:27+00:00,2019-10-30 18:32:37+00:00,1.11144,1.11154,-9.999999999998899e-05,3034.67,3034.67,0.0
10,10,"Inflation pressures remain muted, and indicators of longer-term inflation expectations are at the lower end of their historic ranges.",-1,0.9830758571624756,2019-10-30 18:32:36.680000+00:00,2019-10-30 18:32:37+00:00,2019-10-30 18:32:46+00:00,1.11153,1.11146,7.00000000000145e-05,3034.67,3034.67,0.0
11,11,We’re mindful that continued below-target inflation could lead to an unwelcome downward slide in long-term inflation expectations.,-1,0.9954599738121032,2019-10-30 18:32:46.120000+00:00,2019-10-30 18:32:46+00:00,2019-10-30 18:32:54+00:00,1.11148,1.11151,-2.999999999997449e-05,3034.17,3034.37,-0.1999999999998181
12,12,"However, against the backdrop of a strong economy and supportive monetary policy, we expect inflation will rise to 2 percent.",-1,0.9457160234451294,2019-10-30 18:32:53.800000+00:00,2019-10-30 18:32:54+00:00,2019-10-30 18:33:04+00:00,1.11135,1.11143,-7.999999999985796e-05,3034.17,3034.17,0.0
13,13,"Overall, we continue to see sustained expansion of economic activity, a strong labor market, and inflation near our symmetric 2 percent objective as most likely.",1,0.840592086315155,2019-10-30 18:33:03.520000+00:00,2019-10-30 18:33:04+00:00,2019-10-30 18:33:14+00:00,1.11139,1.11136,3.0000000000196536e-05,3033.67,3033.67,0.0
14,14,"While this has been our outlook for quite some time, our views about the path of interest rates that will best achieve these outcomes have changed significantly over the past year.",0,0.9997923970222472,2019-10-30 18:33:14.240000+00:00,2019-10-30 18:33:14+00:00,2019-10-30 18:33:24+00:00,1.11153,1.1114,0.00012999999999996348,3033.17,3033.67,-0.5
15,15,"As I mentioned, weakness in global growth and trade developments have weighed on the economy and pose ongoing risks.",-1,0.9986255168914796,2019-10-30 18:33:24.120000+00:00,2019-10-30 18:33:24+00:00,2019-10-30 18:33:31+00:00,1.11151,1.1115000000000002,9.999999999843467e-06,3032.67,3032.87,-0.1999999999998181
16,16,"These factors, in conjunction with muted inflation pressures, have led us to lower our assessment of the appropriate level of the federal funds rate over the past year.",-1,0.9983428716659546,2019-10-30 18:33:31.200000+00:00,2019-10-30 18:33:31+00:00,2019-10-30 18:33:53+00:00,1.11144,1.11145,-1.0000000000065512e-05,3032.87,3032.67,0.1999999999998181
17,17,"Since monetary policy operates with a lag, the full effects of these adjustments on economic growth, the job market, and inflation will be realized over time.",0,0.9995532631874084,2019-10-30 18:33:52.760000+00:00,2019-10-30 18:33:53+00:00,2019-10-30 18:33:59+00:00,1.1113700000000002,1.1114,-2.9999999999752447e-05,3033.17,3032.869,0.3009999999999309
18,18,"We see the current stance of monetary policy as likely to remain appropriate as long as incoming information about the economy remains broadly consistent with our outlook of moderate economic growth, a strong labor market, and inflation near our symmetric 2 percent objective.",0,0.9992696642875672,2019-10-30 18:33:59.120000+00:00,2019-10-30 18:33:59+00:00,2019-10-30 18:34:29+00:00,1.11098,1.1113700000000002,-0.0003900000000001125,3032.369,3033.17,-0.8009999999999309
19,19,"We believe monetary policy October 30, 2019 is in a good place to achieve these outcomes.",0,0.9996734857559204,2019-10-30 18:34:29.200000+00:00,2019-10-30 18:34:29+00:00,2019-10-30 18:34:50+00:00,1.11065,1.1109700000000002,-0.00032000000000032003,3031.67,3032.37,-0.6999999999998181
20,20,Let me end with a few words about our technical monetary policy operations.,0,0.9998169541358948,2019-10-30 18:34:50.200000+00:00,2019-10-30 18:34:50+00:00,2019-10-30 18:35:01+00:00,1.11058,1.11054,3.999999999981796e-05,3031.37,3031.67,-0.3000000000001819
21,21,"In January, we made the key decision to continue to implement monetary policy in an ample-reserves regime.",-1,0.8838062286376953,2019-10-30 18:35:01.120000+00:00,2019-10-30 18:35:01+00:00,2019-10-30 18:35:18+00:00,1.11049,1.11054,-5.0000000000105516e-05,3032.17,3031.37,0.8000000000001819
22,22,These actions are purely technical measures to support the effective implementation of monetary policy as we continue to learn about the appropriate level of reserves.,0,0.9997839331626892,2019-10-30 18:35:18.280000+00:00,2019-10-30 18:35:18+00:00,2019-10-30 18:36:07+00:00,1.11008,1.11046,-0.00038000000000004697,3033.37,3032.17,1.199999999999818
