,Start Time,End Time,Sentence,Speaker,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0.000,5.240,Good afternoon.,CHAIR POWELL.,2020-04-29 18:30:00+00:00,2020-04-29 18:30:00+00:00,2020-04-29 18:30:05+00:00,1.08785,1.08778,7.00000000000145e-05,2941.555,2940.843,0.7119999999999891
1,5.240,8.840,Thanks for joining us today.,CHAIR POWELL.,2020-04-29 18:30:05.240000+00:00,2020-04-29 18:30:05+00:00,2020-04-29 18:30:09+00:00,1.08787,1.0879100000000002,-4.000000000026205e-05,2942.055,2941.6,0.45499999999992724
2,8.840,17.760,I would like to begin by acknowledging the tragic loss and tremendous hardship that people are experiencing both here in the United States and around the world.,CHAIR POWELL.,2020-04-29 18:30:08.840000+00:00,2020-04-29 18:30:09+00:00,2020-04-29 18:30:18+00:00,1.08777,1.08787,-9.999999999998899e-05,2940.843,2942.052,-1.2090000000002874
3,17.760,28.840,"The coronavirus outbreak is first and foremost a public health crisis, and the most important response is coming from those in the front lines in hospitals, emergency services, and care facilities.",CHAIR POWELL.,2020-04-29 18:30:17.760000+00:00,2020-04-29 18:30:18+00:00,2020-04-29 18:30:29+00:00,1.0877,1.08777,-7.00000000000145e-05,2940.0370000000003,2940.82,-0.7829999999999018
4,28.840,40.960,"On behalf of the Federal Reserve, let me express our sincere gratitude to those dedicated individuals who put themselves at risk, day after day, in service to others and to our nation.",CHAIR POWELL.,2020-04-29 18:30:28.840000+00:00,2020-04-29 18:30:29+00:00,2020-04-29 18:30:41+00:00,1.0877100000000002,1.08772,-9.999999999843467e-06,2939.8520000000003,2940.055,-0.2029999999995198
5,40.960,48.800,The forceful measures that we as a country are taking to control the spread of the virus have brought much of the economy to an abrupt halt.,CHAIR POWELL.,2020-04-29 18:30:40.960000+00:00,2020-04-29 18:30:41+00:00,2020-04-29 18:30:49+00:00,1.08777,1.0877100000000002,5.999999999972694e-05,2939.043,2939.5370000000003,-0.4940000000001419
6,48.800,55.240,"Many businesses have closed, people have been asked to stay home, and basic social interactions are greatly curtailed.",CHAIR POWELL.,2020-04-29 18:30:48.800000+00:00,2020-04-29 18:30:49+00:00,2020-04-29 18:30:55+00:00,1.08768,1.0877,-1.999999999990898e-05,2939.5490000000004,2939.1,0.44900000000052387
7,55.240,62.600,"People are putting their lives and livelihoods on hold, at significant economic and personal cost.",CHAIR POWELL.,2020-04-29 18:30:55.240000+00:00,2020-04-29 18:30:55+00:00,2020-04-29 18:31:03+00:00,1.0877,1.08767,2.999999999997449e-05,2938.6,2939.5490000000004,-0.9490000000005239
8,62.600,69.600,"All of us are affected, but the burdens are falling most heavily on those least able to carry them.",CHAIR POWELL.,2020-04-29 18:31:02.600000+00:00,2020-04-29 18:31:03+00:00,2020-04-29 18:31:10+00:00,1.08762,1.08767,-4.999999999988347e-05,2937.1,2937.849,-0.749000000000251
9,69.600,77.600,It is worth remembering that the measures we are taking to contain the virus represent an investment in our individual and collective health.,CHAIR POWELL.,2020-04-29 18:31:09.600000+00:00,2020-04-29 18:31:10+00:00,2020-04-29 18:31:18+00:00,1.08757,1.0876,-2.999999999997449e-05,2936.8520000000003,2937.04,-0.18799999999964712
10,77.600,85.800,"As a society, we should do everything we can to provide relief to those who are suffering for the public good.",CHAIR POWELL.,2020-04-29 18:31:17.600000+00:00,2020-04-29 18:31:18+00:00,2020-04-29 18:31:26+00:00,1.08757,1.08766,-9.000000000014552e-05,2938.355,2937.855,0.5
11,85.800,94.760,"While many standard economic statistics have yet to catch up with the reality we’re experiencing, it’s clear that the effects on the economy are severe.",CHAIR POWELL.,2020-04-29 18:31:25.800000+00:00,2020-04-29 18:31:26+00:00,2020-04-29 18:31:35+00:00,1.0874700000000002,1.08756,-8.999999999992347e-05,2938.3520000000003,2938.555,-0.2029999999995198
12,94.760,106.320,"Millions of workers are losing their jobs:  Next week’s jobs report is expected to show that the unemployment rate, which was at 50-year lows just two months ago, has surged into double digits.",CHAIR POWELL.,2020-04-29 18:31:34.760000+00:00,2020-04-29 18:31:35+00:00,2020-04-29 18:31:46+00:00,1.08749,1.08748,1.0000000000065512e-05,2938.6,2937.8520000000003,0.7479999999995925
