,Start Time,End Time,Sentence,Speaker,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0.000,5.280,Good afternoon.,CHAIR POWELL.,2022-01-26 19:30:00+00:00,2022-01-26 19:30:00+00:00,2022-01-26 19:30:05+00:00,1.1288,1.1288,0.0,4428.536,4429.339,-0.8029999999998836
1,5.280,14.440,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us:  maximum employment and price stability.",CHAIR POWELL.,2022-01-26 19:30:05.280000+00:00,2022-01-26 19:30:05+00:00,2022-01-26 19:30:14+00:00,1.1287,1.12881,-0.0001100000000000545,4423.051,4428.899,-5.847999999999956
2,14.440,25.920,"Today, in support of these goals, the Federal Open Market Committee kept its policy interest rate near zero and stated its expectation that an increase in this rate would soon be appropriate.",CHAIR POWELL.,2022-01-26 19:30:14.440000+00:00,2022-01-26 19:30:14+00:00,2022-01-26 19:30:26+00:00,1.12876,1.1287,5.999999999994898e-05,4424.836,4424.533,0.3029999999998836
3,25.920,34.960,The Committee also agreed to continue reducing its net asset purchases on the schedule we announced in December—bringing them to an end in early March.,CHAIR POWELL.,2022-01-26 19:30:25.920000+00:00,2022-01-26 19:30:26+00:00,2022-01-26 19:30:35+00:00,1.1288,1.12878,2.0000000000131024e-05,4427.845,4423.542,4.302999999999884
4,34.960,47.560,"As I will explain, against a backdrop of elevated inflation and a strong labor market, our policy has been adapting to the evolving economic environment, and it will continue to do so.",CHAIR POWELL.,2022-01-26 19:30:34.960000+00:00,2022-01-26 19:30:35+00:00,2022-01-26 19:30:48+00:00,1.12875,1.12874,9.999999999843467e-06,4427.045,4429.442,-2.3969999999999345
5,47.560,62.040,"Economic activity expanded at a robust pace last year, reflecting progress on vaccinations and the reopening of the economy, fiscal and monetary policy support, and the healthy financial positions of households and businesses.",CHAIR POWELL.,2022-01-26 19:30:47.560000+00:00,2022-01-26 19:30:48+00:00,2022-01-26 19:31:02+00:00,1.1285200000000002,1.1288,-0.00027999999999983594,4427.348,4428.399,-1.0510000000003856
6,62.040,68.640,"Indeed, the economy has shown great strength and resilience in the face of the ongoing pandemic.",CHAIR POWELL.,2022-01-26 19:31:02.040000+00:00,2022-01-26 19:31:02+00:00,2022-01-26 19:31:09+00:00,1.1284,1.12846,-5.999999999994898e-05,4429.954000000001,4429.7390000000005,0.21500000000014552
7,68.640,76.440,The recent sharp rise in COVID cases associated with the Omicron variant will surely weigh on economic growth this quarter.,CHAIR POWELL.,2022-01-26 19:31:08.640000+00:00,2022-01-26 19:31:09+00:00,2022-01-26 19:31:16+00:00,1.1283,1.1284,-9.999999999998899e-05,4429.736,4429.399,0.33699999999953434
8,76.440,84.040,"High-frequency indicators point to reduced spending in COVID-sensitive sectors, such as travel and restaurants.",CHAIR POWELL.,2022-01-26 19:31:16.440000+00:00,2022-01-26 19:31:16+00:00,2022-01-26 19:31:24+00:00,1.12814,1.12823,-9.000000000014552e-05,4425.839,4428.536,-2.6970000000001164
9,84.040,93.520,"And activity more broadly may also be affected as many workers are unable to report for work because of illness, quarantines, or caregiving needs.",CHAIR POWELL.,2022-01-26 19:31:24.040000+00:00,2022-01-26 19:31:24+00:00,2022-01-26 19:31:34+00:00,1.12799,1.12813,-0.000140000000000029,4422.054,4425.351,-3.2969999999995707
10,93.520,105.080,"Fortunately, health experts are finding that the Omicron variant has not been as virulent as previous strains of the virus, and they expect that cases will drop off rapidly.",CHAIR POWELL.,2022-01-26 19:31:33.520000+00:00,2022-01-26 19:31:34+00:00,2022-01-26 19:31:45+00:00,1.12776,1.12788,-0.00011999999999989797,4420.733,4421.942,-1.2089999999998327
11,105.080,112.520,"If the wave passes quickly, the economic effects should as well, and we would see a return to strong growth.",CHAIR POWELL.,2022-01-26 19:31:45.080000+00:00,2022-01-26 19:31:45+00:00,2022-01-26 19:31:53+00:00,1.12756,1.12769,-0.00013000000000018552,4417.836,4419.348,-1.5119999999997162
12,112.520,118.200,"That said, the implications for the economy remain uncertain.",CHAIR POWELL.,2022-01-26 19:31:52.520000+00:00,2022-01-26 19:31:53+00:00,2022-01-26 19:31:58+00:00,1.12764,1.12764,0.0,4418.852,4417.548,1.3040000000000873
13,118.200,127.960,"And we have not lost sight of the lines, the virus continues to cause great hardship.",CHAIR POWELL.,2022-01-26 19:31:58.200000+00:00,2022-01-26 19:31:58+00:00,2022-01-26 19:32:08+00:00,1.1276000000000002,1.12773,-0.00012999999999974143,4421.348,4421.042,0.30599999999958527
14,127.960,133.440,"The labor market has made remarkable progress and, by many measures, is very strong.",CHAIR POWELL.,2022-01-26 19:32:07.960000+00:00,2022-01-26 19:32:08+00:00,2022-01-26 19:32:13+00:00,1.12769,1.12766,2.999999999997449e-05,4420.399,4423.754,-3.3549999999995634
15,133.440,140.680,"Job gains have been solid in recent months, averaging 365,000 per month over the past three months.",CHAIR POWELL.,2022-01-26 19:32:13.440000+00:00,2022-01-26 19:32:13+00:00,2022-01-26 19:32:21+00:00,1.1277,1.12768,1.999999999990898e-05,4421.039000000001,4420.448,0.5910000000003492
16,140.680,146.000,"Over the past year, payroll employment has risen by 6.4 million jobs.",CHAIR POWELL.,2022-01-26 19:32:20.680000+00:00,2022-01-26 19:32:21+00:00,2022-01-26 19:32:26+00:00,1.12771,1.1277,1.0000000000065512e-05,4420.539000000001,4418.242,2.29700000000048
17,146.000,155.920,"The unemployment rate has declined sharply, falling 2 percentage points over the past six months to reach 3.9 percent in December.",CHAIR POWELL.,2022-01-26 19:32:26+00:00,2022-01-26 19:32:26+00:00,2022-01-26 19:32:36+00:00,1.12778,1.12778,0.0,4418.546,4419.851,-1.3049999999993815
18,155.920,166.000,"The improvements in labor market conditions have been widespread, including for workers at the lower end of the wage distribution, as well as for African Americans and Hispanics.",CHAIR POWELL.,2022-01-26 19:32:35.920000+00:00,2022-01-26 19:32:36+00:00,2022-01-26 19:32:46+00:00,1.12779,1.1278700000000002,-8.000000000008001e-05,4421.039000000001,4418.445,2.5940000000009604
19,166.000,169.920,Labor demand remains historically strong.,CHAIR POWELL.,2022-01-26 19:32:46+00:00,2022-01-26 19:32:46+00:00,2022-01-26 19:32:50+00:00,1.12789,1.1278100000000002,7.999999999985796e-05,4420.051,4421.333,-1.2819999999992433
20,169.920,179.120,"With constraints on labor supply, employers are having difficulties filling job openings, and wages are rising at their fastest pace in many years.",CHAIR POWELL.,2022-01-26 19:32:49.920000+00:00,2022-01-26 19:32:50+00:00,2022-01-26 19:32:59+00:00,1.12795,1.12799,-4.0000000000040004e-05,4421.042,4420.833,0.20900000000074215
21,179.120,187.760,"While labor force participation has edged up, it remains subdued, in part reflecting the aging of the population and retirements.",CHAIR POWELL.,2022-01-26 19:32:59.120000+00:00,2022-01-26 19:32:59+00:00,2022-01-26 19:33:08+00:00,1.12789,1.12789,0.0,4420.042,4419.339,0.7030000000004293
22,187.760,200.640,"In addition, some who would otherwise would be seeking work report that they are out of the labor force because of factors related to the pandemic, including caregiving needs and ongoing concerns about the virus.",CHAIR POWELL.,2022-01-26 19:33:07.760000+00:00,2022-01-26 19:33:08+00:00,2022-01-26 19:33:21+00:00,1.12809,1.12794,0.0001500000000000945,4417.033,4419.854,-2.8209999999999127
23,200.640,204.560,The current wave of the virus may well prolong these effects.,CHAIR POWELL.,2022-01-26 19:33:20.640000+00:00,2022-01-26 19:33:21+00:00,2022-01-26 19:33:25+00:00,1.12813,1.12808,5.0000000000105516e-05,4419.045,4418.549,0.4960000000000946
24,204.560,211.760,"Over time, there are good reasons to expect some further improvements in participation and employment.",CHAIR POWELL.,2022-01-26 19:33:24.560000+00:00,2022-01-26 19:33:25+00:00,2022-01-26 19:33:32+00:00,1.12819,1.12818,1.0000000000065512e-05,4415.033,4418.351,-3.3179999999993015
25,211.760,216.240,Inflation remains well above our longer-run goal of 2 percent.,CHAIR POWELL.,2022-01-26 19:33:31.760000+00:00,2022-01-26 19:33:32+00:00,2022-01-26 19:33:36+00:00,1.12806,1.12798,8.000000000008001e-05,4414.045,4413.333,0.7120000000004438
26,216.240,225.080,Supply and demand imbalances related to the pandemic and [to] the reopening of the economy have continued to contribute to elevated levels of inflation.,CHAIR POWELL.,2022-01-26 19:33:36.240000+00:00,2022-01-26 19:33:36+00:00,2022-01-26 19:33:45+00:00,1.1281200000000002,1.12805,7.000000000023654e-05,4413.399,4413.554,-0.15499999999974534
27,225.080,232.800,"In particular, bottlenecks and supply constraints are limiting how quickly production can respond to higher demand in the near term.",CHAIR POWELL.,2022-01-26 19:33:45.080000+00:00,2022-01-26 19:33:45+00:00,2022-01-26 19:33:53+00:00,1.128,1.12814,-0.000140000000000029,4413.551,4413.443,0.10800000000017462
28,232.800,243.760,"These problems have been larger and longer lasting than anticipated, exacerbated by waves of the virus.",CHAIR POWELL.,2022-01-26 19:33:52.800000+00:00,2022-01-26 19:33:53+00:00,2022-01-26 19:34:04+00:00,1.12814,1.12806,7.999999999985796e-05,4416.545,4414.551,1.9939999999996871
29,243.760,250.880,"dislocations caused by the pandemic, price increases have now spread to a broader range of goods and services.",CHAIR POWELL.,2022-01-26 19:34:03.760000+00:00,2022-01-26 19:34:04+00:00,2022-01-26 19:34:11+00:00,1.12799,1.1281200000000002,-0.00013000000000018552,4415.839,4414.242,1.5969999999997526
30,250.880,261.800,"Wages have also risen briskly, and we are attentive to the risks that persistent real wage growth in excess of productivity [growth] could put upward pressure on inflation.",CHAIR POWELL.,2022-01-26 19:34:10.880000+00:00,2022-01-26 19:34:11+00:00,2022-01-26 19:34:22+00:00,1.1281,1.12803,7.00000000000145e-05,4411.048,4414.548,-3.5
31,261.800,268.240,"Like most forecasters, we continue to expect inflation to decline over the course of the year.",CHAIR POWELL.,2022-01-26 19:34:21.800000+00:00,2022-01-26 19:34:22+00:00,2022-01-26 19:34:28+00:00,1.12815,1.12814,1.0000000000065512e-05,4409.036,4410.348,-1.3119999999998981
32,268.240,278.960,"We understand that high inflation imposes significant hardship, especially on those least able to meet the higher costs of essentials like food, housing, and transportation.",CHAIR POWELL.,2022-01-26 19:34:28.240000+00:00,2022-01-26 19:34:28+00:00,2022-01-26 19:34:39+00:00,1.12815,1.12815,0.0,4401.352,4408.037,-6.6850000000004
33,278.960,287.640,"In addition, we believe that the best thing we can do to support continued labor market gains is to promote a long expansion, and that will require price stability.",CHAIR POWELL.,2022-01-26 19:34:38.960000+00:00,2022-01-26 19:34:39+00:00,2022-01-26 19:34:48+00:00,1.128,1.12819,-0.0001900000000001345,4400.042,4400.251,-0.20899999999983265
34,287.640,291.920,We are committed to our price-stability goal.,CHAIR POWELL.,2022-01-26 19:34:47.640000+00:00,2022-01-26 19:34:48+00:00,2022-01-26 19:34:52+00:00,1.12786,1.12796,-9.999999999998899e-05,4399.336,4399.533,-0.19700000000011642
35,291.920,300.240,We will use our tools both to support the economy and a strong labor market and to prevent higher inflation from becoming entrenched.,CHAIR POWELL.,2022-01-26 19:34:51.920000+00:00,2022-01-26 19:34:52+00:00,2022-01-26 19:35:00+00:00,1.12794,1.12793,9.999999999843467e-06,4404.399,4399.042,5.356999999999971
36,300.240,306.960,And we’ll be watching carefully to see whether the economy is evolving in line with expectations.,CHAIR POWELL.,2022-01-26 19:35:00.240000+00:00,2022-01-26 19:35:00+00:00,2022-01-26 19:35:07+00:00,1.12799,1.12799,0.0,4405.036,4405.052000000001,-0.016000000000531145
37,306.960,314.960,The Fed’s monetary policy actions have been guided by our mandate to promote maximum employment and stable prices for the American people.,CHAIR POWELL.,2022-01-26 19:35:06.960000+00:00,2022-01-26 19:35:07+00:00,2022-01-26 19:35:15+00:00,1.12778,1.12798,-0.00019999999999997797,4399.048,4404.054,-5.006000000000313
38,314.960,325.840,"As I noted, the Committee left the target range for the federal funds rate unchanged and reaffirmed our plan, announced in December, to end asset purchases in early March.",CHAIR POWELL.,2022-01-26 19:35:14.960000+00:00,2022-01-26 19:35:15+00:00,2022-01-26 19:35:26+00:00,1.12756,1.12769,-0.00013000000000018552,4400.839,4400.554,0.2849999999998545
39,325.840,337.400,"In light of the remarkable progress we’ve seen in the labor market and inflation that is well above our 2 percent longer-run goal, the economy no longer needs sustained high levels of monetary policy support.",CHAIR POWELL.,2022-01-26 19:35:25.840000+00:00,2022-01-26 19:35:26+00:00,2022-01-26 19:35:37+00:00,1.12729,1.12755,-0.000260000000000149,4402.336,4403.536,-1.199999999999818
40,337.400,346.480,That is why we are phasing out our asset purchases and why we expect it will soon be appropriate to raise the target range for the federal funds rate.,CHAIR POWELL.,2022-01-26 19:35:37.400000+00:00,2022-01-26 19:35:37+00:00,2022-01-26 19:35:46+00:00,1.12729,1.12728,9.999999999843467e-06,4400.551,4402.042,-1.4909999999999854
41,346.480,350.080,"Of course, the economic outlook remains highly uncertain.",CHAIR POWELL.,2022-01-26 19:35:46.480000+00:00,2022-01-26 19:35:46+00:00,2022-01-26 19:35:50+00:00,1.12728,1.12731,-2.999999999997449e-05,4401.939,4403.349,-1.4099999999998545
42,350.080,363.520,"Making appropriate monetary policy in this environment requires humility, recognizing that the economy evolves in outcomes.",CHAIR POWELL.,2022-01-26 19:35:50.080000+00:00,2022-01-26 19:35:50+00:00,2022-01-26 19:36:04+00:00,1.1272700000000002,1.1272,7.000000000023654e-05,4404.845,4401.551,3.293999999999869
43,363.520,374.840,"With this in mind, we will remain attentive to risks, including the risk that high inflation is more persistent than expected, and are prepared to respond as appropriate to achieve our goals.",CHAIR POWELL.,2022-01-26 19:36:03.520000+00:00,2022-01-26 19:36:04+00:00,2022-01-26 19:36:15+00:00,1.12701,1.12719,-0.00017999999999984695,4402.336,4403.542,-1.206000000000131
44,374.840,386.320,"To provide greater clarity about our approach for reducing the size of the Federal Reserve’s balance sheet, today the Committee issued a set of principles that will provide a foundation for our future decisions.",CHAIR POWELL.,2022-01-26 19:36:14.840000+00:00,2022-01-26 19:36:15+00:00,2022-01-26 19:36:26+00:00,1.12688,1.1269,-1.999999999990898e-05,4398.839,4399.845,-1.0060000000003129
45,386.320,400.240,"[In] these high-level principles, [we] clarify that the federal funds rate is our primary means of adjusting monetary policy and that reducing our balance sheet will occur after the process of raising interest rates has begun.",CHAIR POWELL.,2022-01-26 19:36:26.320000+00:00,2022-01-26 19:36:26+00:00,2022-01-26 19:36:40+00:00,1.12683,1.12697,-0.000140000000000029,4395.539000000001,4400.036,-4.496999999999389
46,400.240,409.400,Reductions will occur over time in a predictable manner primarily through adjustments to reinvestments so that securities roll off our balance sheet.,CHAIR POWELL.,2022-01-26 19:36:40.240000+00:00,2022-01-26 19:36:40+00:00,2022-01-26 19:36:49+00:00,1.12685,1.1268200000000002,2.9999999999752447e-05,4398.539000000001,4396.052000000001,2.48700000000008
47,409.400,420.400,"Over time, we intend to hold securities in the amounts needed for our ample-reserves operating framework, and in the longer run, we envision holding primarily Treasury securities.",CHAIR POWELL.,2022-01-26 19:36:49.400000+00:00,2022-01-26 19:36:49+00:00,2022-01-26 19:37:00+00:00,1.12689,1.12692,-2.999999999997449e-05,4399.039000000001,4401.839,-2.7999999999992724
48,420.400,426.840,Our decisions to reduce our balance sheet will be guided by our maximum-employment and price-stability goals.,CHAIR POWELL.,2022-01-26 19:37:00.400000+00:00,2022-01-26 19:37:00+00:00,2022-01-26 19:37:07+00:00,1.12714,1.12694,0.00019999999999997797,4400.851,4399.754,1.0969999999997526
49,426.840,435.960,"In that regard, we will be prepared to adjust any of the details of our approach to balance sheet management in light of economic and financial developments.",CHAIR POWELL.,2022-01-26 19:37:06.840000+00:00,2022-01-26 19:37:07+00:00,2022-01-26 19:37:16+00:00,1.12746,1.1271700000000002,0.0002899999999996794,4405.542,4403.051,2.4909999999999854
50,435.960,442.240,"The Committee has not made decisions regarding the specific timing, pace, or other details of shrinking the balance sheet.",CHAIR POWELL.,2022-01-26 19:37:15.960000+00:00,2022-01-26 19:37:16+00:00,2022-01-26 19:37:22+00:00,1.12745,1.12741,4.0000000000040004e-05,4407.599,4404.751,2.8479999999999563
51,442.240,448.160,And we will discuss these matters in upcoming meetings and provide additional information at the appropriate time.,CHAIR POWELL.,2022-01-26 19:37:22.240000+00:00,2022-01-26 19:37:22+00:00,2022-01-26 19:37:28+00:00,1.12768,1.12749,0.00018999999999991246,4408.899,4409.343,-0.44399999999950523
52,448.160,455.960,"To conclude:  We understand that our actions affect communities, families, and businesses across the country.",CHAIR POWELL.,2022-01-26 19:37:28.160000+00:00,2022-01-26 19:37:28+00:00,2022-01-26 19:37:36+00:00,1.128,1.1278,0.00019999999999997797,4411.542,4411.399,0.1430000000000291
53,455.960,459.200,Everything we do is in service to our public mission.,CHAIR POWELL.,2022-01-26 19:37:35.960000+00:00,2022-01-26 19:37:36+00:00,2022-01-26 19:37:39+00:00,1.12798,1.12798,0.0,4410.899,4411.242,-0.3429999999998472
54,459.200,464.880,We at the Federal Reserve will do everything we can to achieve our maximum-employment and price-stability goals.,CHAIR POWELL.,2022-01-26 19:37:39.200000+00:00,2022-01-26 19:37:39+00:00,2022-01-26 19:37:45+00:00,1.1282100000000002,1.1280100000000002,0.00019999999999997797,4408.24,4410.052000000001,-1.8120000000008076
