,Start Time,End Time,Sentence,Speaker,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0.000,4.120,Good afternoon.,CHAIR POWELL.,2020-07-29 18:30:00+00:00,2020-07-29 18:30:00+00:00,2020-07-29 18:30:04+00:00,1.17848,1.17844,4.0000000000040004e-05,3251.346,3251.137,0.20899999999983265
1,4.120,11.320,The pandemic continues to cause tremendous human and economic hardship here in the United States and around the world.,CHAIR POWELL.,2020-07-29 18:30:04.120000+00:00,2020-07-29 18:30:04+00:00,2020-07-29 18:30:11+00:00,1.17848,1.17853,-5.0000000000105516e-05,3251.843,3251.837,0.005999999999858119
2,11.320,25.480,"The most important response to this public health crisis has come from our health-care workers, and we remain grateful to them and to the many other essential workers for putting themselves at risk day after day in service to others and to our country.",CHAIR POWELL.,2020-07-29 18:30:11.320000+00:00,2020-07-29 18:30:11+00:00,2020-07-29 18:30:25+00:00,1.17846,1.17848,-1.999999999990898e-05,3251.846,3251.843,0.003000000000156433
3,25.480,30.440,All of us have a role to play in our nation’s response to the pandemic.,CHAIR POWELL.,2020-07-29 18:30:25.480000+00:00,2020-07-29 18:30:25+00:00,2020-07-29 18:30:30+00:00,1.17854,1.17847,7.00000000000145e-05,3251.846,3251.846,0.0
4,30.440,47.000,"At the Federal Reserve, we remain committed to using our tools to do what we can, and for as long as it takes, to provide some relief and stability, to ensure that the recovery will be as strong as possible, and to limit lasting damage to the economy.",CHAIR POWELL.,2020-07-29 18:30:30.440000+00:00,2020-07-29 18:30:30+00:00,2020-07-29 18:30:47+00:00,1.1787,1.17854,0.00016000000000016001,3252.637,3251.846,0.7910000000001673
5,47.000,52.760,"In recent months, economic activity picked up as the economy began to reopen.",CHAIR POWELL.,2020-07-29 18:30:47+00:00,2020-07-29 18:30:47+00:00,2020-07-29 18:30:53+00:00,1.17869,1.17869,0.0,3252.6340000000005,3252.637,-0.0029999999997016857
6,52.760,61.400,"Many businesses opened their doors, factories restarted production, and more people left their homes to engage in various activities.",CHAIR POWELL.,2020-07-29 18:30:52.760000+00:00,2020-07-29 18:30:53+00:00,2020-07-29 18:31:01+00:00,1.17866,1.1787,-4.0000000000040004e-05,3252.643,3252.3340000000003,0.3089999999997417
7,61.400,73.720,"As a result, household spending looks to have recovered about half of its earlier decline, although spending for services such as air travel and hotels has shown much less of a pickup.",CHAIR POWELL.,2020-07-29 18:31:01.400000+00:00,2020-07-29 18:31:01+00:00,2020-07-29 18:31:14+00:00,1.17873,1.17868,5.0000000000105516e-05,3254.1340000000005,3252.837,1.2970000000004802
8,73.720,85.000,"The recovery in household spending also likely owes to federal stimulus payments and expanded unemployment benefits, which provided substantial and timely support to household incomes.",CHAIR POWELL.,2020-07-29 18:31:13.720000+00:00,2020-07-29 18:31:14+00:00,2020-07-29 18:31:25+00:00,1.17869,1.17869,0.0,3254.652,3254.7000000000003,-0.04800000000022919
9,85.000,91.600,"In contrast, indicators of business fixed investment have yet to show a recovery.",CHAIR POWELL.,2020-07-29 18:31:25+00:00,2020-07-29 18:31:25+00:00,2020-07-29 18:31:32+00:00,1.17874,1.17869,4.999999999988347e-05,3255.137,3254.9,0.23700000000008004
