,Start Time,End Time,Sentence,Speaker,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0.000,2.280,Good afternoon.,CHAIRMAN POWELL.,2018-06-13 18:30:00+00:00,2018-06-13 18:30:00+00:00,2018-06-13 18:30:02+00:00,1.17404,1.17404,0.0,2779.87,2779.87,0.0
1,2.280,6.120,Thanks very much for being here.,CHAIRMAN POWELL.,2018-06-13 18:30:02.280000+00:00,2018-06-13 18:30:02+00:00,2018-06-13 18:30:06+00:00,1.17394,1.17399,-5.0000000000105516e-05,2779.07,2779.37,-0.29999999999972715
2,6.120,14.840,"I know that a number of you will want to talk about the details of our announcement today, and I am happy to do that in a few minutes.",CHAIRMAN POWELL.,2018-06-13 18:30:06.120000+00:00,2018-06-13 18:30:06+00:00,2018-06-13 18:30:15+00:00,1.17375,1.1739000000000002,-0.0001500000000000945,2778.37,2778.57,-0.20000000000027285
3,14.840,26.240,"But because monetary policy affects everyone, I want to start with a plain-English summary of how the economy is doing, what my colleagues and I at the Federal Reserve are trying to do, and why.",CHAIRMAN POWELL.,2018-06-13 18:30:14.840000+00:00,2018-06-13 18:30:15+00:00,2018-06-13 18:30:26+00:00,1.1738700000000002,1.17374,0.00013000000000018552,2778.07,2778.37,-0.29999999999972715
4,26.240,30.520,The main takeaway is that the economy is doing very well.,CHAIRMAN POWELL.,2018-06-13 18:30:26.240000+00:00,2018-06-13 18:30:26+00:00,2018-06-13 18:30:31+00:00,1.17383,1.1737700000000002,5.999999999972694e-05,2778.37,2778.57,-0.20000000000027285
5,30.520,36.680,"Most people who want to find jobs are finding them, and unemployment and inflation are low.",CHAIRMAN POWELL.,2018-06-13 18:30:30.520000+00:00,2018-06-13 18:30:31+00:00,2018-06-13 18:30:37+00:00,1.17372,1.17382,-9.999999999998899e-05,2778.87,2778.37,0.5
6,36.680,44.480,Interest rates have been low for some years while the economy has been recovering from the financial crisis.,CHAIRMAN POWELL.,2018-06-13 18:30:36.680000+00:00,2018-06-13 18:30:37+00:00,2018-06-13 18:30:44+00:00,1.1736,1.17371,-0.0001100000000000545,2778.07,2778.37,-0.29999999999972715
7,44.480,51.360,"For the past few years, we have been gradually raising interest rates, and along the way we’ve tried to explain the reasoning behind our decisions.",CHAIRMAN POWELL.,2018-06-13 18:30:44.480000+00:00,2018-06-13 18:30:44+00:00,2018-06-13 18:30:51+00:00,1.17364,1.1736,4.0000000000040004e-05,2778.57,2778.37,0.20000000000027285
8,51.360,64.800,"In particular, we think that gradually returning interest rates to a more normal level as the economy strengthens is the best way the Fed can help sustain an environment in which American households and businesses can thrive.",CHAIRMAN POWELL.,2018-06-13 18:30:51.360000+00:00,2018-06-13 18:30:51+00:00,2018-06-13 18:31:05+00:00,1.17362,1.17352,0.00010000000000021103,2778.87,2778.07,0.7999999999997272
9,64.800,73.200,"Today, we’ve taken another step in that process by raising our target range for the federal funds rate by ¼ of a percentage point.",CHAIRMAN POWELL.,2018-06-13 18:31:04.800000+00:00,2018-06-13 18:31:05+00:00,2018-06-13 18:31:13+00:00,1.1735700000000002,1.17362,-4.999999999988347e-05,2778.37,2778.57,-0.20000000000027285
10,73.200,84.880,My colleagues and I meet eight times a year and take a fresh look each time at what is happening in the economy and consider whether our policy needs adjusting.,CHAIRMAN POWELL.,2018-06-13 18:31:13.200000+00:00,2018-06-13 18:31:13+00:00,2018-06-13 18:31:25+00:00,1.1736,1.17352,8.000000000008001e-05,2777.87,2777.87,0.0
11,84.880,92.400,"We don’t put our interest rate decisions on hold or on autopilot, because the economy can always evolve in unexpected ways.",CHAIRMAN POWELL.,2018-06-13 18:31:24.880000+00:00,2018-06-13 18:31:25+00:00,2018-06-13 18:31:32+00:00,1.17359,1.17361,-2.0000000000131024e-05,2777.87,2777.87,0.0
12,92.400,99.680,History has shown that moving interest rates either too quickly or too slowly can lead to bad economic outcomes.,CHAIRMAN POWELL.,2018-06-13 18:31:32.400000+00:00,2018-06-13 18:31:32+00:00,2018-06-13 18:31:40+00:00,1.17365,1.17362,2.999999999997449e-05,2777.87,2777.87,0.0
13,99.680,107.440,We think the outcomes are likely to be better overall if we are as clear as possible about what we are likely to do and why.,CHAIRMAN POWELL.,2018-06-13 18:31:39.680000+00:00,2018-06-13 18:31:40+00:00,2018-06-13 18:31:47+00:00,1.1737,1.17371,-1.0000000000065512e-05,2777.87,2777.87,0.0
14,107.440,115.320,"To that end, we try to give a sense of our expectations for how the economy will evolve and how our policy stance may change.",CHAIRMAN POWELL.,2018-06-13 18:31:47.440000+00:00,2018-06-13 18:31:47+00:00,2018-06-13 18:31:55+00:00,1.17371,1.1737,1.0000000000065512e-05,2777.869,2777.87,-0.0009999999997489795
