,Start Time,End Time,Sentence,Speaker,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0.000,1.240,"Good evening, everyone.",CHAIR POWELL.,2020-03-15 18:30:00+00:00,2020-03-15 18:30:00+00:00,2020-03-15 18:30:01+00:00,,,,,,
1,1.240,13.400,Today the Federal Reserve took a number of actions to support American families and business and the economy overall and to promote the flow of credit as we weather disruptions caused by the coronavirus.,CHAIR POWELL.,2020-03-15 18:30:01.240000+00:00,2020-03-15 18:30:01+00:00,2020-03-15 18:30:13+00:00,,,,,,
2,13.400,18.840,The virus is having a profound effect on people across the United States and around the world.,CHAIR POWELL.,2020-03-15 18:30:13.400000+00:00,2020-03-15 18:30:13+00:00,2020-03-15 18:30:19+00:00,,,,,,
3,18.840,24.680,"On behalf of my colleagues at the Federal Reserve, our first concern is for those who’ve been harmed.",CHAIR POWELL.,2020-03-15 18:30:18.840000+00:00,2020-03-15 18:30:19+00:00,2020-03-15 18:30:25+00:00,,,,,,
4,24.680,32.880,"Families, businesses, schools, organizations, and governments at all levels are taking steps to protect people’s health.",CHAIR POWELL.,2020-03-15 18:30:24.680000+00:00,2020-03-15 18:30:25+00:00,2020-03-15 18:30:33+00:00,,,,,,
5,32.880,41.680,"These measures, which are essential for containing the outbreak, will nonetheless understandably take a toll on economic activity in the near term.",CHAIR POWELL.,2020-03-15 18:30:32.880000+00:00,2020-03-15 18:30:33+00:00,2020-03-15 18:30:42+00:00,,,,,,
6,41.680,59.600,"While the primary response to this challenge will come from our health-care providers and policy experts, economic policymakers must do what we can to ease hardship caused by the disruptions to the economy and to support a swift return to normal once they have passed.",CHAIR POWELL.,2020-03-15 18:30:41.680000+00:00,2020-03-15 18:30:42+00:00,2020-03-15 18:31:00+00:00,,,,,,
7,59.600,72.000,"The Federal Reserve’s role is guided by our mandate from Congress to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",CHAIR POWELL.,2020-03-15 18:30:59.600000+00:00,2020-03-15 18:31:00+00:00,2020-03-15 18:31:12+00:00,,,,,,
8,72.000,90.360,"Today we reduced the target range for our policy interest rate by 1 percentage point, bringing it close to zero, and said that we expect to maintain the rate at this level until we’re confident that the economy has weathered recent events and is on track to achieve our maximum employment and price stability goals.",CHAIR POWELL.,2020-03-15 18:31:12+00:00,2020-03-15 18:31:12+00:00,2020-03-15 18:31:30+00:00,,,,,,
9,90.360,98.280,"In addition, we took other actions to support the flow of credit to households and businesses.",CHAIR POWELL.,2020-03-15 18:31:30.360000+00:00,2020-03-15 18:31:30+00:00,2020-03-15 18:31:38+00:00,,,,,,
10,98.280,104.280,"Before describing our actions more fully, I will share how my colleagues and I currently view the economic outlook.",CHAIR POWELL.,2020-03-15 18:31:38.280000+00:00,2020-03-15 18:31:38+00:00,2020-03-15 18:31:44+00:00,,,,,,
11,104.280,108.280,The economy came into this challenging period on a strong footing.,CHAIR POWELL.,2020-03-15 18:31:44.280000+00:00,2020-03-15 18:31:44+00:00,2020-03-15 18:31:48+00:00,,,,,,
12,108.280,117.760,The unemployment rate was 3.5 percent in February and has been at or near half-century lows for almost two years.,CHAIR POWELL.,2020-03-15 18:31:48.280000+00:00,2020-03-15 18:31:48+00:00,2020-03-15 18:31:58+00:00,,,,,,
13,117.760,126.080,"Job gains have been running at a solid pace, well above what is needed to provide jobs for new entrants into the labor market.",CHAIR POWELL.,2020-03-15 18:31:57.760000+00:00,2020-03-15 18:31:58+00:00,2020-03-15 18:32:06+00:00,,,,,,
14,126.080,133.000,Participation in the labor force by people in their prime working years remained near its highest rate in more than a decade.,CHAIR POWELL.,2020-03-15 18:32:06.080000+00:00,2020-03-15 18:32:06+00:00,2020-03-15 18:32:13+00:00,,,,,,
15,133.000,137.440,"And wages have been rising, particularly for lower-paying jobs.",CHAIR POWELL.,2020-03-15 18:32:13+00:00,2020-03-15 18:32:13+00:00,2020-03-15 18:32:17+00:00,,,,,,
16,137.440,146.120,"Overall economic activity has been expanding at a moderate rate, even though weak growth abroad and trade developments have been weighing on some sectors.",CHAIR POWELL.,2020-03-15 18:32:17.440000+00:00,2020-03-15 18:32:17+00:00,2020-03-15 18:32:26+00:00,,,,,,
17,146.120,155.160,"U.S. banks are strong, have high levels of capital and liquidity, and are well positioned to provide credit to households and businesses.",CHAIR POWELL.,2020-03-15 18:32:26.120000+00:00,2020-03-15 18:32:26+00:00,2020-03-15 18:32:35+00:00,,,,,,
18,155.160,160.280,"Against this favorable backdrop, the virus presents significant economic challenges.",CHAIR POWELL.,2020-03-15 18:32:35.160000+00:00,2020-03-15 18:32:35+00:00,2020-03-15 18:32:40+00:00,,,,,,
19,160.280,170.120,"Like others, we expect that the illness and the measures now being put in place to stem its spread will have a significant effect on economic activity in the near term.",CHAIR POWELL.,2020-03-15 18:32:40.280000+00:00,2020-03-15 18:32:40+00:00,2020-03-15 18:32:50+00:00,,,,,,
20,170.120,176.960,"Those in travel, tourism, and hospitality industries are already seeing a sharp drop in business.",CHAIR POWELL.,2020-03-15 18:32:50.120000+00:00,2020-03-15 18:32:50+00:00,2020-03-15 18:32:57+00:00,,,,,,
21,176.960,188.560,"In addition, the effects of the outbreak are restraining economic activity in many foreign economies, which is causing difficulties for U.S. industries that rely on global supply chains.",CHAIR POWELL.,2020-03-15 18:32:56.960000+00:00,2020-03-15 18:32:57+00:00,2020-03-15 18:33:09+00:00,,,,,,
22,188.560,192.120,The weakness abroad will also weigh on our exports for a time.,CHAIR POWELL.,2020-03-15 18:33:08.560000+00:00,2020-03-15 18:33:09+00:00,2020-03-15 18:33:12+00:00,,,,,,
23,192.120,198.560,"Moreover, the energy sector has recently come under stress because of the large drop in global oil prices.",CHAIR POWELL.,2020-03-15 18:33:12.120000+00:00,2020-03-15 18:33:12+00:00,2020-03-15 18:33:19+00:00,,,,,,
24,198.560,208.840,"Inflation, which has continued to run below our symmetric 2 percent objective, will likely be held down this year by the effects of the outbreak.",CHAIR POWELL.,2020-03-15 18:33:18.560000+00:00,2020-03-15 18:33:19+00:00,2020-03-15 18:33:29+00:00,,,,,,
