,Start Time,End Time,Sentence,Speaker,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0.000,3.120,Good afternoon.,CHAIR POWELL.,2021-11-03 18:30:00+00:00,2021-11-03 18:30:00+00:00,2021-11-03 18:30:03+00:00,1.15819,1.15822,-2.999999999997449e-05,4636.745,4636.745,0.0
1,3.120,15.160,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us:  maximum employment and price stability.",CHAIR POWELL.,2021-11-03 18:30:03.120000+00:00,2021-11-03 18:30:03+00:00,2021-11-03 18:30:15+00:00,1.15812,1.15812,0.0,4637.2390000000005,4636.599,0.6400000000003274
2,15.160,26.520,"Today, the FOMC kept interest rates near zero and, in light of the progress the economy has made toward our goals, decided to begin reducing the pace of asset purchases.",CHAIR POWELL.,2021-11-03 18:30:15.160000+00:00,2021-11-03 18:30:15+00:00,2021-11-03 18:30:27+00:00,1.15818,1.15815,2.999999999997449e-05,4637.054,4637.551,-0.4970000000002983
3,26.520,33.520,"With these actions, monetary policy will continue to provide strong support to the economic recovery.",CHAIR POWELL.,2021-11-03 18:30:26.520000+00:00,2021-11-03 18:30:27+00:00,2021-11-03 18:30:34+00:00,1.15824,1.15822,1.999999999990898e-05,4637.754,4637.236,0.5180000000000291
4,33.520,48.800,"Given the unprecedented nature of the disruptions related to the pandemic and the reopening of the economy, we remain attentive to risks and will ensure that our policy is well positioned to address the full range of plausible economic outcomes.",CHAIR POWELL.,2021-11-03 18:30:33.520000+00:00,2021-11-03 18:30:34+00:00,2021-11-03 18:30:49+00:00,1.1585,1.1583200000000002,0.00017999999999984695,4637.2390000000005,4637.754,-0.5149999999994179
5,48.800,56.120,I will say more about our monetary policy decisions after reviewing recent economic developments.,CHAIR POWELL.,2021-11-03 18:30:48.800000+00:00,2021-11-03 18:30:49+00:00,2021-11-03 18:30:56+00:00,1.15858,1.1586200000000002,-4.000000000026205e-05,4637.036,4637.233,-0.19700000000011642
6,56.120,69.280,"Economic activity expanded at a 6.5 percent pace in the first half of the year, reflecting progress on vaccinations, the reopening of the economy, and strong policy support.",CHAIR POWELL.,2021-11-03 18:30:56.120000+00:00,2021-11-03 18:30:56+00:00,2021-11-03 18:31:09+00:00,1.15847,1.15864,-0.00016999999999978144,4636.548,4636.748,-0.1999999999998181
7,69.280,74.520,"In the third quarter, real GDP growth slowed notably from this rapid pace.",CHAIR POWELL.,2021-11-03 18:31:09.280000+00:00,2021-11-03 18:31:09+00:00,2021-11-03 18:31:15+00:00,1.15858,1.1585200000000002,5.999999999972694e-05,4637.433,4637.045,0.38799999999991996
8,74.520,85.440,"The summer’s surge in COVID cases from the Delta variant has held back the recovery in the sectors most adversely affected by the pandemic, including travel and leisure.",CHAIR POWELL.,2021-11-03 18:31:14.520000+00:00,2021-11-03 18:31:15+00:00,2021-11-03 18:31:25+00:00,1.15853,1.1585200000000002,9.999999999843467e-06,4637.751,4638.033,-0.2820000000001528
9,85.440,92.960,"Activity has also been restrained by supply constraints and bottlenecks, notably in the motor vehicle industry.",CHAIR POWELL.,2021-11-03 18:31:25.440000+00:00,2021-11-03 18:31:25+00:00,2021-11-03 18:31:33+00:00,1.15873,1.1586200000000002,0.00010999999999983245,4638.099,4638.051,0.047999999999774445
10,92.960,98.560,"As a result, both household spending and business investment flattened out last quarter.",CHAIR POWELL.,2021-11-03 18:31:32.960000+00:00,2021-11-03 18:31:33+00:00,2021-11-03 18:31:39+00:00,1.15875,1.15875,0.0,4638.533,4638.299,0.23400000000037835
11,98.560,110.200,"Nonetheless, aggregate demand has been very strong this year, buoyed by fiscal and monetary policy support and the healthy financial positions of households and businesses.",CHAIR POWELL.,2021-11-03 18:31:38.560000+00:00,2021-11-03 18:31:39+00:00,2021-11-03 18:31:50+00:00,1.15864,1.15886,-0.000220000000000109,4637.542,4638.533,-0.9909999999999854
12,110.200,122.040,"With COVID case counts receding further and progress on vaccinations, economic growth should pick up this quarter, resulting in strong growth for the year as a whole.",CHAIR POWELL.,2021-11-03 18:31:50.200000+00:00,2021-11-03 18:31:50+00:00,2021-11-03 18:32:02+00:00,1.1587,1.15863,7.00000000000145e-05,4637.533,4637.751,-0.2179999999998472
13,122.040,128.320,"Conditions in the labor market have continued to improve, and demand for workers remains very strong.",CHAIR POWELL.,2021-11-03 18:32:02.040000+00:00,2021-11-03 18:32:02+00:00,2021-11-03 18:32:08+00:00,1.15855,1.1587,-0.0001500000000000945,4637.251,4637.254,-0.0029999999997016857
14,128.320,134.840,"As with overall economic activity, the pace of improvement slowed with the rise in COVID cases.",CHAIR POWELL.,2021-11-03 18:32:08.320000+00:00,2021-11-03 18:32:08+00:00,2021-11-03 18:32:15+00:00,1.1584200000000002,1.15863,-0.00020999999999982144,4637.033,4637.548,-0.5149999999994179
15,134.840,145.760,"In August and September, job gains averaged 280,000 per month, down from an average of about 1 million jobs per month in June and July.",CHAIR POWELL.,2021-11-03 18:32:14.840000+00:00,2021-11-03 18:32:15+00:00,2021-11-03 18:32:26+00:00,1.1583200000000002,1.15843,-0.00010999999999983245,4637.051,4637.051,0.0
16,145.760,154.920,"The slowdown has been concentrated in sectors most sensitive to the pandemic, including leisure and hospitality and education.",CHAIR POWELL.,2021-11-03 18:32:25.760000+00:00,2021-11-03 18:32:26+00:00,2021-11-03 18:32:35+00:00,1.15818,1.15827,-8.999999999992347e-05,4637.036,4637.051,-0.015000000000327418
17,154.920,159.240,The unemployment rate was 4.8 percent in September.,CHAIR POWELL.,2021-11-03 18:32:34.920000+00:00,2021-11-03 18:32:35+00:00,2021-11-03 18:32:39+00:00,1.15812,1.15817,-4.999999999988347e-05,4637.036,4637.051,-0.015000000000327418
18,159.240,166.880,"This figure understates the shortfall in employment, particularly as participation in the labor market remains subdued.",CHAIR POWELL.,2021-11-03 18:32:39.240000+00:00,2021-11-03 18:32:39+00:00,2021-11-03 18:32:47+00:00,1.15792,1.15804,-0.00011999999999989797,4636.248,4636.742,-0.49400000000059663
19,166.880,172.880,Some of the softness in participation likely reflects the aging of the population and retirements.,CHAIR POWELL.,2021-11-03 18:32:46.880000+00:00,2021-11-03 18:32:47+00:00,2021-11-03 18:32:53+00:00,1.1579000000000002,1.15793,-2.9999999999752447e-05,4636.048,4635.751,0.2969999999995707
20,172.880,187.080,"But participation for prime-aged individuals also remains well below pre-pandemic levels—in part reflecting factors related to the pandemic, such as caregiving needs and ongoing concerns about the virus.",CHAIR POWELL.,2021-11-03 18:32:52.880000+00:00,2021-11-03 18:32:53+00:00,2021-11-03 18:33:07+00:00,1.15761,1.15791,-0.00029999999999996696,4635.542,4635.7390000000005,-0.19700000000011642
21,187.080,192.360,"As a result, employers are having difficulties filling job openings.",CHAIR POWELL.,2021-11-03 18:33:07.080000+00:00,2021-11-03 18:33:07+00:00,2021-11-03 18:33:12+00:00,1.15759,1.1576,-1.0000000000065512e-05,4635.099,4635.548,-0.4489999999996144
22,192.360,202.720,These impediments to labor supply should diminish with further progress on containing the virus—supporting gains in employment and economic activity.,CHAIR POWELL.,2021-11-03 18:33:12.360000+00:00,2021-11-03 18:33:12+00:00,2021-11-03 18:33:23+00:00,1.15759,1.1576,-1.0000000000065512e-05,4634.554,4634.736,-0.181999999999789
23,202.720,209.960,"The economic downturn has not fallen equally on all Americans, and those least able to shoulder the burden have been hardest hit.",CHAIR POWELL.,2021-11-03 18:33:22.720000+00:00,2021-11-03 18:33:23+00:00,2021-11-03 18:33:30+00:00,1.15749,1.15759,-9.999999999998899e-05,4634.536,4634.754,-0.2179999999998472
