,Start Time,End Time,Sentence,Speaker,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0.000,11.440,"Good afternoon, and welcome.",CHAIR POWELL.,2019-10-30 18:30:00+00:00,2019-10-30 18:30:00+00:00,2019-10-30 18:30:11+00:00,1.11176,1.11166,9.999999999998899e-05,3035.67,3035.37,0.3000000000001819
1,11.440,16.200,My colleagues at the Federal Reserve and I are dedicated to serving the American people.,CHAIR POWELL.,2019-10-30 18:30:11.440000+00:00,2019-10-30 18:30:11+00:00,2019-10-30 18:30:16+00:00,1.1118100000000002,1.11177,4.000000000026205e-05,3035.67,3035.67,0.0
2,16.200,23.760,We do this by steadfastly pursuing the goals that Congress has given us:  maximum employment and stable prices.,CHAIR POWELL.,2019-10-30 18:30:16.200000+00:00,2019-10-30 18:30:16+00:00,2019-10-30 18:30:24+00:00,1.11189,1.11188,1.0000000000065512e-05,3035.37,3035.67,-0.3000000000001819
3,23.760,29.880,We’re committed to making the best decisions we can based on facts and objective analysis.,CHAIR POWELL.,2019-10-30 18:30:23.760000+00:00,2019-10-30 18:30:24+00:00,2019-10-30 18:30:30+00:00,1.11183,1.11186,-2.999999999997449e-05,3035.6690000000003,3035.6690000000003,0.0
4,29.880,34.000,Today we decided to lower the interest rates for the third time this year.,CHAIR POWELL.,2019-10-30 18:30:29.880000+00:00,2019-10-30 18:30:30+00:00,2019-10-30 18:30:34+00:00,1.11183,1.11183,0.0,3035.87,3035.6690000000003,0.20099999999956708
5,34.000,43.160,We took this step to help keep the U.S. economy strong in the face of global developments and to provide some insurance against ongoing risks.,CHAIR POWELL.,2019-10-30 18:30:34+00:00,2019-10-30 18:30:34+00:00,2019-10-30 18:30:43+00:00,1.11183,1.11183,0.0,3036.1690000000003,3035.87,0.2990000000004329
6,43.160,52.320,"As I will explain shortly, the policy adjustments we have made since last year are providing—and will continue to provide—meaningful support to the economy.",CHAIR POWELL.,2019-10-30 18:30:43.160000+00:00,2019-10-30 18:30:43+00:00,2019-10-30 18:30:52+00:00,1.11172,1.1118,-7.999999999985796e-05,3035.37,3035.87,-0.5
7,52.320,56.960,We believe that monetary policy is in a good place.,CHAIR POWELL.,2019-10-30 18:30:52.320000+00:00,2019-10-30 18:30:52+00:00,2019-10-30 18:30:57+00:00,1.11174,1.11174,0.0,3035.67,3035.67,0.0
8,56.960,65.080,"The U.S. economy is in its 11th year of expansion, and the baseline outlook remains favorable.",CHAIR POWELL.,2019-10-30 18:30:56.960000+00:00,2019-10-30 18:30:57+00:00,2019-10-30 18:31:05+00:00,1.1116700000000002,1.11173,-5.999999999994898e-05,3035.17,3035.67,-0.5
9,65.080,68.160,The overall economy is growing at a moderate rate.,CHAIR POWELL.,2019-10-30 18:31:05.080000+00:00,2019-10-30 18:31:05+00:00,2019-10-30 18:31:08+00:00,1.11163,1.11161,1.999999999990898e-05,3034.67,3034.6690000000003,0.0009999999997489795
10,68.160,76.120,"Household spending continues to be strong, supported by a healthy job market, rising incomes, and solid consumer confidence.",CHAIR POWELL.,2019-10-30 18:31:08.160000+00:00,2019-10-30 18:31:08+00:00,2019-10-30 18:31:16+00:00,1.11162,1.11168,-5.999999999994898e-05,3034.37,3034.87,-0.5
11,76.120,83.800,"In contrast, business investment and exports remain weak, and manufacturing output has declined over the past year.",CHAIR POWELL.,2019-10-30 18:31:16.120000+00:00,2019-10-30 18:31:16+00:00,2019-10-30 18:31:24+00:00,1.11144,1.11151,-7.00000000000145e-05,3033.67,3034.37,-0.6999999999998181
12,83.800,88.800,Sluggish growth abroad and trade developments have been weighing on those sectors.,CHAIR POWELL.,2019-10-30 18:31:23.800000+00:00,2019-10-30 18:31:24+00:00,2019-10-30 18:31:29+00:00,1.11146,1.11136,9.999999999998899e-05,3033.67,3033.67,0.0
13,88.800,97.920,"Looking ahead, we continue to expect the economy to expand at a moderate rate, reflecting solid household spending and supportive financial conditions.",CHAIR POWELL.,2019-10-30 18:31:28.800000+00:00,2019-10-30 18:31:29+00:00,2019-10-30 18:31:38+00:00,1.11141,1.11143,-1.999999999990898e-05,3033.67,3033.67,0.0
14,97.920,99.960,The job market remains strong.,CHAIR POWELL.,2019-10-30 18:31:37.920000+00:00,2019-10-30 18:31:38+00:00,2019-10-30 18:31:40+00:00,1.11144,1.11144,0.0,3033.67,3033.67,0.0
15,99.960,104.440,The unemployment rate has been near half-century lows for a year and a half.,CHAIR POWELL.,2019-10-30 18:31:39.960000+00:00,2019-10-30 18:31:40+00:00,2019-10-30 18:31:44+00:00,1.1114,1.11138,1.999999999990898e-05,3033.369,3033.67,-0.3009999999999309
16,104.440,111.080,The pace of job gains has eased this year but has remained solid; we had expected some slowing after last year’s strong pace.,CHAIR POWELL.,2019-10-30 18:31:44.440000+00:00,2019-10-30 18:31:44+00:00,2019-10-30 18:31:51+00:00,1.1113700000000002,1.11142,-4.999999999988347e-05,3033.87,3033.67,0.1999999999998181
17,111.080,122.560,"Participation in the labor force by people in their prime working years has been increasing, and wages have been rising, particularly for lower-paying jobs.",CHAIR POWELL.,2019-10-30 18:31:51.080000+00:00,2019-10-30 18:31:51+00:00,2019-10-30 18:32:03+00:00,1.11152,1.11144,8.000000000008001e-05,3034.369,3033.87,0.499000000000251
18,122.560,133.000,People who live and work in low- and middle-income communities tell us that many who have struggled to find work are now getting opportunities to add new and better chapters to their lives.,CHAIR POWELL.,2019-10-30 18:32:02.560000+00:00,2019-10-30 18:32:03+00:00,2019-10-30 18:32:13+00:00,1.1116700000000002,1.11152,0.0001500000000000945,3034.17,3034.17,0.0
19,133.000,142.560,This underscores for us the importance of sustaining the expansion so that the strong job market reaches more of those left behind.,CHAIR POWELL.,2019-10-30 18:32:13+00:00,2019-10-30 18:32:13+00:00,2019-10-30 18:32:23+00:00,1.1115700000000002,1.1116700000000002,-9.999999999998899e-05,3034.37,3034.37,0.0
20,142.560,147.440,Inflation continues to run below our symmetric 2 percent objective.,CHAIR POWELL.,2019-10-30 18:32:22.560000+00:00,2019-10-30 18:32:23+00:00,2019-10-30 18:32:27+00:00,1.11156,1.11156,0.0,3034.37,3034.37,0.0
21,147.440,156.680,"Over the 12 months through August, total PCE inflation was 1.4 percent and core inflation was 1.8 percent.",CHAIR POWELL.,2019-10-30 18:32:27.440000+00:00,2019-10-30 18:32:27+00:00,2019-10-30 18:32:37+00:00,1.11144,1.11154,-9.999999999998899e-05,3034.67,3034.67,0.0
22,156.680,166.120,"Inflation pressures remain muted, and indicators of longer-term inflation expectations are at the lower end of their historic ranges.",CHAIR POWELL.,2019-10-30 18:32:36.680000+00:00,2019-10-30 18:32:37+00:00,2019-10-30 18:32:46+00:00,1.11153,1.11146,7.00000000000145e-05,3034.67,3034.67,0.0
23,166.120,173.800,We’re mindful that continued below-target inflation could lead to an unwelcome downward slide in long-term inflation expectations.,CHAIR POWELL.,2019-10-30 18:32:46.120000+00:00,2019-10-30 18:32:46+00:00,2019-10-30 18:32:54+00:00,1.11148,1.11151,-2.999999999997449e-05,3034.17,3034.37,-0.1999999999998181
24,173.800,183.520,"However, against the backdrop of a strong economy and supportive monetary policy, we expect inflation will rise to 2 percent.",CHAIR POWELL.,2019-10-30 18:32:53.800000+00:00,2019-10-30 18:32:54+00:00,2019-10-30 18:33:04+00:00,1.11135,1.11143,-7.999999999985796e-05,3034.17,3034.17,0.0
25,183.520,194.240,"Overall, we continue to see sustained expansion of economic activity, a strong labor market, and inflation near our symmetric 2 percent objective as most likely.",CHAIR POWELL.,2019-10-30 18:33:03.520000+00:00,2019-10-30 18:33:04+00:00,2019-10-30 18:33:14+00:00,1.11139,1.11136,3.0000000000196536e-05,3033.67,3033.67,0.0
26,194.240,204.120,"While this has been our outlook for quite some time, our views about the path of interest rates that will best achieve these outcomes have changed significantly over the past year.",CHAIR POWELL.,2019-10-30 18:33:14.240000+00:00,2019-10-30 18:33:14+00:00,2019-10-30 18:33:24+00:00,1.11153,1.1114,0.00012999999999996348,3033.17,3033.67,-0.5
27,204.120,211.200,"As I mentioned, weakness in global growth and trade developments have weighed on the economy and pose ongoing risks.",CHAIR POWELL.,2019-10-30 18:33:24.120000+00:00,2019-10-30 18:33:24+00:00,2019-10-30 18:33:31+00:00,1.11151,1.1115000000000002,9.999999999843467e-06,3032.67,3032.87,-0.1999999999998181
28,211.200,220.600,"These factors, in conjunction with muted inflation pressures, have led us to lower our assessment of the appropriate level of the federal funds rate over the past year.",CHAIR POWELL.,2019-10-30 18:33:31.200000+00:00,2019-10-30 18:33:31+00:00,2019-10-30 18:33:41+00:00,1.11145,1.11145,0.0,3033.37,3032.67,0.6999999999998181
29,220.600,232.760,"In both July and September, we reduced the target rate [range] for the federal funds rate by ¼ percentage point, and we did so again today, bringing the range to 1½ to 1¾ percent.",CHAIR POWELL.,2019-10-30 18:33:40.600000+00:00,2019-10-30 18:33:41+00:00,2019-10-30 18:33:53+00:00,1.11144,1.1114700000000002,-3.0000000000196536e-05,3032.87,3033.67,-0.8000000000001819
30,232.760,239.120,The policy adjustments we’ve made to date will continue to provide significant support for the economy.,CHAIR POWELL.,2019-10-30 18:33:52.760000+00:00,2019-10-30 18:33:53+00:00,2019-10-30 18:33:59+00:00,1.1113700000000002,1.1114,-2.9999999999752447e-05,3033.17,3032.869,0.3009999999999309
31,239.120,250.320,"Since monetary policy operates with a lag, the full effects of these adjustments on economic growth, the job market, and inflation will be realized over time.",CHAIR POWELL.,2019-10-30 18:33:59.120000+00:00,2019-10-30 18:33:59+00:00,2019-10-30 18:34:10+00:00,1.1108600000000002,1.1113700000000002,-0.0005100000000000104,3030.87,3033.17,-2.300000000000182
32,250.320,269.200,"We see the current stance of monetary policy as likely to remain appropriate as long as incoming information about the economy remains broadly consistent with our outlook of moderate economic growth, a strong labor market, and inflation near our symmetric 2 percent objective.",CHAIR POWELL.,2019-10-30 18:34:10.320000+00:00,2019-10-30 18:34:10+00:00,2019-10-30 18:34:29+00:00,1.11098,1.1109700000000002,9.999999999843467e-06,3032.369,3031.87,0.499000000000251
33,269.200,273.440,We believe monetary policy is in a good place to achieve these outcomes.,CHAIR POWELL.,2019-10-30 18:34:29.200000+00:00,2019-10-30 18:34:29+00:00,2019-10-30 18:34:33+00:00,1.11092,1.1109700000000002,-5.000000000032756e-05,3032.37,3032.37,0.0
34,273.440,283.880,"Looking ahead, we’ll be monitoring the effects of our policy actions, along with other information bearing on the outlook, as we assess the appropriate path of the target range for the fed funds rate.",CHAIR POWELL.,2019-10-30 18:34:33.440000+00:00,2019-10-30 18:34:33+00:00,2019-10-30 18:34:44+00:00,1.11075,1.11089,-0.000140000000000029,3032.37,3031.87,0.5
35,283.880,290.200,"Of course, if developments emerge that cause a material reassessment of our outlook, we would respond accordingly.",CHAIR POWELL.,2019-10-30 18:34:43.880000+00:00,2019-10-30 18:34:44+00:00,2019-10-30 18:34:50+00:00,1.11065,1.1107,-5.0000000000105516e-05,3031.67,3031.87,-0.1999999999998181
36,290.200,294.920,Policy is not on a preset course.,CHAIR POWELL.,2019-10-30 18:34:50.200000+00:00,2019-10-30 18:34:50+00:00,2019-10-30 18:34:55+00:00,1.11055,1.11054,9.999999999843467e-06,3031.17,3031.67,-0.5
37,294.920,301.120,Let me end with a few words about our technical monetary policy operations.,CHAIR POWELL.,2019-10-30 18:34:54.920000+00:00,2019-10-30 18:34:55+00:00,2019-10-30 18:35:01+00:00,1.11058,1.1105,7.999999999985796e-05,3031.37,3031.17,0.1999999999998181
38,301.120,307.640,"In January, we made the key decision to continue to implement monetary policy in an ample-reserves regime.",CHAIR POWELL.,2019-10-30 18:35:01.120000+00:00,2019-10-30 18:35:01+00:00,2019-10-30 18:35:08+00:00,1.1105200000000002,1.11054,-1.999999999990898e-05,3031.67,3031.37,0.3000000000001819
39,307.640,318.280,"In that operating framework, we control the federal funds rate primarily by setting our administered rates, not through frequent interventions to actively manage the supply of reserves.",CHAIR POWELL.,2019-10-30 18:35:07.640000+00:00,2019-10-30 18:35:08+00:00,2019-10-30 18:35:18+00:00,1.11049,1.11056,-7.00000000000145e-05,3032.17,3031.87,0.3000000000001819
40,318.280,328.440,"In the transition to the efficient and effective level of reserves in this regime, we slowed the gradual decline in our balance sheet in March and we stopped it in July.",CHAIR POWELL.,2019-10-30 18:35:18.280000+00:00,2019-10-30 18:35:18+00:00,2019-10-30 18:35:28+00:00,1.11041,1.11046,-5.0000000000105516e-05,3032.37,3032.17,0.1999999999998181
41,328.440,342.040,"In response to the funding pressures in money markets that emerged in mid-September, we concluded that it would be appropriate to maintain, over a time—over time, a level of reserve balances at or above the level that prevailed in early September of this year.",CHAIR POWELL.,2019-10-30 18:35:28.440000+00:00,2019-10-30 18:35:28+00:00,2019-10-30 18:35:42+00:00,1.11041,1.11035,5.999999999994898e-05,3032.87,3032.37,0.5
42,342.040,357.240,"To achieve this ample level, we announced on October 11 that we would purchase Treasury bills at least into the second quarter of next year as well as continue temporary open market operations at least through January.",CHAIR POWELL.,2019-10-30 18:35:42.040000+00:00,2019-10-30 18:35:42+00:00,2019-10-30 18:35:57+00:00,1.11026,1.11036,-9.999999999998899e-05,3033.67,3033.37,0.3000000000001819
43,357.240,367.040,These actions are purely technical measures to support the effective implementation of monetary policy as we continue to learn about the appropriate level of reserves.,CHAIR POWELL.,2019-10-30 18:35:57.240000+00:00,2019-10-30 18:35:57+00:00,2019-10-30 18:36:07+00:00,1.11008,1.11026,-0.000180000000000069,3033.37,3033.1690000000003,0.20099999999956708
44,367.040,370.680,They do not represent a change in the stance of monetary policy.,CHAIR POWELL.,2019-10-30 18:36:07.040000+00:00,2019-10-30 18:36:07+00:00,2019-10-30 18:36:11+00:00,1.1099100000000002,1.10997,-5.999999999972694e-05,3033.67,3033.6690000000003,0.0009999999997489795
45,370.680,379.840,"In particular, our Treasury bill purchases should not be confused with the large-scale asset purchase programs that we deployed after the financial crisis.",CHAIR POWELL.,2019-10-30 18:36:10.680000+00:00,2019-10-30 18:36:11+00:00,2019-10-30 18:36:20+00:00,1.10941,1.10969,-0.000280000000000058,3032.87,3033.17,-0.3000000000001819
46,379.840,388.640,"In those programs, we purchased longer-term securities to put downward pressure on longer-term interest rates and ease broader financial conditions.",CHAIR POWELL.,2019-10-30 18:36:19.840000+00:00,2019-10-30 18:36:20+00:00,2019-10-30 18:36:29+00:00,1.10885,1.10915,-0.000300000000000189,3032.37,3032.37,0.0
47,388.640,403.040,"In contrast, increasing the supply of reserves by purchasing Treasury bills only alters the mix of short-term assets held by the public and should not materially affect demand and supply for longer-term securities or financial conditions more broadly.",CHAIR POWELL.,2019-10-30 18:36:28.640000+00:00,2019-10-30 18:36:29+00:00,2019-10-30 18:36:43+00:00,1.10918,1.1089,0.000280000000000058,3032.37,3032.17,0.1999999999998181
