,Start Time,End Time,Sentence,Speaker,Local Start Time,Rounded Start Local Time,Rounded End Local Time,Closest EURUSD End Close Delayed,Closest EURUSD Start Close non Delayed,EURUSD Close Difference,Closest USA500.IDXUSD End Close Delayed,Closest USA500.IDXUSD Start Close non Delayed,USA500.IDXUSD Close Difference
0,0.000,14.560,Good afternoon.,CHAIR YELLEN.,2016-09-21 18:30:00+00:00,2016-09-21 18:30:00+00:00,2016-09-21 18:30:15+00:00,1.11621,1.11654,-0.0003300000000001635,2144.379,2143.904,0.47499999999990905
1,14.560,37.160,"At our meeting that concluded earlier today, my colleagues and I on the Federal Open Market Committee discussed overall economic conditions and decided to keep the target range for the federal funds rate at ¼ to ½ percent.",CHAIR YELLEN.,2016-09-21 18:30:14.560000+00:00,2016-09-21 18:30:15+00:00,2016-09-21 18:30:37+00:00,1.11608,1.11617,-9.000000000014552e-05,2145.058,2144.469,0.5889999999999418
2,37.160,48.960,We judged that the case for an increase has strengthened but decided for the time being to wait for further evidence of continued progress toward our objectives.,CHAIR YELLEN.,2016-09-21 18:30:37.160000+00:00,2016-09-21 18:30:37+00:00,2016-09-21 18:30:49+00:00,1.11578,1.11606,-0.000280000000000058,2144.85,2145.071,-0.22100000000000364
3,48.960,57.600,Our current policy should help move the economy toward our statutory goals of maximum employment and price stability.,CHAIR YELLEN.,2016-09-21 18:30:48.960000+00:00,2016-09-21 18:30:49+00:00,2016-09-21 18:30:58+00:00,1.1160100000000002,1.11593,8.000000000008001e-05,2144.269,2144.552,-0.2830000000003565
4,57.600,66.120,"I’ll have more to say about our decision shortly, but first I will review recent economic developments and the outlook.",CHAIR YELLEN.,2016-09-21 18:30:57.600000+00:00,2016-09-21 18:30:58+00:00,2016-09-21 18:31:06+00:00,1.11613,1.11603,9.999999999998899e-05,2144.596,2144.599,-0.003000000000156433
5,66.120,72.720,"Economic growth, which was subdued during the first half of the year, appears to have picked up.",CHAIR YELLEN.,2016-09-21 18:31:06.120000+00:00,2016-09-21 18:31:06+00:00,2016-09-21 18:31:13+00:00,1.11629,1.1162200000000002,6.999999999979245e-05,2144.85,2144.52,0.32999999999992724
6,72.720,77.720,Household spending continues to be the key source of that growth.,CHAIR YELLEN.,2016-09-21 18:31:12.720000+00:00,2016-09-21 18:31:13+00:00,2016-09-21 18:31:18+00:00,1.1162200000000002,1.11616,6.000000000017103e-05,2145.112,2144.85,0.262000000000171
7,77.720,88.160,This spending has been supported by solid increases in household income as well as by relatively high levels of consumer sentiment and wealth.,CHAIR YELLEN.,2016-09-21 18:31:17.720000+00:00,2016-09-21 18:31:18+00:00,2016-09-21 18:31:28+00:00,1.11604,1.11617,-0.00013000000000018552,2144.9700000000003,2145.112,-0.14199999999982538
8,88.160,95.640,"Business investment, however, remains soft, both in the energy sector and more broadly.",CHAIR YELLEN.,2016-09-21 18:31:28.160000+00:00,2016-09-21 18:31:28+00:00,2016-09-21 18:31:36+00:00,1.11594,1.1159,4.0000000000040004e-05,2144.91,2144.938,-0.028000000000247383
9,95.640,108.760,"The energy industry has been hard hit by the drop in oil prices since mid-2014, and investment in that sector continued to contract through the first half of the year.",CHAIR YELLEN.,2016-09-21 18:31:35.640000+00:00,2016-09-21 18:31:36+00:00,2016-09-21 18:31:49+00:00,1.11574,1.11587,-0.00012999999999996348,2144.829,2144.729,0.1000000000003638
